cluster	total	no_hit	single_hit	num_pro	num_exp	num_obs	pvalue	geneID	STRING_id
MD6	27	6	21	21	1	5	0.00711121631131284	RCBTB2/SLC16A1/TMEM200C/SLFN12L/TOMM20P2/COL6A3/VCAN/ADGRG6/FAT3/POSTN/ARHGAP28/ENAH/FAT4/F2R/TBX5/CHN1/CPE/SLC4A4/LINC01314/SDC2/NR2F2/NTM/EDNRA/RP11-752L20.3/ROR1-AS1/SPON1/PRSS23	9606.ENSP00000345144/9606.ENSP00000358640/9606.ENSP00000372982/9606.ENSP00000437635/9606.ENSP00000295550/9606.ENSP00000265077/9606.ENSP00000298047/9606.ENSP00000369071/9606.ENSP00000313506/9606.ENSP00000355809/9606.ENSP00000377862/9606.ENSP00000321326/9606.ENSP00000309913/9606.ENSP00000386741/9606.ENSP00000386104/9606.ENSP00000393557/9606.ENSP00000307046/9606.ENSP00000377721/9606.ENSP00000396722/9606.ENSP00000315011/9606.ENSP00000280258
MD8	20	0	20	20	1	31	0	NEGR1/EIF4E2/CHTOP/PARP9/FBXW11/TUB/BET1L/CMKLR1/GSTM3/CD2BP2/FDPS/NR4A2/FDFT1/LDLR/DHCR24/SQLE/MSMO1/INSIG1/HMGCR/IDI1	9606.ENSP00000350364/9606.ENSP00000258416/9606.ENSP00000357683/9606.ENSP00000353512/9606.ENSP00000265094/9606.ENSP00000305426/9606.ENSP00000372210/9606.ENSP00000311733/9606.ENSP00000256594/9606.ENSP00000304903/9606.ENSP00000349078/9606.ENSP00000344479/9606.ENSP00000220584/9606.ENSP00000454071/9606.ENSP00000360316/9606.ENSP00000265896/9606.ENSP00000261507/9606.ENSP00000344741/9606.ENSP00000287936/9606.ENSP00000370748
MD9	14	0	14	14	1	14	8.39922575934793e-10	SMAP2/SMPD1/ARHGAP12/MCM4/GNL3L/GM2A/MCM7/GOT2/MCM3/TWISTNB/MCM2/DSN1/CDCA7/GINS2	9606.ENSP00000361803/9606.ENSP00000340409/9606.ENSP00000345808/9606.ENSP00000262105/9606.ENSP00000338573/9606.ENSP00000349687/9606.ENSP00000307288/9606.ENSP00000245206/9606.ENSP00000229854/9606.ENSP00000222567/9606.ENSP00000265056/9606.ENSP00000362850/9606.ENSP00000306968/9606.ENSP00000253462
MD14	21	2	19	19	3	15	6.4206280013801e-06	ARRDC3/HEXIM1/IFRD1/CCDC107/ZNF844/RNF103/GADD45B/ARL4D/THBS1/CTD-2033D15.2/KLF11/GLA/HBP1/MYC/FTL/FTLP2/DNAJB11/CALR/XBP1/HSPA5/HSP90B1	9606.ENSP00000265138/9606.ENSP00000328773/9606.ENSP00000005558/9606.ENSP00000414964/9606.ENSP00000392024/9606.ENSP00000237455/9606.ENSP00000215631/9606.ENSP00000322628/9606.ENSP00000260356/9606.ENSP00000307023/9606.ENSP00000218516/9606.ENSP00000222574/9606.ENSP00000367207/9606.ENSP00000366525/9606.ENSP00000265028/9606.ENSP00000320866/9606.ENSP00000216037/9606.ENSP00000324173/9606.ENSP00000299767
MD15	27	1	26	26	8	15	0.0334208053620954	RPL18/DDX3Y/SLC2A3/KLF2/H2AFZ/DDX3X/S100A13/CYCS/H3F3B/ZNF260/SRSF7/ZFAND5/BRD2/BTG1/YBX3/SLC38A2/ARL5B/RP11-326I11.3/SOD2/TAF7/UBB/UBBP4/SRSF3/MORF4L2/BAG3/GEM/SERTAD1	9606.ENSP00000447001/9606.ENSP00000336725/9606.ENSP00000075120/9606.ENSP00000248071/9606.ENSP00000296417/9606.ENSP00000382840/9606.ENSP00000344822/9606.ENSP00000307786/9606.ENSP00000254810/9606.ENSP00000429803/9606.ENSP00000325905/9606.ENSP00000237937/9606.ENSP00000378702/9606.ENSP00000256015/9606.ENSP00000228251/9606.ENSP00000256689/9606.ENSP00000366487/9606.ENSP00000356022/9606.ENSP00000312709/9606.ENSP00000304697/9606.ENSP00000464265/9606.ENSP00000362820/9606.ENSP00000353643/9606.ENSP00000358081/9606.ENSP00000297596/9606.ENSP00000350633
MD16	57	3	54	54	86	251	0	IER5/TCEAL9/CTD-3252C9.4/MAFF/HSPE1/HSPB1/ID3/CYR61/TCP1/MRPL18/PPP1R15B/NFIL3/ZFP36L1/CHORDC1/HSP90AA6P/IER3/DDX5/EIF4A3/NR4A1/ATF3/HNRNPU/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/DNAJA1/EIF1/RHOB/UBC/BTG2/CSRNP1/DUSP1/DNAJB4/HSPH1/DNAJB1/HSPA1A/HSPA1B/HSP90AB1/HSPD1/HSPA8/HSP90AA2P/HSP90AA1/PPP1R15A/PNRC1/NFKBIZ/JUND/SOCS3/CCNL1/JUNB/IER2/MCL1/JUN/FOSB/EGR1/FOS/ZFP36	9606.ENSP00000356549/9606.ENSP00000361740/9606.ENSP00000345393/9606.ENSP00000233893/9606.ENSP00000248553/9606.ENSP00000363689/9606.ENSP00000398736/9606.ENSP00000317334/9606.ENSP00000356001/9606.ENSP00000356156/9606.ENSP00000297689/9606.ENSP00000337386/9606.ENSP00000319255/9606.ENSP00000259874/9606.ENSP00000225792/9606.ENSP00000269349/9606.ENSP00000353427/9606.ENSP00000344352/9606.ENSP00000283179/9606.ENSP00000222553/9606.ENSP00000245414/9606.ENSP00000216797/9606.ENSP00000365817/9606.ENSP00000363804/9606.ENSP00000369127/9606.ENSP00000419449/9606.ENSP00000272233/9606.ENSP00000344818/9606.ENSP00000290551/9606.ENSP00000273153/9606.ENSP00000239223/9606.ENSP00000359799/9606.ENSP00000318687/9606.ENSP00000254322/9606.ENSP00000364802/9606.ENSP00000364801/9606.ENSP00000325875/9606.ENSP00000340019/9606.ENSP00000227378/9606.ENSP00000335153/9606.ENSP00000200453/9606.ENSP00000336931/9606.ENSP00000325663/9606.ENSP00000252818/9606.ENSP00000330341/9606.ENSP00000295926/9606.ENSP00000303315/9606.ENSP00000292433/9606.ENSP00000358022/9606.ENSP00000360266/9606.ENSP00000245919/9606.ENSP00000239938/9606.ENSP00000306245/9606.ENSP00000248673
MD25	42	3	39	39	12	38	9.34786159589862e-09	COX7C/SEM1/RSL24D1/COPS6/RWDD4/SOD1/AHSA1/TUBA1A/TUBB/TUBA1B/COX4I1/NDUFS5/RPS4Y1/HNRNPD/MRPL51/COX6C/BEX3/MRPS21/CALM2/MRFAP1L1/MEA1/ANP32B/CNBP/EIF4A2/RBP1/NEDD8/TMSB10/PARK7/MYL6/AK2/RPL35/SNRPE/RPL12/ATP5L/ROMO1/CBR1/FAM32A/GUCD1/RPS7P11/RPS7P10/RPS7/RPS7P1	9606.ENSP00000247655/9606.ENSP00000248566/9606.ENSP00000260443/9606.ENSP00000304102/9606.ENSP00000388920/9606.ENSP00000270142/9606.ENSP00000216479/9606.ENSP00000301071/9606.ENSP00000339001/9606.ENSP00000336799/9606.ENSP00000253452/9606.ENSP00000362058/9606.ENSP00000250784/9606.ENSP00000313199/9606.ENSP00000229238/9606.ENSP00000297564/9606.ENSP00000299872/9606.ENSP00000312395/9606.ENSP00000272298/9606.ENSP00000318154/9606.ENSP00000244711/9606.ENSP00000345848/9606.ENSP00000410769/9606.ENSP00000326381/9606.ENSP00000232219/9606.ENSP00000250495/9606.ENSP00000233143/9606.ENSP00000340278/9606.ENSP00000446714/9606.ENSP00000346921/9606.ENSP00000259469/9606.ENSP00000400591/9606.ENSP00000354739/9606.ENSP00000300688/9606.ENSP00000338293/9606.ENSP00000290349/9606.ENSP00000263384/9606.ENSP00000386076/9606.ENSP00000339095
MD26	81	18	63	61	26	54	3.06113179215917e-06	DACT1/HNRNPF/LRRC75A-AS1/PGD/C12orf57/RPS23P8/TCEAL8/CLIC4/NFIA/ACTR2/PJA1/FMOD/PSMF1/NONO/ARPC5/IFT52/DPYSL2/EID1/CSDE1/LGALS1/TSPYL1/CAPNS1/SUB1/SHISA2/RHOA/PEBP1/PTRF/FHL1/TMSB4X/GNAS/MARCKS/ACTB/ACTG1/DSTN/CALM1/CSRP1/GYG1/LBH/CNN2/COX7A2L/EIF3H/PBX1/UBTD2/MAN1A2/ZNF91/NFIB/CDR1/CDR1-AS/EIF3E/CCNI/PABPC1/GSPT1/AP2M1/PGAM1/HNRNPCP2/ATP5B/HNRNPC/PPIA/SDCBP/PRDX1/TMA7/FTH1P5/FTH1P16/FTH1P2/FTH1P12/FTH1P11/FTH1P20/FTH1P8/FTH1P7/FTH1P10/FTH1/PTMAP2/MIR1244-3/PTMA/MIR1244-2/PTMAP5/RPL10P9/RPL10P16/RPL10/RPS2/RPS2P46	9606.ENSP00000337439/9606.ENSP00000338477/9606.ENSP00000270776/9606.ENSP00000229281/9606.ENSP00000353093/9606.ENSP00000363500/9606.ENSP00000360231/9606.ENSP00000367220/9606.ENSP00000355014/9606.ENSP00000347041/9606.ENSP00000327704/9606.ENSP00000276079/9606.ENSP00000352918/9606.ENSP00000362121/9606.ENSP00000309539/9606.ENSP00000431162/9606.ENSP00000407724/9606.ENSP00000215909/9606.ENSP00000357597/9606.ENSP00000246533/9606.ENSP00000265073/9606.ENSP00000313079/9606.ENSP00000400175/9606.ENSP00000261313/9606.ENSP00000349541/9606.ENSP00000071281/9606.ENSP00000370007/9606.ENSP00000360141/9606.ENSP00000357624/9606.ENSP00000349960/9606.ENSP00000331514/9606.ENSP00000246069/9606.ENSP00000349467/9606.ENSP00000345079/9606.ENSP00000340736/9606.ENSP00000378733/9606.ENSP00000263097/9606.ENSP00000234301/9606.ENSP00000429931/9606.ENSP00000405890/9606.ENSP00000377381/9606.ENSP00000348959/9606.ENSP00000300619/9606.ENSP00000370340/9606.ENSP00000359563/9606.ENSP00000220849/9606.ENSP00000237654/9606.ENSP00000313007/9606.ENSP00000398131/9606.ENSP00000292807/9606.ENSP00000359991/9606.ENSP00000262030/9606.ENSP00000319690/9606.ENSP00000419425/9606.ENSP00000260130/9606.ENSP00000262746/9606.ENSP00000397843/9606.ENSP00000273550/9606.ENSP00000344547/9606.ENSP00000341730/9606.ENSP00000341885
MD27	99	32	67	65	132	1413	0	RPL5P34/RP11-371A22.1/EEF1GP5/EIF4B/EIF4BP3/EIF4BP6/EIF4BP7/RPL24/RPL24P8/RPL27/RPL36/NPM1P6/NPM1P27/NPM1/RPL26/RP11-592N21.1/RP4-706A16.3/RP11-20O24.4/RACK1/RP11-69L16.5/RPL30/RPL13/RPL32/RPS15A/NACA/EEF2/RPL7P32/RPL7P23/RPL7P9/RPL7P1/RPL7/RPS24/RPL13AP5/RPL13AP25/RPL13A/RPL19/RPL38/RPL35A/RPS5/RP11-234A1.1/RPS18/RPS3AP47/RPS3AP6/RPS3A/RPS3AP26/HNRNPA1L2/HNRNPA1/HNRNPA1P48/AC009245.3/RPL6/RPL6P27/EEF1A1P11/EEF1A1P6/EEF1A1/EEF1A1P5/RPS8/RPLP2/RPL10AP6/RPL10A/RPL8/RPS27A/RPS4X/RPL37A/RPL15/RPL27A/RPLP0/RPS16/RPL31/RPS12/RPL23/RPL34/RPS23/RPS3/RPS17/RPL11/RPS20/RPL22/RPL9/RPL9P9/RPL4/RPL5/TPT1/RPS6/RPL3P4/RPL3/RPLP1/RPS11/NAP1L1/RPL14/RPL14P1/NDUFA8/HNRNPK/XRCC6/TBX5-AS1/H1F0/SLC25A3/TPM4/STARD7/NAA50	9606.ENSP00000262056/9606.ENSP00000377640/9606.ENSP00000253788/9606.ENSP00000252543/9606.ENSP00000296930/9606.ENSP00000293842/9606.ENSP00000426909/9606.ENSP00000287038/9606.ENSP00000307889/9606.ENSP00000380156/9606.ENSP00000318646/9606.ENSP00000448035/9606.ENSP00000307940/9606.ENSP00000339795/9606.ENSP00000414321/9606.ENSP00000375730/9606.ENSP00000225430/9606.ENSP00000309830/9606.ENSP00000393393/9606.ENSP00000196551/9606.ENSP00000393241/9606.ENSP00000346050/9606.ENSP00000341285/9606.ENSP00000341826/9606.ENSP00000202773/9606.ENSP00000330054/9606.ENSP00000379888/9606.ENSP00000322419/9606.ENSP00000363018/9606.ENSP00000262584/9606.ENSP00000272317/9606.ENSP00000362744/9606.ENSP00000418082/9606.ENSP00000309334/9606.ENSP00000346015/9606.ENSP00000339027/9606.ENSP00000251453/9606.ENSP00000386717/9606.ENSP00000230050/9606.ENSP00000377865/9606.ENSP00000378160/9606.ENSP00000296674/9606.ENSP00000433821/9606.ENSP00000346045/9606.ENSP00000363676/9606.ENSP00000429374/9606.ENSP00000346088/9606.ENSP00000346022/9606.ENSP00000311430/9606.ENSP00000359345/9606.ENSP00000431872/9606.ENSP00000369757/9606.ENSP00000346001/9606.ENSP00000346037/9606.ENSP00000270625/9606.ENSP00000261182/9606.ENSP00000345156/9606.ENSP00000362873/9606.ENSP00000365439/9606.ENSP00000352257/9606.ENSP00000344504/9606.ENSP00000228318/9606.ENSP00000345230/9606.ENSP00000338030/9606.ENSP00000240922
MD30	22	0	22	22	0	3	0.0149676484615966	SIPA1L2/AOC3/PMP22/MFAP4/ADARB1/PTPRD/LIMCH1/OLFML2A/TGM2/INMT/FN1/FBLN5/FMO2/PPP1R3C/LMO4/TCF21/EGFL6/CAMK2N1/S1PR1/NPNT/SHISA3/CBLN2	9606.ENSP00000262861/9606.ENSP00000312326/9606.ENSP00000308937/9606.ENSP00000378957/9606.ENSP00000353920/9606.ENSP00000348812/9606.ENSP00000316891/9606.ENSP00000362682/9606.ENSP00000355330/9606.ENSP00000013222/9606.ENSP00000346839/9606.ENSP00000345008/9606.ENSP00000209929/9606.ENSP00000238994/9606.ENSP00000359573/9606.ENSP00000237316/9606.ENSP00000369976/9606.ENSP00000364219/9606.ENSP00000305416/9606.ENSP00000389252/9606.ENSP00000326445/9606.ENSP00000269503
