cluster	db	category	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
MD5	TF	binding	HOXA5	HOXA5	13/25	3372/56227	3.33288882449385e-10	3.14291416149771e-07	2.99609163801869e-07	NPIPB3/NPIPB4/NBPF20/AC240274.1/NBPF12/NBPF11/NBPF9/NBPF15/NBPF8/NBPF10/NBPF26/NBPF14/NBPF19	13
MD5	TF	binding	STAT5A	STAT5A	13/25	8363/56227	1.52912207305816e-05	0.00720981057446924	0.00687300131785091	PNKD/NBPF1/AC240274.1/NBPF12/NBPF11/NBPF9/NBPF15/NBPF8/NBPF10/NBPF26/NBPF14/BCLAF1/BCLAF1P2	13
MD5	TF	binding	STAT5B	STAT5B	13/25	9385/56227	5.42039657606436e-05	0.0127785849280717	0.0121816280946288	TMEM87B/ALS2/NPIPB5/NBPF1/NBPF12/NBPF11/NBPF9/NBPF15/NBPF26/NBPF14/NBPF19/BCLAF1/BCLAF1P2	13
MD5	TF	binding	HOMEZ	HOMEZ	5/25	1274/56227	0.000215802980105601	0.0386326711030182	0.0368279300351371	TMEM87B/NBPF1/NBPF12/NBPF11/NBPF10	5
MD5	TF	binding	ZNF251	ZNF251	6/25	2146/56227	0.000290724046458345	0.0386326711030182	0.0368279300351371	LRP12/NPIPB12/PNKD/NBPF12/NBPF11/NBPF9	6
MD5	TF	binding	TRPS1	TRPS1	10/25	6667/56227	0.000327742702888808	0.0386326711030182	0.0368279300351371	LRP12/NPIPB3/NPIPB4/NBPF20/NBPF1/AC240274.1/NBPF12/NBPF11/NBPF8/NBPF10	10
MD8	TF	binding	ZFP64	ZFP64	17/20	18194/56227	1.77986707860274e-06	0.00122969188956991	0.00115380120656413	NEGR1/EIF4E2/CHTOP/PARP9/FBXW11/TUB/CMKLR1/GSTM3/CD2BP2/FDPS/NR4A2/LDLR/DHCR24/MSMO1/INSIG1/HMGCR/IDI1	17
MD8	TF	binding	ZNF148	ZNF148	20/20	29504/56227	2.49683632399982e-06	0.00122969188956991	0.00115380120656413	NEGR1/EIF4E2/CHTOP/PARP9/FBXW11/TUB/BET1L/CMKLR1/GSTM3/CD2BP2/FDPS/NR4A2/FDFT1/LDLR/DHCR24/SQLE/MSMO1/INSIG1/HMGCR/IDI1	20
MD8	TF	binding	KLF15	KLF15	17/20	20410/56227	1.0661795545919e-05	0.00250050461782888	0.00234618547096314	NEGR1/EIF4E2/CHTOP/PARP9/FBXW11/TUB/BET1L/CMKLR1/GSTM3/CD2BP2/NR4A2/LDLR/DHCR24/SQLE/MSMO1/INSIG1/IDI1	17
MD8	TF	binding	ZBTB11	ZBTB11	15/20	17398/56227	6.4037647715427e-05	0.00700856477774395	0.00657602978878888	NEGR1/EIF4E2/CHTOP/PARP9/TUB/BET1L/CMKLR1/GSTM3/NR4A2/FDFT1/LDLR/SQLE/MSMO1/INSIG1/IDI1	15
MD8	TF	binding	KLF7	KLF7	16/20	20445/56227	8.4958196977533e-05	0.008368382402287	0.00785192599434462	EIF4E2/CHTOP/TUB/BET1L/CMKLR1/GSTM3/CD2BP2/NR4A2/FDFT1/LDLR/DHCR24/SQLE/MSMO1/INSIG1/HMGCR/IDI1	16
MD8	TF	binding	KLF12	KLF12	18/20	28155/56227	0.000205649909474744	0.0168804300693852	0.015838650922704	NEGR1/EIF4E2/CHTOP/FBXW11/TUB/BET1L/CMKLR1/GSTM3/CD2BP2/NR4A2/FDFT1/LDLR/DHCR24/SQLE/MSMO1/INSIG1/HMGCR/IDI1	18
MD8	TF	binding	EGR1	EGR1	14/20	16912/56227	0.000268425638067351	0.0203384041151031	0.0190832154026829	NEGR1/EIF4E2/CHTOP/TUB/BET1L/CMKLR1/CD2BP2/NR4A2/FDFT1/DHCR24/SQLE/MSMO1/INSIG1/IDI1	14
MD8	TF	binding	ZNF37A	ZNF37A	17/20	26408/56227	0.000519198097429118	0.0365292947119772	0.0342748819205087	NEGR1/EIF4E2/CHTOP/PARP9/FBXW11/TUB/BET1L/CMKLR1/GSTM3/CD2BP2/FDPS/NR4A2/FDFT1/SQLE/MSMO1/INSIG1/IDI1	17
MD8	TF	binding	KLF11	KLF11	13/20	15722/56227	0.000610906456443408	0.0401161906397838	0.0376404118426184	NEGR1/CHTOP/PARP9/TUB/BET1L/GSTM3/CD2BP2/FDFT1/DHCR24/SQLE/MSMO1/INSIG1/IDI1	13
MD11	TF	binding	KLF11	KLF11	9/11	15722/56227	0.000321757998721665	0.0391069006134186	0.0352237954521296	MXRA7/CAPZB/APEH/TADA3/CDC42EP4/ADAMTS2/AGPAT1/KDELC2/RBM3	9
MD11	TF	binding	NRF1	NRF1	7/11	8899/56227	0.000452626171565264	0.0420793984791361	0.0379011402470787	APEH/CDC42EP4/AGPAT1/KDELC2/RBM3/WBSCR17/DCTN5	7
MD11	TF	binding	SP3	SP3	10/11	21889/56227	0.00056756979704982	0.044043416251066	0.0396701416043242	MXRA7/CAPZB/APEH/TADA3/CDC42EP4/ADAMTS2/AGPAT1/KDELC2/RBM3/WBSCR17	10
MD12	TF	binding	ZNF200	ZNF200	6/9	6005/56227	9.33307457125249e-05	0.0396908954526085	0.0373264935458944	EIF1B/AK6/ARPC3/PCBP1/FKBP1A/KLHL15	6
MD13	TF	binding	ZNF704	ZNF704	10/16	5204/56227	2.16713413525822e-07	0.000202410328233118	0.000177020640943198	KLF10/HNRNPH3/ZFP36L2/HES1/FBXL19-AS1/NABP1/TMEM57/GADD45A/C16orf72/TOB1	10
MD13	TF	binding	ZBTB11	ZBTB11	14/16	17398/56227	4.46554464999176e-06	0.00139027290103077	0.0012158816310153	ASXL2/HLX/MRPL44/KLF10/HNRNPH3/ZFP36L2/HES1/FBXL19-AS1/NABP1/HERPUD1/TMEM57/GADD45A/C16orf72/TOB1	14
MD13	TF	binding	KLF15	KLF15	14/16	20410/56227	3.61321751431573e-05	0.00543977671185794	0.00475742897374255	ASXL2/HLX/MRPL44/KLF10/HNRNPH3/ZFP36L2/HES1/FBXL19-AS1/NABP1/HERPUD1/TMEM57/GADD45A/C16orf72/TOB1	14
MD13	TF	binding	KLF7	KLF7	14/16	20445/56227	3.69448616830377e-05	0.00543977671185794	0.00475742897374255	ASXL2/HLX/MRPL44/KLF10/HNRNPH3/ZFP36L2/HES1/FBXL19-AS1/NABP1/HERPUD1/TMEM57/GADD45A/C16orf72/TOB1	14
MD13	TF	binding	ZBTB14	ZBTB14	10/16	9171/56227	4.07692044785927e-05	0.00543977671185794	0.00475742897374255	ASXL2/KLF10/HNRNPH3/ZFP36L2/HES1/FBXL19-AS1/TMEM57/GADD45A/C16orf72/TOB1	10
