cluster	db	category	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
MD5	miRNA	binding	MIR3942	MIR3942	6/13	210/14185	1.54283733074349e-08	4.08851892647024e-07	3.76235770128675e-07	NBPF1/NBPF12/NBPF11/NBPF15/NBPF10/NBPF14	6
MD16	miRNA	binding	MIR186	MIR186	13/51	1161/14185	0.000173596556685909	0.0314838512936962	0.0270747755097371	TCP1/PPP1R15B/CHORDC1/HNRNPU/EIF1/RHOB/BTG2/DNAJB4/HSP90AB1/HSP90AA1/PNRC1/JUND/MCL1	13
MD16	miRNA	binding	MIR3153	MIR3153	5/51	196/14185	0.000671281694144461	0.0499330306336688	0.0429402865080263	PPP1R15B/EIF4A3/PNRC1/JUND/MCL1	5
MD26	miRNA	binding	MIR744	MIR744	10/55	652/14185	0.000176157711430188	0.0409428583237262	0.035806424418776	NONO/CAPNS1/ACTB/ACTG1/CNN2/PABPC1/ATP5B/HNRNPC/PTMA/RPL10	10
MD27	miRNA	binding	MIR186	MIR186	15/63	1161/14185	0.000130082414885525	0.012054303779392	0.0112585949725484	RPL24/RPL27/RPL36/RACK1/RPL32/EEF2/HNRNPA1/EEF1A1/RPS4X/RPL9/RPL4/RPL5/RPLP1/RPL14/H1F0	15
MD27	miRNA	binding	MIR23B	MIR23B	9/63	471/14185	0.00021850647762353	0.0143317583572976	0.013385713977534	EIF4B/NPM1/RACK1/RPL19/EEF1A1/RPS27A/RPL22/HNRNPK/STARD7	9
MD27	miRNA	binding	MIR744	MIR744	10/63	652/14185	0.000553122312512615	0.0292778811286851	0.0273452379593929	RACK1/RPL13/RPL10A/RPL4/RPS6/RPL3/RPLP1/H1F0/SLC25A3/NAA50	10
MD36	miRNA	binding	MIR548AH	MIR548AH	8/30	594/14185	2.32986503435875e-05	0.00757241672517914	0.0066092095438739	NR3C1/FUNDC2/KRT10/SLC25A11/IGF1R/TNKS2/LMBR1/SUZ12	8
MD46	miRNA	binding	MIR3942	MIR3942	5/17	210/14185	3.63003617753169e-06	0.000772264162330612	0.000687171821839053	TROVE2/NBPF15/NBPF12/NBPF10/NBPF14	5
MD56	miRNA	binding	MIR186	MIR186	20/87	1161/14185	1.82020119421754e-05	0.00289200532418368	0.00275460421774309	LDHB/BTF3/RPL24/EEF2/RPL29/RPS2/RPL32/RPLP1/RPS7/RPS21/RACK1/RPL27/RPL14/RPL36/RPL4/RPS4X/RPL5/HNRNPA1/EEF1A1/RPL9	20
MD56	miRNA	binding	MIR744	MIR744	12/87	652/14185	0.000604159542056078	0.034927973525117	0.0332685221513775	EIF3M/RPL37/PTMA/RPL10/RPLP1/RACK1/RPL7A/RPL13/RPL4/RPS6/RPL10A/RPL3	12
MD66	miRNA	binding	MIR570	MIR570	11/134	245/14185	2.06753300825679e-05	0.00145053763158227	0.00106182997155349	TMEM2/HNRNPA2B1/KLF10/CDKN2AIP/NUFIP2/ARL6IP1/KLHL15/MYLIP/CDKN1A/CALM1/HSPA1B	11
MD66	miRNA	binding	MIR186	MIR186	26/134	1161/14185	2.78946004046649e-05	0.00154931259747576	0.00113413572697914	ANKRD42/TMEM2/PTP4A1/SPTY2D1/GLUL/PNRC1/EIF5/NUFIP2/PPP1R15B/CHORDC1/ARL5B/MYC/MYLIP/DNAJB4/TCP1/AMD1/SAT1/SRSF3/JUND/RHOB/BTG2/HSP90AB1/EIF1/TUBB4B/HSP90AA1/MCL1	26
MD66	miRNA	binding	MIR551B	MIR551B	8/134	156/14185	0.000115523988805891	0.00358124365298261	0.00262156028453025	TMEM2/HNRNPA2B1/NUFIP2/NOLC1/CHORDC1/ARL6IP1/AMD1/SAT1	8
