cluster	gene	size	boundary	protein_coding	lncRNA	sncRNA	pseudogene	Ig/TCR	tf	enrich_TF	enrich_miRNA	enrich_GO	enrich_KEGG	enrich_PPI
MD1	GOLGA2P5	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	ELMOD3	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	GDA	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	ABCB9	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	SNURF	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	GRIN2B	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	CCDC170	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	RP11-420N3.2	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	NAV2-AS3	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	PRX	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	CTD-2562J17.2	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	PLA2G4C	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	RPLP0P2	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	KSR2	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	AVIL	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	KIAA0556	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	TG	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	RP6-91H8.3	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	CTB-47B11.3	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	AC100830.3	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	HCK	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	RRP7BP	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD1	CTA-414D7.1	23	1:23	0.565217391304348	0.304347826086957	0	0.130434782608696	0	0	FALSE	FALSE	FALSE	TRUE	FALSE
MD2	NEB	10	24:33	0.6	0.4	0	0	0	0.1	FALSE	FALSE	FALSE	FALSE	FALSE
MD2	RP5-1065J22.8	10	24:33	0.6	0.4	0	0	0	0.1	FALSE	FALSE	FALSE	FALSE	FALSE
MD2	PDE4C	10	24:33	0.6	0.4	0	0	0	0.1	FALSE	FALSE	FALSE	FALSE	FALSE
MD2	CACNA1E	10	24:33	0.6	0.4	0	0	0	0.1	FALSE	FALSE	FALSE	FALSE	FALSE
MD2	FAM153B	10	24:33	0.6	0.4	0	0	0	0.1	FALSE	FALSE	FALSE	FALSE	FALSE
MD2	RP11-197N18.8	10	24:33	0.6	0.4	0	0	0	0.1	FALSE	FALSE	FALSE	FALSE	FALSE
MD2	GPM6A	10	24:33	0.6	0.4	0	0	0	0.1	FALSE	FALSE	FALSE	FALSE	FALSE
MD2	RP4-539M6.14	10	24:33	0.6	0.4	0	0	0	0.1	FALSE	FALSE	FALSE	FALSE	FALSE
MD2	AC008697.1	10	24:33	0.6	0.4	0	0	0	0.1	FALSE	FALSE	FALSE	FALSE	FALSE
MD2	CRX	10	24:33	0.6	0.4	0	0	0	0.1	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	AC004951.6	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	CTD-2014B16.3	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	ELOCP22	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	CACNA1A	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	KCNMB1	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	ZSCAN5A	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	AC104667.3	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	RP11-426J5.3	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	CCDC88C	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	GREB1L	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	BTBD8--1	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	LEP	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	CTA-228A9.4	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	NCKAP1L	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	LAMA3	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	EHF	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	AC006548.28	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	EAF1-AS1	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	TGM4	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	RP11-34P1.1	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	OSBPL6	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD3	LRRC69	22	34:55	0.590909090909091	0.318181818181818	0	0.0909090909090909	0	0.0909090909090909	FALSE	FALSE	FALSE	FALSE	FALSE
MD4	POLN	14	56:69	0.571428571428571	0.428571428571429	0	0	0	0	FALSE	FALSE	FALSE	FALSE	FALSE
MD4	CAMK1D	14	56:69	0.571428571428571	0.428571428571429	0	0	0	0	FALSE	FALSE	FALSE	FALSE	FALSE
MD4	RHOH	14	56:69	0.571428571428571	0.428571428571429	0	0	0	0	FALSE	FALSE	FALSE	FALSE	FALSE
MD4	PGA3	14	56:69	0.571428571428571	0.428571428571429	0	0	0	0	FALSE	FALSE	FALSE	FALSE	FALSE
