Lung.Fibro-0	Ovary.Granulosa-R-Al	Pancreas.Fibro-PAMR1+SOX6+	Small intestine.Fibro-COL14A1	Small intestine.Fibro-COL6A5	Small intestine.SM-Visceral	Small intestine.T	Stomach.Fibro-ADAM28	Stomach.Fibro-FBLN1	Stomach.Fibro-IRF1
MD1	0.0965301599432253	0.0374823777612093	0.031211795748237	0.0672407352335477	0.0605860249927653	0.0759355075001503	0.0746587540000248	0.0357553376117322	0.0491525112805997	0.0466940408447576
MD2	0.129507554141281	0.0213730862575966	0.0491831627484453	0.0351811445205345	0.0443438405738822	0.0743922161707724	0.0925673910483147	0.0586371999295011	0.0438798218146874	0.0384625016565044
MD3	0.114069070064819	0.0570764490827291	0.0682006472386304	0.0594049203666295	0.0699139836218278	0.0639568003937245	0.0746315212570299	0.0591220744350915	0.0649177792440052	0.0641480971243207
MD4	0.115577845287277	0.0400321359666916	0.0202059840026274	0.0392200687001333	0.0610785943324377	0.0470391857687366	0.0631595493993128	0.0484224393974256	0.0479512052033349	0.0438794228231586
MD5	0.119666407223357	0.0848140955526634	0.114679277278355	0.124888358056759	0.0969331306343291	0.118000497382813	0.0942935977574914	0.109016445777828	0.12387256733662	0.117661370363517
MD6	0.129215420440874	0.0190219547006965	0.0234511190851928	0.0198306248099078	0.0254070855345477	0.0251546073143003	0.00920490460203692	0.0168371182445211	0.0261644511343895	0.0221239688359411
MD7	0.0883538332987439	0.00308413472295111	0.0275978528714549	0.0299149797575182	0.0137318828397562	0.0149471711881609	0.026707422787278	0.0217805768436169	0.032644715514017	0.0110069198491412
MD8	0.0945832005329098	0.0269900106820818	0.0826544624173459	0.0266210331496633	0.0181293143340155	0.0228463590836817	0.0555372600403998	0.0194859639215739	0.0216798789002938	0.0231141965944543
MD9	0.0960915487728675	0.0224373556810429	0.0348861611565524	0.0514637308390616	0.0657743818745709	0.0291412649766171	0.134676401826064	0.0597714066369747	0.0465940216900704	0.057665028524887
MD10	0.0980786228052121	-0.000824412223841636	0.0130327233774367	0.00962915365619417	0.0155907423017291	0.0235116061088788	0.00944609642497327	0.0270474244152843	0.0191574482155343	0.00985394672319736
MD11	0.118355940237389	0.0193610697979114	0.0290503871444171	0.0376049031494234	0.0112326000270602	0.013972135555566	0.0448149170121187	0.00610263891043664	0.0373735222722031	0.0311949129416144
MD12	0.107004859019581	0.0131709229525251	0.0643000569079443	0.0340443125783095	0.0431578587733101	0.0424917465773527	0.0153888105043732	0.0325453476857806	0.0551423287469919	0.0138773239970759
MD13	0.0888854339356745	0.0390346065303564	0.0617279956794676	0.0428178287231775	0.0527313740905836	0.0647597735314016	0.00540728683709645	0.038607642939505	0.0563975520088323	0.0227424205633997
MD14	0.0950019003344534	0.0646916934155332	0.106249312391108	0.0835823851904137	0.0658064325609622	0.114624881445815	0.0341978479271994	0.0460008477917142	0.093246596522351	0.0415842693313925
MD15	0.114023215646336	0.0730818478797566	0.17064712691175	0.110766863822805	0.143180059969548	0.155614338425268	0.0394794380359323	0.0703997499017987	0.127859831700068	0.0271749301590844
MD16	0.288384577893378	0.154419458529518	0.338435736882707	0.303193754673345	0.308771086505068	0.366173335342469	0.0959996675421287	0.184970453848069	0.28529288410001	0.0886331258575716
MD17	0.0936654024216356	0.0233873292634948	0.0378402718514721	0.028079404204495	0.0261877422104278	0.0247416628795636	0.0434829545289971	0.0248011004797925	0.0387094005599237	0.0161648267172619
MD18	0.088430838971149	0.0257603948665378	0.0294725047463066	0.0263853288616236	0.024336396298501	0.0242417447934979	0.045333183164677	0.0271987689707604	0.0308708750301697	0.0178329440715074
MD19	0.0957845208255745	0.0255895009099635	0.0308415779759352	0.0269896695236697	0.0269486181907257	0.0246523294527863	0.0390905483584253	0.0232815544580171	0.0362305747616986	0.0262045950110507
MD20	0.0905523799999712	0.0379716627395731	0.0245921790323344	0.0216383294862821	0.0171943040711458	0.0189861417373905	0.0325622475085999	0.029849334363414	0.0409857244232904	0.0193406662002944
MD21	0.0948621591001199	0.0395006497416352	0.0289624912792278	0.030297523550377	0.0292314747592417	0.0301859959887415	0.0313889323515556	0.0296248967820138	0.0329687988457679	0.0184461771256408
MD22	0.106255230802213	0.0481669989149428	0.0499508559449512	0.0433993530162604	0.0402278377957726	0.043658705604114	0.0925969180953345	0.048394507638188	0.0699004328318444	0.0506980765455654
MD23	0.126145537892071	0.0355705936325446	0.042899320724561	0.031215324791796	0.0250134344882352	0.0264847336836884	0.0881242301198359	0.0340645394603586	0.0414909088373222	0.0185139597143612
MD24	0.104354436543932	0.0448391010509865	0.0598293262441367	0.0320105541198661	0.0307261774439571	0.0394585457632846	0.0553400323095037	0.0253256420839999	0.0396690863154935	0.0320767448526189
MD25	0.121320520371226	0.0812206334560703	0.0813999147030639	0.0505261905675462	0.0620526385190993	0.0578399343687177	0.0855493170710487	0.0527385886681617	0.0480354303049958	0.0419512912752856
MD26	0.143475226011921	0.0639513919308902	0.0802685032851412	0.057912577070071	0.0528375794485957	0.0557482459622526	0.0745499662247162	0.04187664476745	0.0835978403323285	0.0435096126931489
MD27	0.232335257717433	0.299793252500179	0.246566529329016	0.155691603259106	0.154630647300777	0.172545522376206	0.330028041242333	0.126390988406696	0.220309438681424	0.112380727084589
MD28	0.0967016317661561	0.0215365090574174	0.0261479758013702	0.0288811043644548	0.0162067426000086	0.0200577617376599	0.0422166518093495	0.028821021336838	0.0338052359485045	0.027842187985567
MD29	0.0896102146541068	0.00768211479077467	0.0263608925825059	0.0227884245826773	0.0233556257649876	0.0209694393726799	0.0283248868348618	0.0123629547021923	0.027722504820149	0.0154353265453971
MD30	0.163823018674753	0.0230266204744765	0.0280588879870868	0.0372106939815364	0.0143443603075669	0.0113136810555139	0.00823778679549306	0.0284232872629058	0.0311383276089978	0.0303085602304456
