Lung.Fibro-0	Ovary.Granulosa-R-Al	Pancreas.Fibro-PAMR1+SOX6+	Small intestine.Fibro-COL14A1	Small intestine.Fibro-COL6A5	Small intestine.SM-Visceral	Small intestine.T	Stomach.Fibro-ADAM28	Stomach.Fibro-FBLN1	Stomach.Fibro-IRF1
MD1	12.6258569854198	16.9293518779814	8.98056968365964	9.28335917535133	14.4268634196084	12.6882678765147	13.6231148972842	18.4834437748364	13.3534283141724	17.2938606705612
MD2	14.1938104650206	33.5510584717431	11.7142310232949	14.5229881384766	17.2857831270911	13.5328780445767	14.0315205038952	32.1661898840062	25.0753488228324	25.0964005700441
MD3	15.1129034243223	9.30957749700929	9.97346362822776	9.7632755092303	15.7911833392098	15.0401511480866	32.1623200730911	24.0175983758606	13.916760345009	17.3677462773398
MD4	15.0184659091038	13.4571118485479	14.2944956915059	14.259653233516	18.655308564401	15.2449933887095	36.3596210478561	25.8458684392295	15.2011748015931	17.723130524922
MD5	80.6700734291501	89.1042009371987	111.405035257657	92.0679314560707	85.8785910301127	106.210911771959	66.7093014406022	90.5048827458539	69.2479005528793	84.4274150117469
MD6	424.068324193315	48.8794374882735	360.76153498868	272.808871420755	167.774564827061	180.205085124342	12.1155828926863	317.073311458706	177.267335652484	255.69204366057
MD7	48.7805991420861	65.4666511830433	45.6428246236607	44.1490999082488	48.3720813973945	53.5450574068825	62.9465398562633	47.5029470066229	54.1514036789464	51.6674093643125
MD8	48.9913238419735	62.7745189674873	89.2685341749974	47.5922065721159	50.4326293545372	58.542019743301	118.98194678261	53.310581641954	54.4983636423816	64.0641888328551
MD9	36.9666613252744	48.5477953779737	38.6805955090592	37.4550232772958	45.3766151415262	44.9091576847494	70.9644362349669	56.6157661272021	43.6571236687348	54.33837792386
MD10	96.2018372140521	85.6934296217561	82.913824409164	80.2609302307095	94.9588994499602	102.309559554185	110.232773909267	91.6472143172703	62.5290409155652	88.3309470837726
MD11	99.4167101672732	63.8256839638499	98.3524592795642	79.3573499670423	73.2883611982809	73.4740543585414	66.6064876606107	65.3168216195899	85.6711872497124	61.5654946747801
MD12	101.511719860314	148.385734621796	137.258320701499	154.77164464018	146.179259650948	151.536853367724	143.302779929657	110.969148214455	119.37596572472	161.679939037726
MD13	84.926756800718	79.0795573157795	118.82048861397	115.74848364396	147.087844756189	107.783108021466	121.441085896821	91.3113746215826	99.7089645423134	180.504296040887
MD14	205.208585445625	141.196103459743	269.947026011952	298.143057955949	267.900527885365	194.107403797855	179.033149297706	156.711516822963	243.482485896273	296.288766460477
MD15	385.340395590605	265.610198199497	399.850461035449	505.776249617178	516.111747086736	415.586338182494	571.894380646958	384.212132321944	484.758056520694	666.819610103507
MD16	707.125256040076	389.027653438503	761.965975974406	1146.45196090069	965.641147967039	859.729483389199	953.174083646324	484.868559719937	983.491623250316	1477.66173227189
