tissue	ident	color	description
Esophagus	Epi	#F8766D	Epithelial cells
Esophagus	Endo	#DB8E00	Endothelial cells
Esophagus	SM	#AEA200	Smooth muscle cells
Esophagus	Fibro-LRRC17	#64B200	Fibroblasts with the high expression of LRRC17
Esophagus	Fibro-PLPPR4	#00BD5C	Fibroblasts with the high expression of PLPPR4
Esophagus	Fibro-C7	#00C1A7	Fibroblasts with the high expression of C7
Esophagus	Fibro-Prol	#00BADE	Fibroblasts (Proliferative)
Esophagus	Glial	#00A6FF	Glial cells
Esophagus	Immune	#B385FF	Immune cells
Esophagus	MSC	#EF67EB	Mesenchymal stem cells
Esophagus	Erythrocyte	#FF63B6	Erythrocytes
Stomach	Epi	#F8766D	Epithelial cells
Stomach	Endo	#E9842C	Endothelial cells
Stomach	SM-Visceral	#D69100	Smooth muscle cells (Visceral)
Stomach	SM-Vascular	#BC9D00	Smooth muscle cells (Vascular)
Stomach	Fibro-KCNJ8	#9CA700	Fibroblasts with the high expression of KCNJ8
Stomach	Fibro-ADAM28	#6FB000	Fibroblasts with the high expression of ADAM28
Stomach	Fibro-IRF1	#00B813	Fibroblasts with the high expression of IRF1
Stomach	Fibro-VSTM2A	#00BD61	Fibroblasts with the high expression of VSTM2A
Stomach	Fibro-FBLN1	#00C08E	Fibroblasts with the high expression of FBLN1
Stomach	Fibro-NRK	#00C0B4	Fibroblasts with the high expression of NRK
Stomach	Fibro-PRSS35	#00BDD4	Fibroblasts with the high expression of PRSS35
Stomach	Fibro-Prol	#00B5EE	Fibroblasts (Proliferative)
Stomach	Glial	#00A7FF	Glial cells
Stomach	B	#7F96FF	B cells
Stomach	DC/Macro	#BC81FF	Dendritic cells / Macrophages
Stomach	T	#E26EF7	T cells
Stomach	CACNA1A-ELF3+	#F863DF	CACNA1A+ cells with the high expression of ELF3
Stomach	CACNA1A-ELF3-	#FF62BF	CACNA1A+ cells with the low expression of ELF3
Stomach	Erythrocyte	#FF6A9A	Erythrocytes
Small intestine	Epi	#F8766D	Epithelial cells
Small intestine	Endo	#E9842C	Endothelial cells
Small intestine	SM-Visceral	#D69100	Smooth muscle cells (Visceral)
Small intestine	SM-Vascular	#BC9D00	Smooth muscle cells (Vascular)
Small intestine	Fibro-COL14A1	#9CA700	Fibroblasts with the high expression of COL14A1
Small intestine	Fibro-GPC3	#6FB000	Fibroblasts with the high expression of GPC3
Small intestine	Fibro-VCAM1	#00B813	Fibroblasts with the high expression of VCAM1
Small intestine	Fibro-KCNN3	#00BD61	Fibroblasts with the high expression of KCNN3
Small intestine	Fibro-COL6A5	#00C08E	Fibroblasts with the high expression of COL6A5
Small intestine	Fibro-CXCL14	#00C0B4	Fibroblasts with the high expression of CXCL14
Small intestine	Fibro-ZEB1	#00BDD4	Fibroblasts with the high expression of ZEB1
Small intestine	Fibro-Prol	#00B5EE	Fibroblasts (Proliferative)
Small intestine	Glial	#00A7FF	Glial cells
Small intestine	B	#7F96FF	B cells
Small intestine	DC/Macro	#BC81FF	Dendritic cells / Macrophages
Small intestine	T	#E26EF7	T cells
Small intestine	T-Prog	#F863DF	T cells (Progenitor)
Small intestine	CACNA1A	#FF62BF	CACNA1A+ cells
Small intestine	Erythrocyte	#FF6A9A	Erythrocytes
Large intestine	Epi	#F8766D	Epithelial cells
Large intestine	Endo	#E58700	Endothelial cells
Large intestine	SM-Visceral	#C99800	Smooth muscle cells (Visceral)
Large intestine	SM-Vascular	#A3A500	Smooth muscle cells (Vascular)
Large intestine	Fibro-VCAN	#6BB100	Fibroblasts with the high expression of VCAN
Large intestine	Fibro-DPT	#00BA38	Fibroblasts with the high expression of DPT
Large intestine	Fibro-ADAMDEC1	#00BF7D	Fibroblasts with the high expression of ADAMDEC1
Large intestine	Fibro-BMP5	#00C0AF	Fibroblasts with the high expression of BMP5
Large intestine	Fibro-Prol	#00BCD8	Fibroblasts (Proliferative)
Large intestine	Glial	#00B0F6	Glial cells
Large intestine	DC/Macro	#619CFF	Dendritic cells / Macrophages
Large intestine	Mast	#B983FF	Mast cells
Large intestine	T	#E76BF3	T cells
Large intestine	CACNA1A	#FD61D1	CACNA1A+ cells
Large intestine	Erythrocyte	#FF67A4	Erythrocytes
Pancreas	Epi-CADPS	#F8766D	Epithelial cells with the high expression of CADPS
Pancreas	Epi-SPINK1	#E9842C	Epithelial cells with the high expression of SPINK1
Pancreas	Endo-FLT1	#D69100	Endothelial cells with the high expression of FLT1
Pancreas	Endo-NTS	#BC9D00	Endothelial cells with the high expression of NTS
Pancreas	SM	#9CA700	Smooth muscle cells
Pancreas	Fibro-PAMR1+SOX6+	#6FB000	Fibroblasts (PAMR1:high;SOX6:high)
Pancreas	Fibro-PAMR1+SOX6-	#00B813	Fibroblasts (PAMR1:high;SOX6:low)
Pancreas	Fibro-THBS2	#00BD61	Fibroblasts with the high expression of THBS2
Pancreas	Fibro-IGFBP3	#00C08E	Fibroblasts with the high expression of IGFBP3
Pancreas	Fibro-ITGA8	#00C0B4	Fibroblasts with the high expression of ITGA8
Pancreas	Fibro-Prol	#00BDD4	Fibroblasts (Proliferative)
Pancreas	Glial	#00B5EE	Glial cells
Pancreas	B-IGHM	#00A7FF	B cells with the high expression of IGHM
Pancreas	B-MME	#7F96FF	B cells with the high expression of MME
Pancreas	B-Prol	#BC81FF	B cells (Proliferative)
Pancreas	NKT	#E26EF7	NKT cells
Pancreas	T	#F863DF	T cells
Pancreas	CACNA1A	#FF62BF	CACNA1A+ cells
Pancreas	Erythrocyte	#FF6A9A	Erythrocytes
Liver	Epi	#F8766D	Epithelial cells
Liver	Endo-DNTT	#E88526	Endothelial cells with the high expression of DNTT
Liver	Endo-Portal	#D39200	Endothelial cells (Portal)
Liver	Endo-Prol	#B79F00	Endothelial cells (Proliferative)
Liver	Fibro	#93AA00	Fibroblasts
Liver	MPP	#5EB300	Multipotent progenitors
Liver	B-MS4A1+	#00BA38	B cells with the high expression of MS4A1
Liver	B-MS4A1-	#00BF74	B cells with the low expression of MS4A1
Liver	B-Prol	#00C19F	B cells (Proliferative)
Liver	DC/Macro	#00BFC4	Dendritic cells / Macrophages
Liver	Mast-Prog	#00B9E3	Mast cells (Progenitor)
Liver	NKT-IL2RB	#00ADFA	NKT cells with the high expression of IL2RB
Liver	NKT-SYNE1	#619CFF	NKT cells with the high expression of SYNE1
Liver	NKT-Prol	#AE87FF	NKT cells (Proliferative)
Liver	T	#DB72FB	T cells
Liver	Hepatocyte	#F564E3	Hepatocytes
Liver	Erythrocyte	#FF61C3	Erythrocytes
Liver	Erythrocyte-Prol	#FF699C	Erythrocytes (Proliferative)
Kidney	PT	#F8766D	Proximal tubule cells
Kidney	LoH	#EE8043	Loop of Henle cells
Kidney	LoH-Prog	#E18A00	Loop of Henle cells (Progenitor)
Kidney	DT	#D19300	Distal tubule cells
Kidney	PC-CLU	#BE9C00	Principal cells with the high expression of CLU
Kidney	PC-BCAT1	#A8A400	Principal cells with the high expression of BCAT1
Kidney	Epi-Ureter	#8CAB00	Epithelial cells (Ureter)
Kidney	Epi-Prol	#68B100	Epithelial cells (Proliferative)
Kidney	Podocyte-GPC3	#24B700	Podocytes with the high expression of GPC3
Kidney	Podocyte-PLA2R1	#00BB49	Podocytes with the high expression of PLA2R1
Kidney	CM	#00BE70	Cap mesenchyme cells
Kidney	Endo-TEK	#00C090	Endothelial cells with the high expression of TEK
Kidney	Endo-FLT1	#00C1AB	Endothelial cells with the high expression of FLT1
Kidney	Endo-Glomerular	#00BFC4	Endothelial cells (Glomerular)
Kidney	SM	#00BBDA	Smooth muscle cells
Kidney	Fibro-ALDH1A2	#00B5ED	Fibroblasts with the high expression of ALDH1A2
Kidney	Fibro-APCDD1	#00ACFC	Fibroblasts with the high expression of APCDD1
Kidney	Fibro-COL14A1	#42A0FF	Fibroblasts with the high expression of COL14A1
Kidney	Fibro-CYP1B1	#8B93FF	Fibroblasts with the high expression of CYP1B1
Kidney	Fibro-PTGER2	#B684FF	Fibroblasts with the high expression of PTGER2
Kidney	Fibro-GUCY1A2	#D575FE	Fibroblasts with the high expression of GUCY1A2
Kidney	Fibro-Prol	#EB69F0	Fibroblasts (Proliferative)
Kidney	Glial	#F962DD	Glial cells
Kidney	Immune	#FF61C6	Immune cells
Kidney	CACNA1A	#FF65AC	CACNA1A+ cells
Kidney	Erythrocyte	#FF6D8E	Erythrocytes
Bladder	Endo-ENTPD1	#C49A00	Endothelial cells with the high expression of ENTPD1
Bladder	Endo-PODXL	#53B400	Endothelial cells with the high expression of PODXL
Bladder	SM	#00C094	Smooth muscle cells
Bladder	Fibro	#00B6EB	Fibroblasts
Bladder	Immune	#A58AFF	Immune cells
Bladder	Erythrocyte	#FB61D7	Erythrocytes
Lung	Epi	#F8766D	Epithelial cells
Lung	Endo	#DB8E00	Endothelial cells
Lung	SM-STC1	#AEA200	Smooth muscle cells with the high expression of STC1
Lung	SM-HHIP	#64B200	Smooth muscle cells with the high expression of HHIP
Lung	Fibro-0	#00BD5C	Fibroblasts (Basic)
Lung	Fibro-FOSB	#00C1A7	Fibroblasts with the high expression of FOSB
Lung	Fibro-TNC	#00BADE	Fibroblasts with the high expression of TNC
Lung	Fibro-Prol	#00A6FF	Fibroblasts (Proliferative)
Lung	Pericyte	#B385FF	Pericytes
Lung	Immune	#EF67EB	Immune cells
Lung	Erythrocyte	#FF63B6	Erythrocytes
Bronchus	Epi	#F8766D	Epithelial cells
Bronchus	Endo	#D39200	Endothelial cells
Bronchus	SM	#93AA00	Smooth muscle cells
Bronchus	Fibro	#00BA38	Fibroblasts
Bronchus	B-Immature	#00C19F	Immature B cells
Bronchus	B-Mature	#00B9E3	Mature B cells
Bronchus	DC	#619CFF	Dendritic cells
Bronchus	NKT	#DB72FB	NKT cells
Bronchus	T	#FF61C3	T cells
