tissue	cluster	ident	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	spec
stomach	0	Fibro-ADAM28	0.845	1.06528290682133	0.69	1.06528290682133	0.916	0.387	NA	ADAM28	FALSE
stomach	0	Fibro-ADAM28	0.823	0.877017229930899	0.646	0.877017229930899	0.967	0.553	NA	PROM1	FALSE
stomach	0	Fibro-ADAM28	0.813	0.927704920311336	0.626	0.927704920311336	0.988	0.791	NA	BMP4	FALSE
stomach	0	Fibro-ADAM28	0.811	0.940097443140488	0.622	0.940097443140488	0.926	0.513	NA	NTRK3	FALSE
stomach	0	Fibro-ADAM28	0.796	0.815485074079709	0.592	0.815485074079709	0.952	0.544	NA	COL15A1	FALSE
stomach	0	Fibro-ADAM28	0.779	0.886217327814142	0.558	0.886217327814142	0.922	0.615	NA	HSPA12A	FALSE
stomach	0	Fibro-ADAM28	0.775	0.732311395315484	0.55	0.732311395315484	0.98	0.8	NA	PTCH1	FALSE
stomach	0	Fibro-ADAM28	0.762	0.749880256877861	0.524	0.749880256877861	0.935	0.657	NA	GFRA1	FALSE
stomach	0	Fibro-ADAM28	0.749	0.695240136607674	0.498	0.695240136607674	0.896	0.644	NA	PLXDC2	FALSE
stomach	0	Fibro-ADAM28	0.733	0.717890358553609	0.466	0.717890358553609	0.816	0.523	NA	SLC26A2	FALSE
stomach	0	Fibro-ADAM28	0.725	0.911291946047831	0.45	0.911291946047831	0.88	0.736	NA	TSPAN33	FALSE
stomach	1	Fibro-FBLN1	0.971	1.79590059827299	0.942	1.79590059827299	0.999	0.924	NA	FBLN1	TRUE
stomach	1	Fibro-FBLN1	0.956	1.84935172410246	0.912	1.84935172410246	1	0.927	NA	COL1A1	FALSE
stomach	1	Fibro-FBLN1	0.955	1.54807760435976	0.91	1.54807760435976	0.957	0.132	NA	SHISA3	TRUE
stomach	1	Fibro-FBLN1	0.954	1.72201247730042	0.908	1.72201247730042	1	0.934	NA	COL1A2	FALSE
stomach	1	Fibro-FBLN1	0.951	1.82431726650795	0.902	1.82431726650795	0.978	0.395	NA	THBS2	FALSE
stomach	1	Fibro-FBLN1	0.947	1.45853172458284	0.894	1.45853172458284	0.996	0.576	NA	LUM	FALSE
stomach	1	Fibro-FBLN1	0.946	1.44776730082092	0.892	1.44776730082092	0.978	0.297	NA	C1QTNF3	FALSE
stomach	1	Fibro-FBLN1	0.945	1.58834724834062	0.89	1.58834724834062	0.997	0.695	NA	COL14A1	TRUE
stomach	1	Fibro-FBLN1	0.945	1.2773781974503	0.89	1.2773781974503	1	0.858	NA	DCN	FALSE
stomach	1	Fibro-FBLN1	0.943	1.51862980870067	0.886	1.51862980870067	0.986	0.486	NA	GPC3	FALSE
stomach	1	Fibro-FBLN1	0.935	1.27152484863037	0.87	1.27152484863037	1	0.968	NA	SPARC	FALSE
stomach	1	Fibro-FBLN1	0.888	1.03787212688866	0.776	1.03787212688866	0.87	0.171	NA	ANGPTL6	TRUE
stomach	1	Fibro-FBLN1	0.887	1.1357587008614	0.774	1.1357587008614	0.966	0.384	NA	WNT2B	FALSE
stomach	1	Fibro-FBLN1	0.884	1.2088068219808	0.768	1.2088068219808	0.876	0.172	NA	CAPN6	FALSE
stomach	1	Fibro-FBLN1	0.881	1.3067050747907	0.762	1.3067050747907	1	0.965	NA	COL3A1	FALSE
stomach	1	Fibro-FBLN1	0.88	1.10588417810869	0.76	1.10588417810869	0.794	0.047	NA	PI15	TRUE
stomach	1	Fibro-FBLN1	0.876	1.1792226547989	0.752	1.1792226547989	0.997	0.85	NA	FBN1	FALSE
stomach	1	Fibro-FBLN1	0.873	0.909524304606844	0.746	0.909524304606844	0.891	0.245	NA	MAF	FALSE
stomach	1	Fibro-FBLN1	0.851	0.944614972866514	0.702	0.944614972866514	0.953	0.55	NA	FBN2	FALSE
stomach	1	Fibro-FBLN1	0.846	1.05046350105591	0.692	1.05046350105591	0.985	0.825	NA	CCDC80	FALSE
stomach	1	Fibro-FBLN1	0.842	0.887032019778802	0.684	0.887032019778802	0.942	0.49	NA	SRPX	FALSE
stomach	1	Fibro-FBLN1	0.84	0.711797112427784	0.68	0.711797112427784	0.994	0.896	NA	MARCKS	FALSE
stomach	1	Fibro-FBLN1	0.837	0.802024017683808	0.674	0.802024017683808	0.989	0.725	NA	CXCL12	FALSE
stomach	1	Fibro-FBLN1	0.836	0.930237030769661	0.672	0.930237030769661	0.928	0.487	NA	SH3BP5	FALSE
stomach	1	Fibro-FBLN1	0.836	0.748029649732918	0.672	0.748029649732918	0.999	0.876	NA	PBX1	FALSE
stomach	1	Fibro-FBLN1	0.833	0.875623458644283	0.666	0.875623458644283	0.799	0.192	NA	LRRC7	FALSE
stomach	1	Fibro-FBLN1	0.822	1.05160693268464	0.644	1.05160693268464	0.843	0.361	NA	P4HA2	FALSE
stomach	1	Fibro-FBLN1	0.82	0.857153032499895	0.64	0.857153032499895	0.899	0.388	NA	PID1	FALSE
stomach	1	Fibro-FBLN1	0.816	1.13476001308105	0.632	1.13476001308105	0.964	0.767	NA	CFH	FALSE
stomach	1	Fibro-FBLN1	0.815	0.757775032862083	0.63	0.757775032862083	0.96	0.643	NA	MEIS1	FALSE
stomach	1	Fibro-FBLN1	0.814	1.67573227110252	0.628	1.67573227110252	0.746	0.221	NA	SFRP2	FALSE
stomach	1	Fibro-FBLN1	0.814	0.788579997324222	0.628	0.788579997324222	0.823	0.294	NA	MMP16	FALSE
stomach	1	Fibro-FBLN1	0.813	0.843126845459914	0.626	0.843126845459914	0.937	0.456	NA	IGFBP5	FALSE
stomach	1	Fibro-FBLN1	0.813	0.72801324965052	0.626	0.72801324965052	0.981	0.687	NA	FLRT2	FALSE
stomach	1	Fibro-FBLN1	0.812	0.859886573326328	0.624	0.859886573326328	0.906	0.501	NA	SVEP1	FALSE
stomach	1	Fibro-FBLN1	0.809	0.81551983990564	0.618	0.81551983990564	0.945	0.533	NA	PEG3	FALSE
stomach	1	Fibro-FBLN1	0.809	0.711726600832986	0.618	0.711726600832986	0.994	0.947	NA	OLFML3	FALSE
stomach	1	Fibro-FBLN1	0.808	0.8159935230677	0.616	0.8159935230677	0.972	0.632	NA	NR2F1	FALSE
stomach	1	Fibro-FBLN1	0.807	0.754498259325733	0.614	0.754498259325733	0.799	0.247	NA	MOXD1	FALSE
stomach	1	Fibro-FBLN1	0.803	0.75071202912912	0.606	0.75071202912912	0.866	0.393	NA	TMTC2	FALSE
stomach	1	Fibro-FBLN1	0.802	0.71463621299962	0.604	0.71463621299962	0.854	0.368	NA	CRISPLD1	FALSE
stomach	1	Fibro-FBLN1	0.793	0.698823755029464	0.586	0.698823755029464	0.941	0.62	NA	LMO4	FALSE
stomach	1	Fibro-FBLN1	0.79	0.83888511027128	0.58	0.83888511027128	0.938	0.67	NA	KLF4	FALSE
stomach	1	Fibro-FBLN1	0.786	0.904624587930537	0.572	0.904624587930537	0.917	0.629	NA	ITM2A	FALSE
stomach	1	Fibro-FBLN1	0.777	0.738576636528852	0.554	0.738576636528852	0.948	0.672	NA	PEG10	FALSE
stomach	1	Fibro-FBLN1	0.763	1.15726100692917	0.526	1.15726100692917	0.939	0.743	NA	AKAP12	FALSE
