cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.958	2.02183997276499	0.916	2.02183997276499	0.996	0.82	NA	COL1A1	FB-COL14A1	TRUE
0	0.956	1.64421461017488	0.912	1.64421461017488	0.978	0.292	NA	C1QTNF3	FB-COL14A1	TRUE
0	0.95	1.74396331120217	0.9	1.74396331120217	0.989	0.506	NA	COL14A1	FB-COL14A1	TRUE
0	0.948	1.74821947141532	0.896	1.74821947141532	0.998	0.866	NA	COL1A2	FB-COL14A1	TRUE
0	0.947	1.47919663182917	0.894	1.47919663182917	0.999	0.902	NA	COL3A1	FB-COL14A1	FALSE
0	0.937	1.75593295807714	0.874	1.75593295807714	0.976	0.457	NA	THBS2	FB-COL14A1	FALSE
0	0.928	1.43768987741845	0.856	1.43768987741845	0.977	0.449	NA	SHISA3	FB-COL14A1	FALSE
0	0.926	1.29474222100437	0.852	1.29474222100437	0.996	0.913	NA	SPARC	FB-COL14A1	TRUE
0	0.903	0.990340372270318	0.806	0.990340372270318	0.992	0.746	NA	COL5A2	FB-COL14A1	TRUE
0	0.899	1.1103392347046	0.798	1.1103392347046	0.991	0.669	NA	DCN	FB-COL14A1	FALSE
0	0.896	1.62423641589972	0.792	1.62423641589972	0.924	0.338	NA	NPR3	FB-COL14A1	TRUE
0	0.894	1.24029335566276	0.788	1.24029335566276	0.99	0.804	NA	FBLN1	FB-COL14A1	FALSE
0	0.887	1.10399557324788	0.774	1.10399557324788	0.981	0.534	NA	LUM	FB-COL14A1	TRUE
0	0.884	1.43780034041336	0.768	1.43780034041336	0.866	0.161	NA	ADH1B	FB-COL14A1	FALSE
0	0.88	0.980626340791052	0.76	0.980626340791052	0.989	0.795	NA	PBX1	FB-COL14A1	FALSE
0	0.868	1.12299335970787	0.736	1.12299335970787	0.895	0.321	NA	SRPX	FB-COL14A1	FALSE
0	0.866	1.31280150187013	0.732	1.31280150187013	0.903	0.416	NA	PAMR1	FB-COL14A1	FALSE
0	0.857	1.06658732902692	0.714	1.06658732902692	0.995	0.744	NA	VCAN	FB-COL14A1	FALSE
0	0.856	0.931897442628113	0.712	0.931897442628113	0.981	0.662	NA	CXCL12	FB-COL14A1	FALSE
0	0.852	1.94411716980384	0.704	1.94411716980384	0.896	0.579	NA	DPT	FB-COL14A1	FALSE
0	0.852	0.89425030796625	0.704	0.89425030796625	0.968	0.498	NA	LRRC17	FB-COL14A1	FALSE
