cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.1	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
SD-1_01	4592	22354	SD	0.0575735886194864	SD-1	SD	1	1	1-4	6	6	-9.17502796367735	-24.625629651862	0.978612932826818	2783827	0.8776	0.0574399714362224	0.0503326552526075	0.446163595115812	FALSE	TRUE	NC
SD-1_02	4064	18093	SD	0.0521748742607638	SD-1	SD	1	2	1-4	3	3	17.354516834611	-0.799567986852111	0.969072845541967	2406388	0.8603	0.0520569096724385	0.0632473965260453	0.437764225061549	FALSE	TRUE	LUM-2
SD-1_03	3340	11436	SD	0.0355893669115075	SD-1	SD	1	3	1-4	4	4	10.8956556183532	-0.202095522813176	0.977299272508843	1096670	0.8628	0.0355055395620693	0.0717095832504996	0.426736446814935	FALSE	TRUE	LUM-0
SD-1_09	4313	12399	SD	0.0482296959432212	SD-1	SD	2	1	1-4	9	9	14.0698762526733	-26.6924598685956	0.967234180242972	712349	0.8576	0.0476038847317306	0.0208376378735059	0.420746778557423	FALSE	TRUE	KIT
SD-1_10	3974	19059	SD	0.076394354373262	SD-1	SD	2	2	1-4	0	0	-1.98651545247609	18.6613722645658	0.963640682346992	2148824	0.8437	0.076286283139474	0.0732504874216813	0.438851681740073	FALSE	TRUE	Epi-15
SD-1_11	3855	13162	SD	0.0271235374563136	SD-1	SD	2	3	1-4	3	3	15.2503240898324	1.39643458714798	0.975481228863743	1586191	0.8734	0.0269535673839185	0.0696943884398306	0.413708168036886	FALSE	TRUE	LUM-2
SD-1_13	3583	14141	SD	0.0425005303726752	SD-1	SD	2	5	5-8	1	1	-22.5514878399051	-5.76131259831708	0.984487183967631	1732614	0.868	0.0424105567708701	0.0832433418894633	0.418259622232782	FALSE	TRUE	Ms-E
SD-1_14	4498	21078	SD	0.040136635354398	SD-1	SD	2	6	5-8	3	3	19.3882608499702	-0.0739062826106418	0.990302867761154	2676777	0.874	0.0400132431537625	0.0707716390487779	0.437039186668143	FALSE	TRUE	LUM-2
SD-1_15	4282	23028	SD	0.0390828556539864	SD-1	SD	2	7	5-8	2	2	-1.57764152510398	-6.3397949334479	0.988078390219857	2620076	0.8754	0.0390184687418712	0.057347937196561	0.443317171610007	FALSE	TRUE	LUM-1
SD-1_17	4022	16670	SD	0.03875224955009	SD-1	SD	3	1	1-4	3	3	18.5573867423191	2.58771745979115	0.962848238313651	1930169	0.8559	0.0386687417694242	0.0864174270230466	0.44386079284248	FALSE	TRUE	LUM-2
SD-1_21	4198	19554	SD	0.137107497187276	SD-1	SD	3	5	5-8	5	5	12.5667983344672	11.6432636524561	0.987772948656572	2268043	0.8607	0.136416832035822	0.0568245634172742	0.410369260952381	FALSE	TRUE	Epi-13
SD-1_22	4822	30234	SD	0.0981345505060528	SD-1	SD	3	6	5-8	5	5	10.3073297636575	13.781624006105	0.986370542248405	3455895	0.8639	0.0979984145858105	0.0489835571414304	0.452484577380074	FALSE	TRUE	Epi-13
SD-1_23	4098	18370	SD	0.0643440391943386	SD-1	SD	3	7	5-8	0	0	-6.51745287248365	23.9377041550439	0.988104138505987	2550818	0.8801	0.0641728649763831	0.0474387422583897	0.437099808008583	FALSE	TRUE	Epi-15
SD-1_24	4611	25515	SD	0.0650989613952577	SD-1	SD	3	8	5-8	0	0	6.27956924884362	18.1840907516946	0.98575953310108	2702803	0.8756	0.0649945218344029	0.0511284916201117	0.451843069812505	FALSE	TRUE	Epi-15
SD-1_26	2667	9214	SD	0.0413501193835468	SD-1	SD	4	2	1-4	2	2	-0.897047145995276	-1.63414659095017	0.911942616155069	845386	0.8498	0.0412516240796882	0.108544788132019	0.390591381098146	FALSE	TRUE	LUM-1
SD-1_27	3589	13062	SD	0.0374368396876435	SD-1	SD	4	3	1-4	4	4	10.3074226194651	-2.81036075938492	0.972634387537784	1023572	0.8758	0.0373767484521899	0.0709807347778806	0.426728310325942	FALSE	TRUE	LUM-0
SD-1_29	3268	12065	SD	0.0759220886862826	SD-1	SD	4	5	5-8	6	6	-8.88959579443203	-25.557689896343	0.986788681917733	1781887	0.8744	0.0755650882692625	0.126766982852009	0.395992756996687	FALSE	TRUE	NC
SD-1_30	3837	16674	SD	0.0434208948062852	SD-1	SD	4	6	5-8	2	2	0.812546094329208	-4.75611087205695	0.98104776743856	1789593	0.8589	0.0432781397573077	0.0781016429580133	0.423853979791501	FALSE	TRUE	LUM-1
SD-1_31	5231	36766	SD	0.0807539574606974	SD-1	SD	4	7	5-8	5	5	9.66333211896983	16.6856614495848	0.991074439217072	4513000	0.8787	0.080661812649424	0.0350701307630721	0.459279756936604	FALSE	TRUE	Epi-13
SD-1_32	4069	22587	SD	0.0706158409704697	SD-1	SD	4	8	5-8	0	0	6.43813509364262	18.1241710302944	0.984527245018725	2228361	0.873	0.0704847761721685	0.0523912949019939	0.440373859845197	FALSE	TRUE	Epi-15
SD-1_33	3064	16447	SD	0.0821426399951359	SD-1	SD	5	1	1-4	0	0	-2.42442695941036	18.963464063603	0.958434911666878	1588855	0.8239	0.0820030349013657	0.0919145788797055	0.406649726881968	FALSE	TRUE	Epi-15
SD-1_34	3187	14470	SD	0.0375259156876296	SD-1	SD	5	2	1-4	2	2	-0.783063946195151	-2.00841122839561	0.935109192856874	1216697	0.8204	0.0374611935150052	0.0730010563904361	0.40571693946298	FALSE	TRUE	LUM-1
SD-1_35	2502	9377	SD	0.0507625039991468	SD-1	SD	5	3	1-4	2	2	-1.79402523391045	-4.04499820475153	0.972238615381961	667506	0.8486	0.0506006165621346	0.114521597856417	0.379546931993519	FALSE	TRUE	LUM-1
SD-1_37	3655	20864	SD	0.055694018404908	SD-1	SD	5	5	5-8	0	0	-3.90478614341008	23.4568010930051	0.985643878960297	1992024	0.8736	0.0555635250800937	0.0785528910961834	0.418219694725821	FALSE	TRUE	Epi-15
