myAUC	avg_diff	power	pct.1	pct.2	gene	Cluster
1	3.620934162	1	1	0.111	CFAP69	1
1	3.362488017	1	1	0.333	MAPK15	1
1	3.067718302	1	1	0.741	CES1	1
1	3.007900019	1	1	0.259	SAXO2	1
1	2.970062537	1	1	0.815	FAM174A	1
1	2.796364352	1	1	0.667	C11orf88	1
1	2.73514901	1	1	0.741	C9orf24	1
1	2.705580392	1	1	0.556	C5orf49	1
1	2.682946019	1	1	0.926	TFF3	1
1	2.580497386	1	1	0.704	EFHC1	1
1	2.548186198	1	1	0.815	TMEM190	1
1	2.351470817	1	1	0.63	ARHGAP18	1
0.994	3.229054307	0.988	1	0.444	CFAP53	1
0.994	3.213501617	0.988	1	0.259	TCTEX1D1	1
0.994	3.148614922	0.988	1	0.259	FAM81B	1
0.994	2.968563013	0.988	1	0.519	CFAP43	1
0.994	2.911827627	0.988	1	0.407	C2orf81	1
0.994	2.755350834	0.988	1	0.556	DGCR6	1
0.988	4.155600002	0.976	1	0.111	LMLN	1
0.988	3.276021071	0.976	1	0.185	MAPRE3	1
0.988	3.035333533	0.976	1	0.37	STK33	1
0.988	2.981644814	0.976	1	0.444	ALDH3B1	1
0.988	2.95245431	0.976	1	0.444	RGS22	1
0.988	2.894758281	0.976	1	0.704	CDHR3	1
0.988	2.673009167	0.976	1	0.556	SLC7A2	1
0.988	2.672187045	0.976	1	0.704	SNTN	1
0.988	2.644878935	0.976	1	0.37	KIF3A	1
0.988	2.438907648	0.976	1	0.63	LRRIQ1	1
0.988	2.390115917	0.976	1	0.667	LRRC46	1
0.988	2.359345419	0.976	1	0.815	ODF3B	1
0.988	2.27196585	0.976	1	0.741	FAM183A	1
0.981	4.06217977	0.962	1	0.037	CCDC74B	1
0.981	3.749324923	0.962	1	0.111	C2CD2L	1
0.981	3.060433401	0.962	1	0.667	CCDC114	1
0.981	3.006399932	0.962	1	0.889	CTGF	1
0.981	2.965541539	0.962	1	0.519	VWA3A	1
0.981	2.789135613	0.962	1	0.37	C6orf118	1
0.981	2.670440827	0.962	1	0.296	DNAAF1	1
0.981	2.600757055	0.962	1	0.37	P4HTM	1
0.981	2.483380377	0.962	1	0.815	CDS1	1
0.981	2.452492793	0.962	1	0.63	FAM92B	1
0.981	2.286508014	0.962	1	0.889	C20orf85	1
0.981	2.139076916	0.962	1	0.704	LDLRAD1	1
0.981	2.054054302	0.962	1	0.778	MORN2	1
0.975	3.617033632	0.95	1	0.074	FRMPD2	1
0.975	3.379301406	0.95	1	0.37	SPAG8	1
0.975	3.370321994	0.95	1	0.185	CCDC181	1
0.975	3.349257386	0.95	1	0.111	SYBU	1
0.975	3.229106531	0.95	1	0.259	CD164L2	1
0.975	2.938699857	0.95	1	0.444	C9orf135	1
0.975	2.864025949	0.95	1	0.259	STMND1	1
0.975	2.708179199	0.95	1	0.37	ZBBX	1
0.975	2.666075835	0.95	1	0.556	ADGRE5	1
0.975	2.651275706	0.95	1	0.407	FHAD1	1
0.975	2.609428924	0.95	1	0.407	MAATS1	1
0.975	2.57829539	0.95	1	0.556	SPATA18	1
0.975	2.560263322	0.95	1	0.37	WDR78	1
0.975	2.515760777	0.95	1	0.778	C1orf194	1
0.975	2.478937121	0.95	1	0.667	DYNC2H1	1
0.975	2.382885528	0.95	1	0.815	FAM179A	1
0.975	2.365066961	0.95	1	0.481	WDR54	1
0.975	2.340046988	0.95	1	0.407	RSPH4A	1
0.975	2.333492742	0.95	1	0.481	CAPSL	1
0.969	3.693271818	0.938	1	0.333	DCDC5	1
0.969	3.455842295	0.938	1	0.148	KCNE1	1
0.969	3.301374339	0.938	1	0.148	ATP6V1C2	1
0.969	3.053816655	0.938	1	0.296	DLEC1	1
0.969	2.841830937	0.938	1	0.296	ARMC3	1
0.969	2.813390365	0.938	1	0.148	WDR63	1
0.969	2.727433445	0.938	1	0.444	TMEM231	1
0.969	2.702346704	0.938	1	0.481	FAM227A	1
0.969	2.696056449	0.938	1	0.556	MS4A8	1
0.969	2.621624691	0.938	1	0.556	ALDH1A1	1
0.969	2.593975307	0.938	1	0.37	TUBA4B	1
0.969	2.582859568	0.938	1	0.37	TCTN1	1
0.969	2.569427041	0.938	1	0.37	DNAI1	1
0.969	2.534646466	0.938	1	0.556	HYDIN	1
0.969	2.434341303	0.938	1	0.296	KIF9	1
0.969	2.31001825	0.938	1	0.481	DNAL1	1
0.969	2.300898061	0.938	1	0.481	DZIP3	1
0.963	3.318296933	0.926	1	0.37	WDR90	1
0.963	3.154682692	0.926	1	0.111	C10orf107	1
0.963	3.148477314	0.926	1	0.259	STX2	1
0.963	2.952473186	0.926	1	0.148	ERICH2	1
0.963	2.902406903	0.926	1	0.296	DNAI2	1
0.963	2.750588457	0.926	1	0.296	AGBL5	1
0.963	2.708091407	0.926	1	0.259	C5AR1	1
0.963	2.707269168	0.926	1	0.333	CCDC173	1
0.963	2.645531228	0.926	1	0.259	TSPAN19	1
0.963	2.55015167	0.926	1	0.185	NEK10	1
0.963	2.494268979	0.926	1	0.185	EFCAB10	1
0.963	2.41407057	0.926	1	0.111	WDR19	1
0.963	2.355274565	0.926	1	0.37	SPAG17	1
0.963	2.237108065	0.926	1	0.593	ROPN1L	1
0.963	2.140554622	0.926	1	0.37	DNAH7	1
0.963	2.026906729	0.926	1	0.593	ZMYND10	1
0.957	3.657051445	0.914	1	0.556	BPIFB1	1
0.957	2.832528729	0.914	1	0.556	STOML3	1
0.957	2.77207298	0.914	1	0.37	CDHR4	1
0.957	2.620934014	0.914	1	0.259	KIAA2012	1
0.957	2.550640734	0.914	1	0.407	LRRC23	1
0.957	2.529334269	0.914	1	0.296	RIBC2	1
0.957	2.424162352	0.914	1	0.333	CFAP52	1
0.957	2.401848214	0.914	1	0.37	DNAH11	1
0.957	2.359455317	0.914	1	0.704	TMC5	1
0.957	2.346170932	0.914	1	0.444	RNASE4	1
0.957	2.321097189	0.914	1	0.667	OTUD1	1
0.957	2.316528466	0.914	1	0.444	CFAP44	1
0.957	2.260418295	0.914	1	0.815	SLC44A4	1
0.957	2.258358297	0.914	1	0.37	NPHP1	1
0.957	2.213297515	0.914	1	0.37	CASC1	1
0.957	2.189612206	0.914	1	0.741	EFCAB1	1
0.957	2.184367833	0.914	1	0.556	DNAH12	1
0.957	2.074348234	0.914	1	0.926	PSENEN	1
0.957	2.057699093	0.914	1	0.667	DPCD	1
0.951	2.891527317	0.902	1	0.407	TTC26	1
0.951	2.872667109	0.902	1	0.222	CCDC74A	1
0.951	2.770017639	0.902	1	0.259	SMPD3	1
0.951	2.727620137	0.902	1	0.185	ANKUB1	1
0.951	2.480734543	0.902	1	0.222	ATP2C2	1
0.951	2.436572698	0.902	1	0.222	C1orf87	1
0.951	2.296778355	0.902	1	0.37	CFAP126	1
0.951	2.245355274	0.902	1	0.593	CCDC170	1
0.951	2.035287559	0.902	1	0.63	IFT57	1
0.944	3.485659839	0.888	1	0.37	CD38	1
0.944	2.532678471	0.888	1	0.148	CCDC60	1
0.944	2.459965308	0.888	1	0.333	DNAH5	1
0.944	2.429246894	0.888	1	0.407	DNAH10	1
0.944	2.304953211	0.888	1	0.333	CFAP221	1
0.944	2.209854324	0.888	1	0.222	C4orf47	1
0.944	2.133156428	0.888	1	0.296	DNAH6	1
0.944	2.118205803	0.888	1	0.185	LOC100506844	1
0.944	2.067607651	0.888	1	0.407	UBXN11	1
0.938	2.27004462	0.876	1	0.259	C11orf70	1
0.938	2.238528989	0.876	1	0.519	CCDC88C	1
0.938	2.143232027	0.876	1	0.593	SPAG6	1
0.938	2.065045736	0.876	1	0.407	DYDC2	1
0.938	2.039824276	0.876	1	0.667	RSPH1	1
0.932	2.78377838	0.864	1	0.37	PACRG	1
0.932	2.465089139	0.864	1	0.296	SYTL3	1
0.932	2.431497072	0.864	1	0.296	ENPP4	1
0.932	2.368025126	0.864	1	0.37	KIAA1456	1
0.932	2.204428165	0.864	1	0.556	B9D1	1
0.932	2.097802088	0.864	1	0.407	NBEA	1
0.932	2.073454316	0.864	1	0.481	BCAS3	1
0.926	2.326897765	0.852	1	0.444	AK9	1
0.926	2.151362217	0.852	1	0.185	PIH1D2	1
0.926	2.084204928	0.852	1	0.593	CSPP1	1
0.92	2.361446257	0.84	1	0.37	SSBP4	1
0.92	2.226104479	0.84	1	0.481	MLPH	1
0.92	2.148505507	0.84	1	0.222	KCNRG	1
0.917	6.259122665	0.834	0.833	0	PTOV1-AS2	1
0.914	2.411797474	0.828	1	0.593	MAP9	1
0.914	2.108217905	0.828	1	0.444	RUVBL1	1
0.91	5.901947582	0.82	0.833	0.074	ENPP5	1
0.907	5.541013117	0.814	0.833	0.111	MRLN	1
0.907	4.757849166	0.814	0.833	0.111	SLC13A3	1
0.907	3.654183167	0.814	0.833	0.111	LRWD1	1
0.907	2.334150127	0.814	1	0.481	RABL2B	1
0.907	2.203280979	0.814	1	0.37	CROCC	1
0.907	2.067580492	0.814	1	0.444	IFT81	1
0.904	4.353750727	0.808	0.833	0.148	GOLGA2P5	1
0.904	3.518872935	0.808	0.833	0.074	KIF6	1
0.901	2.167960084	0.802	1	0.444	SLC9A4	1
0.898	3.386305124	0.796	0.833	0.148	PLCG2	1
0.898	3.094244375	0.796	0.833	0.148	GAS2L2	1
0.898	3.069886549	0.796	0.833	0.222	CAPS2	1
0.895	3.804002356	0.79	0.833	0.185	SPEF1	1
0.895	3.163849474	0.79	0.833	0.185	LOC101929486	1
0.895	2.044787198	0.79	1	0.704	CP	1
0.892	4.191937176	0.784	0.833	0.222	NRP2	1
0.892	3.383493172	0.784	0.833	0.148	LRRC71	1
0.892	3.360645524	0.784	0.833	0.148	ZMYND12	1
0.892	3.098103626	0.784	0.833	0.148	AGBL2	1
0.892	2.868139336	0.784	0.833	0.148	FBXO15	1
0.892	2.623429057	0.784	0.833	0.296	LRRC61	1
0.889	4.35485318	0.778	0.833	0.111	MARCH10	1
