	ABratio	cleanReads	mpRatio	nGene	nUMI	mitoRatio	ERCCratio	avgCor	doublet	filter
SD-1_01	0.978612932826818	2783827	0.8776	4633	22406	0.0574399714362224	0.0503326552526075	0.446163595115812	FALSE	TRUE
SD-1_02	0.969072845541967	2406388	0.8603	4094	18134	0.0520569096724385	0.0632473965260453	0.437764225061549	FALSE	TRUE
SD-1_03	0.977299272508843	1096670	0.8628	3362	11463	0.0355055395620693	0.0717095832504996	0.426736446814935	FALSE	TRUE
SD-1_05	0.960741743826918	348989	0.8408	581	806	0.0409429280397022	0.992766780222816	0.236929170923114	FALSE	FALSE
SD-1_06	0.962295536087664	846727	0.8046	652	5772	0.014033264033264	0.211692635771982	0.248774758888264	FALSE	FALSE
SD-1_07	0.844198555401875	253967	0.7741	588	845	0.0437869822485207	0.962217564074536	0.235741584722277	FALSE	FALSE
SD-1_08	0.98602372504562	1724403	0.8483	2721	14538	0.312904113358096	0.144102619603298	0.362455908736063	FALSE	FALSE
SD-1_09	0.967234180242972	712349	0.8576	4454	12562	0.0476038847317306	0.0208376378735059	0.420746778557423	FALSE	TRUE
SD-1_10	0.963640682346992	2148824	0.8437	3998	19086	0.076286283139474	0.0732504874216813	0.438851681740073	FALSE	TRUE
SD-1_11	0.975481228863743	1586191	0.8734	3928	13245	0.0269535673839185	0.0696943884398306	0.413708168036886	FALSE	TRUE
SD-1_13	0.984487183967631	1732614	0.868	3610	14171	0.0424105567708701	0.0832433418894633	0.418259622232782	FALSE	TRUE
SD-1_14	0.990302867761154	2676777	0.874	4553	21143	0.0400132431537625	0.0707716390487779	0.437039186668143	FALSE	TRUE
SD-1_15	0.988078390219857	2620076	0.8754	4318	23066	0.0390184687418712	0.057347937196561	0.443317171610007	FALSE	TRUE
SD-1_16	0.89196563142898	192438	0.7345	563	827	0.0519951632406288	0.978034297658068	0.232581253409515	FALSE	FALSE
SD-1_17	0.962848238313651	1930169	0.8559	4053	16706	0.0386687417694242	0.0864174270230466	0.44386079284248	FALSE	TRUE
SD-1_18	0.800454882090839	228690	0.6037	937	1446	0.0408022130013831	0.980702396939731	0.291517510013579	FALSE	FALSE
SD-1_19	0.929779045849645	166558	0.7351	594	800	0.03375	0.97667829119442	0.242697900200094	FALSE	FALSE
SD-1_21	0.987772948656572	2268043	0.8607	4257	19653	0.136416832035822	0.0568245634172742	0.410369260952381	FALSE	TRUE
SD-1_22	0.986370542248405	3455895	0.8639	4856	30276	0.0979984145858105	0.0489835571414304	0.452484577380074	FALSE	TRUE
SD-1_23	0.988104138505987	2550818	0.8801	4143	18419	0.0641728649763831	0.0474387422583897	0.437099808008583	FALSE	TRUE
SD-1_24	0.98575953310108	2702803	0.8756	4650	25556	0.0649945218344029	0.0511284916201117	0.451843069812505	FALSE	TRUE
SD-1_25	0.87869306997043	489478	0.8484	923	2338	0.376817792985458	0.887324875713801	0.297353743674957	FALSE	FALSE
SD-1_26	0.911942616155069	845386	0.8498	2682	9236	0.0412516240796882	0.108544788132019	0.390591381098146	FALSE	TRUE
SD-1_27	0.972634387537784	1023572	0.8758	3608	13083	0.0373767484521899	0.0709807347778806	0.426728310325942	FALSE	TRUE
SD-1_29	0.986788681917733	1781887	0.8744	3307	12122	0.0755650882692625	0.126766982852009	0.395992756996687	FALSE	TRUE
SD-1_30	0.98104776743856	1789593	0.8589	3887	16729	0.0432781397573077	0.0781016429580133	0.423853979791501	FALSE	TRUE
SD-1_31	0.991074439217072	4513000	0.8787	5269	36808	0.080661812649424	0.0350701307630721	0.459279756936604	FALSE	TRUE
SD-1_32	0.984527245018725	2228361	0.873	4104	22629	0.0704847761721685	0.0523912949019939	0.440373859845197	FALSE	TRUE
SD-1_33	0.958434911666878	1588855	0.8239	3086	16475	0.0820030349013657	0.0919145788797055	0.406649726881968	FALSE	TRUE
SD-1_34	0.935109192856874	1216697	0.8204	3206	14495	0.0374611935150052	0.0730010563904361	0.40571693946298	FALSE	TRUE
SD-1_35	0.972238615381961	667506	0.8486	2519	9407	0.0506006165621346	0.114521597856417	0.379546931993519	FALSE	TRUE
SD-1_37	0.985643878960297	1992024	0.8736	3692	20913	0.0555635250800937	0.0785528910961834	0.418219694725821	FALSE	TRUE
SD-1_38	0.981611843205161	1613212	0.8504	3589	16936	0.0388521492678318	0.105113925301958	0.414134097063556	FALSE	TRUE
SD-1_39	0.983602858823435	1416865	0.8808	3484	17381	0.0590875093492895	0.0621929368796656	0.419496228640575	FALSE	TRUE
SD-1_40	0.983257636420607	1816931	0.8753	4382	24288	0.0430253623188406	0.0596362416016072	0.451734904586961	FALSE	TRUE
SD-1_41	0.959338809158872	1466717	0.8702	4284	38433	0.0467046548539016	0.0480462721773679	0.445830557105791	FALSE	TRUE
SD-1_42	0.966177866727496	2108484	0.8547	4472	49491	0.0426744256531491	0.0638234579159353	0.448127580617333	FALSE	TRUE
SD-1_43	0.970342469753195	928015	0.8726	3260	17343	0.0404774260508563	0.094419879085206	0.404523741153541	FALSE	TRUE
SD-1_45	0.989036098202698	2933046	0.8708	4790	60559	0.0575802110338678	0.0616271211115355	0.43638132456329	FALSE	TRUE
SD-1_46	0.98623480239809	2660563	0.8721	4791	48463	0.0321688710975383	0.0496328446557541	0.449465291751495	FALSE	TRUE
SD-1_47	0.826798391641842	232258	0.738	1244	2311	0.0320207702293379	0.939830461078753	0.323443979314813	FALSE	FALSE
SD-1_48	0.971691061265718	696740	0.8791	2811	18697	0.0281328555383217	0.0673922342094007	0.410953970048072	FALSE	TRUE
SD-1_49	0.911170100343751	981398	0.8078	2547	10135	0.048347311297484	0.150891268123347	0.386515509720571	FALSE	TRUE
SD-1_50	0.952532235376683	1841048	0.8371	3394	17654	0.0853064461311884	0.106293311870819	0.407087178227374	FALSE	TRUE
SD-1_51	0.957591430403566	539734	0.8676	2510	7948	0.113739305485657	0.106752493370827	0.373112537611486	FALSE	TRUE
SD-1_53	0.983735223061863	2066885	0.8711	3805	20189	0.0333845163207687	0.0730124451621163	0.422989484241049	FALSE	TRUE
SD-1_54	0.963170988742898	1385361	0.8401	2993	14284	0.0472556706804817	0.120782074198693	0.399317275909951	FALSE	TRUE
SD-1_55	0.97843059509045	2221066	0.8752	3741	20003	0.0502924561315803	0.0797272318122722	0.426813668739757	FALSE	TRUE
SD-1_56	0.980947992498892	1233677	0.8676	3078	13932	0.0371088142405972	0.132726796616148	0.411963728641991	FALSE	TRUE
SD-1_57	0.954292108224616	1333259	0.833	3404	27727	0.0383020160854041	0.113811491960722	0.424773494612147	FALSE	TRUE
SD-1_58	0.963522888126447	1975727	0.855	4323	50506	0.0303132301112739	0.0770559390634822	0.445528536617101	FALSE	TRUE
SD-1_59	0.971511007533007	935932	0.8761	3345	21819	0.0273156423300793	0.0911158154035641	0.418420610538066	FALSE	TRUE
SD-1_61	0.970778019876503	776793	0.8591	2897	20098	0.0876206587720171	0.154237636720576	0.394514043300049	FALSE	TRUE
SD-1_62	0.969700936220479	779394	0.8172	1866	11877	0.162330554853919	0.319675536971314	0.353264201937386	FALSE	FALSE
SD-1_63	0.833508353221957	91750	0.7329	1161	2062	0.032007759456838	0.943584135601164	0.315630879272558	FALSE	FALSE
SD-1_64	0.958056279177736	468402	0.8653	2524	13107	0.0993362325474937	0.104716021900971	0.388647878505602	FALSE	TRUE
SD-1_65	0.969942756480858	2812679	0.8768	5444	34919	0.0699332741487442	0.032276991344141	0.459666312883293	FALSE	TRUE
SD-1_66	0.977162916275772	3606935	0.856	4801	32993	0.0728942502955172	0.0648031404956706	0.448488469137628	FALSE	TRUE
SD-1_67	0.973980392110752	965111	0.8584	3010	10419	0.0418466263556963	0.0943835914409968	0.401608057338702	FALSE	TRUE
SD-1_69	0.986013957971698	2269533	0.8691	3867	20031	0.0761819180270581	0.0860067460058768	0.414978801774353	FALSE	TRUE
