cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
XCZ_C-B1_01	4136	12889	.	0.0418961905500815	XCZ_C-B1	XCZ_C	1	1	1-4	1	1	4.66413475827405	7.48886002886831	0.974597236353384	3020565	0.8841	0.0417859630116846	0.0377526294581612	1	FALSE	TRUE	SM-Visceral
XCZ_C-B1_02	4175	18014	.	0.0434661929610303	XCZ_C-B1	XCZ_C	1	2	1-4	1	1	5.29551882570137	3.91124010740215	0.986759426399395	1911151	0.8873	0.0434637801831807	0.0691322329464184	1	FALSE	TRUE	SM-Visceral
XCZ_C-B1_03	5639	41770	.	0.0402441943978932	XCZ_C-B1	XCZ_C	1	3	1-4	9	9	-12.7099322450444	4.97504728247087	0.993710482181776	3267843	0.8924	0.0402297475170516	0.0393740868985034	1	FALSE	TRUE	FB-Prol
XCZ_C-B1_05	4362	20123	.	0.0526263479600457	XCZ_C-B1	XCZ_C	1	5	5-8	3	3	25.8195902978622	32.1426853014753	0.983578761848491	2609632	0.9029	0.0526185034284011	0.0684997600708929	1	FALSE	TRUE	T
XCZ_C-B1_06	3579	11875	.	0.127073684210526	XCZ_C-B1	XCZ_C	1	6	5-8	11	11	-40.8955272076225	-19.3582213805402	0.980716554136585	1684997	0.8975	0.127009510983924	0.0650133172110655	1	FALSE	TRUE	Glial
XCZ_C-B1_07	2981	9722	.	0.0768360419666735	XCZ_C-B1	XCZ_C	1	7	5-8	14	14	-7.71420682558251	6.84808835550977	0.965911291466269	1518844	0.8917	0.0768123393316195	0.123728858845219	1	FALSE	TRUE	FB-VCAM1
XCZ_C-B1_08	3334	14134	.	0.0776142634781378	XCZ_C-B1	XCZ_C	1	8	5-8	3	3	24.4223220382462	30.3488219657287	0.98407576939986	2165195	0.9008	0.0776032823995473	0.0776661445110643	1	FALSE	TRUE	T
XCZ_C-B1_09	4485	26587	.	0.0224169706999661	XCZ_C-B1	XCZ_C	2	1	1-4	0	0	11.1087703573194	-14.1386981358416	0.989911105472709	2585799	0.8946	0.0224119129094123	0.0811451913429841	1	FALSE	TRUE	FB-COL14A1
XCZ_C-B1_10	4605	23419	.	0.0365942183696998	XCZ_C-B1	XCZ_C	2	2	1-4	0	0	-1.90666707937757	1.34190692314324	0.987211007657474	2150441	0.8939	0.0365895312099735	0.0642501298674567	1	FALSE	TRUE	FB-COL14A1
XCZ_C-B1_11	3583	14448	.	0.0553709856035437	XCZ_C-B1	XCZ_C	2	3	1-4	2	2	-9.53996064674356	25.5633379187659	0.986882832443722	1523127	0.8778	0.0553556601162469	0.0941358299527741	1	FALSE	TRUE	FB-ADAMDEC1
XCZ_C-B1_13	3580	10989	.	0.0526890526890527	XCZ_C-B1	XCZ_C	2	5	5-8	2	2	-5.5882696317345	28.2032194264868	0.985933677149282	1866293	0.8988	0.0526890526890527	0.102442969809777	1	FALSE	TRUE	FB-ADAMDEC1
XCZ_C-B1_15	4945	25168	.	0.0362364907819453	XCZ_C-B1	XCZ_C	2	7	5-8	14	14	-8.18789886935002	7.32041382835035	0.977961642110958	3400926	0.706	0.0362307325599873	0.0799124530757796	1	FALSE	TRUE	FB-VCAM1
XCZ_C-B1_17	5020	24295	.	0.045729573986417	XCZ_C-B1	XCZ_C	3	1	1-4	4	4	-12.5609159743201	-24.9446457457417	0.977616147571499	3253187	0.8939	0.0457126398946675	0.0558151872053776	1	FALSE	TRUE	SM-Vascular
XCZ_C-B1_18	4599	22941	.	0.0304258750708339	XCZ_C-B1	XCZ_C	3	2	1-4	10	10	1.80667124700379	-44.5941177927554	0.990749784462388	2297067	0.8949	0.0304205709304859	0.0674635217738875	1	FALSE	TRUE	Endo
XCZ_C-B1_19	3499	15839	.	0.041101079613612	XCZ_C-B1	XCZ_C	3	3	1-4	0	0	12.0251245507109	-16.2543243704264	0.983238220190704	2076299	0.8879	0.0410751466969525	0.0765901808094424	1	FALSE	TRUE	FB-COL14A1
XCZ_C-B1_21	4460	22451	.	0.0444078214778852	XCZ_C-B1	XCZ_C	3	5	5-8	1	1	12.0517033672229	16.902238520689	0.987815582779004	2727667	0.9108	0.0443979337370859	0.239708817512487	1	FALSE	TRUE	SM-Visceral
XCZ_C-B1_22	3777	16517	.	0.0798571169098505	XCZ_C-B1	XCZ_C	3	6	5-8	7	7	-31.8656387579414	22.3565070798541	0.981289554307935	2261309	0.8935	0.0797846600532301	0.0831664315292342	1	FALSE	TRUE	FB-ZEB1
XCZ_C-B1_24	3926	18248	.	0.0514576939938623	XCZ_C-B1	XCZ_C	3	8	5-8	14	14	-5.5211639248051	3.53943939842615	0.994881095851182	2050905	0.8989	0.0514464168310322	0.0774350016358837	1	FALSE	TRUE	FB-VCAM1
XCZ_C-B1_25	4512	24356	.	0.0424946625061586	XCZ_C-B1	XCZ_C	4	1	1-4	6	6	-7.5312120019588	-13.9298309774407	0.98907401927556	2850792	0.898	0.042487684729064	0.0932246677033792	1	FALSE	TRUE	FB-GPC3
XCZ_C-B1_26	4696	24859	.	0.0344744358180136	XCZ_C-B1	XCZ_C	4	2	1-4	6	6	-7.42367080201227	-15.4098188906601	0.986768799953244	3009318	0.8961	0.0344619591442818	0.0640871350841303	1	FALSE	TRUE	FB-GPC3
XCZ_C-B1_29	4133	15172	.	0.0598470867387292	XCZ_C-B1	XCZ_C	4	5	5-8	4	4	-17.5267761701075	-31.1711996984089	0.986295055127779	2143260	0.9041	0.0598234286467255	0.107566018948426	1	FALSE	TRUE	SM-Vascular
XCZ_C-B1_32	3943	17068	.	0.151687368174361	XCZ_C-B1	XCZ_C	4	8	5-8	8	8	25.9606651914104	-26.9197115737943	0.990234599370659	2817913	0.8763	0.151607425191778	0.0502732855263837	1	FALSE	TRUE	DC
XCZ_C-B1_33	3548	16726	.	0.0482482362788473	XCZ_C-B1	XCZ_C	5	1	1-4	3	3	33.859611629936	21.5491681962508	0.970532015313604	1775111	0.8909	0.0482367005379558	0.100242315025306	1	FALSE	TRUE	T
XCZ_C-B1_35	3036	9828	.	0.141432641432641	XCZ_C-B1	XCZ_C	5	3	1-4	10	10	0.976877666414311	-36.2783723702431	0.97068178252134	1901350	0.8759	0.141174080845013	0.0673990730192187	1	FALSE	TRUE	Endo
XCZ_C-B1_37	4683	19864	.	0.0309101892871526	XCZ_C-B1	XCZ_C	5	5	5-8	1	1	4.06745563233083	22.7349396219066	0.99012827836429	2312861	0.9055	0.0309024107906789	0.0733612849330884	1	FALSE	TRUE	SM-Visceral
XCZ_C-B1_38	3834	24037	.	0.0292881807213879	XCZ_C-B1	XCZ_C	5	6	5-8	4	4	-26.1100800491619	-34.5967205088842	0.956407567243556	2578737	0.8226	0.0292760011643864	0.0537071712476997	1	FALSE	TRUE	SM-Vascular
XCZ_C-B1_41	3211	12566	.	0.0439280598440236	XCZ_C-B1	XCZ_C	6	1	1-4	3	3	29.4696021290386	31.6494384196786	0.975417106599369	1714029	0.8926	0.0439140811455847	0.106199393482472	1	FALSE	TRUE	T
XCZ_C-B1_42	5112	30812	.	0.038491496819421	XCZ_C-B1	XCZ_C	6	2	1-4	0	0	17.6429709876337	-15.3378267605572	0.974135888335708	3323101	0.8872	0.03847651180898	0.0732794115988133	1	FALSE	TRUE	FB-COL14A1
XCZ_C-B1_43	4857	29182	.	0.047323692687273	XCZ_C-B1	XCZ_C	6	3	1-4	4	4	-20.4248091420801	-32.9048476189701	0.989256030023961	2544346	0.8881	0.0473091021205166	0.0644522739267656	1	FALSE	TRUE	SM-Vascular
XCZ_C-B1_44	6403	40757	.	0.11791839438624	XCZ_C-B1	XCZ_C	6	4	1-4	5	5	-39.4261349586375	1.01295960504449	0.989916832029666	4437828	0.8948	0.117901037705763	0.0428772125516587	1	FALSE	TRUE	Epi
XCZ_C-B1_45	3724	14118	.	0.045686357841054	XCZ_C-B1	XCZ_C	6	5	5-8	0	0	-2.49482067713661	-6.43003879122632	0.986754002801414	1455227	0.9076	0.0456766517951986	0.140164562259651	1	FALSE	TRUE	FB-COL14A1
