cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.994	1.82176418211421	0.988	1.82176418211421	0.994	0.168	NA	COL17A1	Epi-15	TRUE
0	0.984	2.46618265262952	0.968	2.46618265262952	1	0.956	NA	KRT15	Epi-15	TRUE
0	0.969	1.41824251177128	0.938	1.41824251177128	0.982	0.197	NA	TP63	Epi-15	TRUE
0	0.968	1.35662281367735	0.936	1.35662281367735	0.97	0.192	NA	LAMB3	Epi-15	TRUE
0	0.966	1.30103413528336	0.932	1.30103413528336	0.982	0.294	NA	SLC7A1	Epi-15	TRUE
0	0.961	0.987100853159258	0.922	0.987100853159258	1	0.995	NA	RPLP1	Epi-15	TRUE
0	0.959	0.757202552032146	0.918	0.757202552032146	1	1	NA	RPS3	Epi-15	FALSE
0	0.95	1.38347838957947	0.9	1.38347838957947	0.982	0.365	NA	SORL1	Epi-15	TRUE
0	0.946	1.7099101156528	0.892	1.7099101156528	0.994	0.728	NA	FILIP1	Epi-15	TRUE
0	0.942	1.23176399736158	0.884	1.23176399736158	0.927	0.158	NA	MIR205HG	Epi-15	TRUE
0	0.935	0.921468537483421	0.87	0.921468537483421	1	0.964	NA	GAS5	Epi-15	TRUE
0	0.933	1.32362430436055	0.866	1.32362430436055	0.988	0.521	NA	NTRK2	Epi-15	TRUE
0	0.932	0.817319244821195	0.864	0.817319244821195	1	1	NA	H3F3B	Epi-15	TRUE
0	0.931	0.756521100750002	0.862	0.756521100750002	1	1	NA	PABPC1	Epi-15	FALSE
0	0.93	1.39363461142136	0.86	1.39363461142136	0.951	0.38	NA	LPAR3	Epi-15	TRUE
0	0.927	1.92011151007046	0.854	1.92011151007046	0.988	0.703	NA	KRT17	Epi-15	TRUE
0	0.927	0.744338479925174	0.854	0.744338479925174	1	1	NA	RPL10A	Epi-15	FALSE
0	0.926	0.80443570171556	0.852	0.80443570171556	0.909	0.121	NA	CDH3	Epi-15	TRUE
0	0.92	1.28835595144877	0.84	1.28835595144877	0.976	0.447	NA	CAPNS2	Epi-15	FALSE
0	0.92	1.22849734757049	0.84	1.22849734757049	0.988	0.747	NA	ETS2	Epi-15	FALSE
0	0.916	0.934615285482579	0.832	0.934615285482579	0.988	0.516	NA	PDLIM1	Epi-15	TRUE
0	0.915	0.903150535068757	0.83	0.903150535068757	0.957	0.34	NA	FGFR2	Epi-15	TRUE
0	0.915	0.875199666801318	0.83	0.875199666801318	0.945	0.268	NA	PDPN	Epi-15	TRUE
0	0.912	1.59621811702813	0.824	1.59621811702813	0.994	0.854	NA	IER3	Epi-15	TRUE
0	0.909	1.2201299939409	0.818	1.2201299939409	0.994	0.475	NA	KLF5	Epi-15	FALSE
0	0.908	1.05507412565227	0.816	1.05507412565227	0.982	0.756	NA	ALDH3A2	Epi-15	TRUE
0	0.905	0.933944576604498	0.81	0.933944576604498	0.927	0.292	NA	ARL4C	Epi-15	TRUE
0	0.904	1.16971604713369	0.808	1.16971604713369	0.976	0.367	NA	KRT5	Epi-15	FALSE
0	0.903	1.17822096893453	0.806	1.17822096893453	0.988	0.699	NA	HSPA2	Epi-15	TRUE
0	0.9	1.23748826029677	0.8	1.23748826029677	1	0.992	NA	SAT1	Epi-15	FALSE
0	0.9	0.803087114234943	0.8	0.803087114234943	0.988	0.922	NA	LRRC75A-AS1	Epi-15	FALSE
0	0.898	1.17227378066252	0.796	1.17227378066252	1	0.75	NA	BTG2	Epi-15	TRUE
0	0.896	1.15065694640325	0.792	1.15065694640325	0.994	0.812	NA	NFKBIA	Epi-15	TRUE
0	0.892	1.06860320931338	0.784	1.06860320931338	0.921	0.282	NA	LAMA3	Epi-15	TRUE
0	0.889	0.696658205062214	0.778	0.696658205062214	0.841	0.112	NA	SIM2	Epi-15	FALSE
0	0.884	0.924032705094876	0.768	0.924032705094876	0.902	0.282	NA	RBBP8	Epi-15	TRUE
0	0.883	0.932848004994223	0.766	0.932848004994223	0.994	0.983	NA	MCL1	Epi-15	TRUE
0	0.883	0.876390301487305	0.766	0.876390301487305	1	0.83	NA	S100A2	Epi-15	FALSE
0	0.882	0.865544498842215	0.764	0.865544498842215	0.97	0.292	NA	TRIM29	Epi-15	FALSE
0	0.881	0.952934003791053	0.762	0.952934003791053	1	0.66	NA	PERP	Epi-15	FALSE
0	0.881	0.808331067322754	0.762	0.808331067322754	0.963	0.273	NA	IRF6	Epi-15	FALSE
0	0.88	1.05688466736038	0.76	1.05688466736038	0.976	0.463	NA	KIAA1217	Epi-15	FALSE
0	0.879	0.693343915750211	0.758	0.693343915750211	1	0.981	NA	BTF3	Epi-15	FALSE
0	0.878	0.703287873597544	0.756	0.703287873597544	0.878	0.207	NA	KIAA1671	Epi-15	FALSE
0	0.875	1.04924937560083	0.75	1.04924937560083	1	0.993	NA	DST	Epi-15	FALSE
0	0.875	0.827112998309314	0.75	0.827112998309314	0.994	0.441	NA	SPINT2	Epi-15	FALSE
0	0.875	0.820575131819227	0.75	0.820575131819227	0.933	0.297	NA	EPCAM	Epi-15	FALSE
0	0.874	0.807612882081207	0.748	0.807612882081207	1	0.961	NA	KRT19	Epi-15	FALSE
0	0.871	0.780847046341753	0.742	0.780847046341753	0.878	0.188	NA	SOX6	Epi-15	FALSE
0	0.867	1.29742389822573	0.734	1.29742389822573	0.97	0.744	NA	KRT18	Epi-15	FALSE
0	0.864	1.17513344960881	0.728	1.17513344960881	0.878	0.343	NA	PPP1R14C	Epi-15	FALSE
0	0.864	1.16117475632502	0.728	1.16117475632502	0.854	0.28	NA	LAMC2	Epi-15	TRUE
0	0.864	0.883340018685519	0.728	0.883340018685519	0.902	0.284	NA	FRAS1	Epi-15	FALSE
0	0.861	0.982104871773243	0.722	0.982104871773243	0.994	0.793	NA	EZR	Epi-15	FALSE
0	0.857	1.12112429896217	0.714	1.12112429896217	0.957	0.756	NA	ERRFI1	Epi-15	FALSE
0	0.857	0.921607556654886	0.714	0.921607556654886	0.963	0.73	NA	TUBA1C	Epi-15	FALSE
0	0.855	0.996104897812791	0.71	0.996104897812791	0.945	0.562	NA	GADD45A	Epi-15	FALSE
0	0.855	0.807226647378342	0.71	0.807226647378342	0.829	0.197	NA	HOOK1	Epi-15	FALSE
0	0.855	0.752124403950467	0.71	0.752124403950467	0.878	0.244	NA	DSG2	Epi-15	FALSE
0	0.855	0.705895308459443	0.71	0.705895308459443	0.774	0.115	NA	BCL11B	Epi-15	TRUE
0	0.854	0.90523013614252	0.708	0.90523013614252	0.854	0.231	NA	BCL11A	Epi-15	FALSE
0	0.854	0.784284095203826	0.708	0.784284095203826	0.982	0.769	NA	ZFAND5	Epi-15	FALSE
0	0.852	1.11609662126601	0.704	1.11609662126601	0.945	0.52	NA	MAOA	Epi-15	FALSE
0	0.847	0.933221827927957	0.694	0.933221827927957	1	0.881	NA	HECA	Epi-15	TRUE
0	0.845	0.795216156787091	0.69	0.795216156787091	0.89	0.317	NA	PRKX	Epi-15	FALSE
0	0.841	1.13469621297325	0.682	1.13469621297325	0.963	0.694	NA	EGR3	Epi-15	TRUE
0	0.841	0.768613336236274	0.682	0.768613336236274	0.872	0.307	NA	STK17A	Epi-15	TRUE
0	0.838	0.862185743841182	0.676	0.862185743841182	0.823	0.256	NA	LRP4	Epi-15	TRUE
0	0.836	2.14223355606793	0.672	2.14223355606793	0.902	0.638	NA	TNFAIP3	Epi-15	TRUE
0	0.834	0.845585468506989	0.668	0.845585468506989	0.97	0.599	NA	LMO7	Epi-15	FALSE
0	0.833	0.793693326088793	0.666	0.793693326088793	0.896	0.401	NA	SKAP2	Epi-15	FALSE
0	0.831	0.723112602786342	0.662	0.723112602786342	0.945	0.611	NA	CERS6	Epi-15	TRUE
0	0.827	0.802266583209528	0.654	0.802266583209528	0.963	0.643	NA	VEGFA	Epi-15	FALSE
0	0.827	0.79687711634138	0.654	0.79687711634138	0.909	0.467	NA	WEE1	Epi-15	FALSE
0	0.823	0.837269776108173	0.646	0.837269776108173	0.878	0.353	NA	VSNL1	Epi-15	FALSE
0	0.822	0.744300733496511	0.644	0.744300733496511	0.872	0.357	NA	REL	Epi-15	TRUE
0	0.815	0.723998458006851	0.63	0.723998458006851	0.768	0.194	NA	GRHL2	Epi-15	FALSE
0	0.811	0.762670754752244	0.622	0.762670754752244	0.976	0.783	NA	KLF10	Epi-15	FALSE
0	0.811	0.716445859439155	0.622	0.716445859439155	0.909	0.501	NA	MAFF	Epi-15	FALSE
0	0.807	0.70149611509402	0.614	0.70149611509402	0.787	0.28	NA	USP31	Epi-15	FALSE
0	0.802	0.828566644952976	0.604	0.828566644952976	0.829	0.357	NA	RCBTB1	Epi-15	TRUE
0	0.802	0.73413211285101	0.604	0.73413211285101	0.951	0.562	NA	NEDD4L	Epi-15	FALSE
0	0.8	0.729181010730387	0.6	0.729181010730387	0.939	0.603	NA	PTPN14	Epi-15	FALSE
0	0.795	0.764699879472419	0.59	0.764699879472419	0.915	0.582	NA	DUSP5	Epi-15	FALSE
0	0.791	0.732691132829117	0.582	0.732691132829117	0.732	0.195	NA	HCAR2	Epi-15	FALSE
0	0.79	0.745159595520999	0.58	0.745159595520999	0.835	0.329	NA	B3GNT5	Epi-15	FALSE
0	0.787	0.729613701659813	0.574	0.729613701659813	0.988	0.893	NA	ZFP36L2	Epi-15	FALSE
0	0.782	0.717931019941935	0.564	0.717931019941935	0.884	0.494	NA	TSHZ1	Epi-15	FALSE
0	0.78	0.827138376809117	0.56	0.827138376809117	0.878	0.526	NA	GPNMB	Epi-15	FALSE
0	0.771	0.697219901389718	0.542	0.697219901389718	0.817	0.38	NA	MECOM	Epi-15	FALSE
0	0.77	0.904498591821924	0.54	0.904498591821924	0.841	0.496	NA	KIF21A	Epi-15	FALSE
0	0.767	0.725023758616711	0.534	0.725023758616711	1	0.942	NA	SYNE2	Epi-15	FALSE
0	0.758	1.16603246020141	0.516	1.16603246020141	0.659	0.226	NA	CTSV	Epi-15	FALSE
0	0.757	1.0228138265112	0.514	1.0228138265112	0.683	0.258	NA	FOXE1	Epi-15	FALSE
0	0.749	0.705098091481155	0.498	0.705098091481155	0.878	0.577	NA	LTBP1	Epi-15	FALSE
0	0.74	0.700280786201889	0.48	0.700280786201889	0.591	0.153	NA	CA12	Epi-15	FALSE
0	0.733	0.827683403456187	0.466	0.827683403456187	0.665	0.27	NA	LNX1	Epi-15	FALSE
0	0.731	0.783594800593299	0.462	0.783594800593299	1	0.997	NA	KLF6	Epi-15	FALSE
0	0.73	0.764251791212583	0.46	0.764251791212583	0.665	0.277	NA	RNF144B	Epi-15	FALSE
0	0.718	0.869963916105031	0.436	0.86996391610503	0.726	0.401	NA	CD83	Epi-15	FALSE
0	0.704	0.754826805693234	0.408	0.754826805693234	0.61	0.241	NA	RNF165	Epi-15	FALSE
1	0.974	1.93732635225865	0.948	1.93732635225865	1	0.578	NA	IGFBP7	Ms-E	FALSE
1	0.971	1.80795487660628	0.942	1.80795487660628	1	0.633	NA	EPS8	Ms-E	TRUE
1	0.961	1.98847240158871	0.922	1.98847240158871	1	0.707	NA	COL4A1	Ms-E	FALSE
1	0.961	1.87861943971525	0.922	1.87861943971525	0.941	0.143	NA	GUCY1A2	Ms-E	TRUE
1	0.961	1.64265936695533	0.922	1.64265936695533	1	0.464	NA	PDGFRB	Ms-E	TRUE
1	0.959	1.52593113176337	0.918	1.52593113176337	1	0.724	NA	NR2F2	Ms-E	TRUE
1	0.951	1.54666642506018	0.902	1.54666642506018	0.931	0.103	NA	ENPEP	Ms-E	TRUE
1	0.947	1.71760211315184	0.894	1.71760211315184	0.971	0.356	NA	MEF2C	Ms-E	TRUE
1	0.944	1.50138410207318	0.888	1.50138410207318	0.961	0.286	NA	MCAM	Ms-E	TRUE
1	0.942	2.0937201457271	0.884	2.0937201457271	0.951	0.24	NA	ABCC9	Ms-E	TRUE
1	0.936	1.4994381902632	0.872	1.4994381902632	0.912	0.152	NA	SEMA5B	Ms-E	TRUE
1	0.933	1.62346540517288	0.866	1.62346540517288	0.892	0.111	NA	ANGPT2	Ms-E	TRUE
1	0.931	1.67471973402221	0.862	1.67471973402221	0.912	0.181	NA	INPP4B	Ms-E	TRUE
1	0.929	1.33894691232771	0.858	1.33894691232771	0.99	0.49	NA	COL4A2	Ms-E	FALSE
1	0.926	1.40337203014563	0.852	1.40337203014563	1	0.716	NA	CPE	Ms-E	FALSE
1	0.925	1.13362107229556	0.85	1.13362107229556	0.892	0.164	NA	NOTCH3	Ms-E	TRUE
1	0.923	1.49734776084322	0.846	1.49734776084322	0.98	0.641	NA	MYO1B	Ms-E	TRUE
1	0.922	2.10912746977407	0.844	2.10912746977407	0.902	0.238	NA	KCNJ8	Ms-E	TRUE
1	0.922	1.37845451207217	0.844	1.37845451207217	0.99	0.55	NA	CAV1	Ms-E	FALSE
1	0.922	1.28165932899866	0.844	1.28165932899866	0.931	0.343	NA	GJC1	Ms-E	TRUE
1	0.921	1.71373459739482	0.842	1.71373459739482	0.882	0.184	NA	SEPT4	Ms-E	TRUE
1	0.921	1.20791830049367	0.842	1.20791830049367	0.931	0.233	NA	TRPC6	Ms-E	TRUE
1	0.918	1.17975987056742	0.836	1.17975987056742	1	0.69	NA	GUCY1A3	Ms-E	FALSE
1	0.918	1.14268205731928	0.836	1.14268205731928	1	0.94	NA	CALD1	Ms-E	FALSE
1	0.913	1.18189935692097	0.826	1.18189935692097	0.882	0.121	NA	EGFLAM	Ms-E	FALSE
1	0.908	0.991816873449231	0.816	0.991816873449231	0.98	0.636	NA	MYLK	Ms-E	FALSE
1	0.903	1.07687413565562	0.806	1.07687413565562	1	0.966	NA	PPP1R12A	Ms-E	FALSE
1	0.9	1.20966212787793	0.8	1.20966212787793	0.99	0.679	NA	DLC1	Ms-E	TRUE
1	0.895	1.06276779601219	0.79	1.06276779601219	0.971	0.633	NA	MPRIP	Ms-E	TRUE
1	0.895	1.04447562803175	0.79	1.04447562803175	0.941	0.347	NA	EBF1	Ms-E	TRUE
1	0.894	1.57229233178886	0.788	1.57229233178886	0.941	0.441	NA	ITGA1	Ms-E	FALSE
1	0.892	1.72233315986995	0.784	1.72233315986995	0.824	0.137	NA	HIGD1B	Ms-E	TRUE
1	0.892	0.937389690015109	0.784	0.937389690015109	0.912	0.384	NA	PAWR	Ms-E	FALSE
1	0.889	2.45120607103647	0.778	2.45120607103647	0.961	0.836	NA	RGS16	Ms-E	TRUE
1	0.889	1.24364753867997	0.778	1.24364753867997	0.784	0.018	NA	AVPR1A	Ms-E	TRUE
1	0.887	1.27653016603609	0.774	1.27653016603609	0.98	0.627	NA	SEMA5A	Ms-E	TRUE
1	0.886	1.48887104361747	0.772	1.48887104361747	0.882	0.31	NA	EGFL6	Ms-E	TRUE
1	0.885	1.36858709221054	0.77	1.36858709221054	0.863	0.263	NA	SYTL2	Ms-E	FALSE
1	0.885	1.09585449913679	0.77	1.09585449913679	0.941	0.367	NA	GUCY1B3	Ms-E	FALSE
1	0.878	1.05296095697301	0.756	1.05296095697301	0.951	0.413	NA	BGN	Ms-E	TRUE
1	0.878	0.843286988355251	0.756	0.843286988355251	1	0.989	NA	SEPT7	Ms-E	FALSE
1	0.877	1.15755086356579	0.754	1.15755086356579	0.833	0.169	NA	LRRC32	Ms-E	FALSE
1	0.876	1.14747794006869	0.752	1.14747794006869	0.775	0.051	NA	EBF2	Ms-E	TRUE
1	0.875	1.07067446389616	0.75	1.07067446389616	0.99	0.558	NA	A2M	Ms-E	FALSE
1	0.864	0.982684859032638	0.728	0.982684859032638	0.824	0.18	NA	DOCK10	Ms-E	TRUE
1	0.862	1.35832947776666	0.724	1.35832947776666	0.971	0.743	NA	KHDRBS3	Ms-E	FALSE
1	0.859	0.823031247608531	0.718	0.823031247608531	0.843	0.257	NA	RASL12	Ms-E	TRUE
1	0.858	1.19316647044518	0.716	1.19316647044518	0.794	0.131	NA	ECM2	Ms-E	TRUE
1	0.856	1.12263056199855	0.712	1.12263056199855	0.784	0.14	NA	ADGRF5	Ms-E	FALSE
1	0.853	1.17200600144144	0.706	1.17200600144144	0.804	0.186	NA	ADAMTS4	Ms-E	TRUE
1	0.85	0.736667987818277	0.7	0.736667987818277	0.833	0.184	NA	DAAM2	Ms-E	FALSE
1	0.849	1.00324580391937	0.698	1.00324580391937	0.716	0.037	NA	SULT1E1	Ms-E	TRUE
1	0.849	0.896492562354548	0.698	0.896492562354548	0.941	0.811	NA	PTEN	Ms-E	TRUE
1	0.847	1.017499393885	0.694	1.017499393885	0.98	0.684	NA	LHFP	Ms-E	FALSE
1	0.846	1.24123589175785	0.692	1.24123589175785	0.882	0.422	NA	PRRX1	Ms-E	TRUE
1	0.846	1.21520864561607	0.692	1.21520864561607	0.765	0.147	NA	SPECC1	Ms-E	TRUE
1	0.846	0.952705951817771	0.692	0.952705951817771	0.853	0.358	NA	SNRK	Ms-E	FALSE
1	0.844	1.2925492919635	0.688	1.2925492919635	0.961	0.575	NA	COL6A3	Ms-E	FALSE
1	0.844	0.759953464975726	0.688	0.759953464975726	0.824	0.233	NA	ADCY3	Ms-E	TRUE
1	0.842	1.25188165495652	0.684	1.25188165495652	0.902	0.516	NA	ACTA2	Ms-E	FALSE
1	0.842	1.14715800901341	0.684	1.14715800901341	0.931	0.542	NA	FAM129A	Ms-E	FALSE
1	0.842	1.09228730716773	0.684	1.09228730716773	1	0.935	NA	MAP3K20	Ms-E	FALSE
1	0.837	0.926759382268548	0.674	0.926759382268548	0.784	0.269	NA	MTHFD2	Ms-E	TRUE
1	0.834	0.732827096323531	0.668	0.732827096323531	0.745	0.114	NA	RCSD1	Ms-E	TRUE
1	0.832	0.791107239992997	0.664	0.791107239992997	0.765	0.198	NA	ADCY6	Ms-E	TRUE
1	0.832	0.762527596935211	0.664	0.762527596935211	0.98	0.788	NA	VCL	Ms-E	FALSE
1	0.831	0.759277250352133	0.662	0.759277250352133	1	0.925	NA	VIM	Ms-E	FALSE
1	0.829	1.19860904701398	0.658	1.19860904701398	0.98	0.705	NA	PCDH18	Ms-E	FALSE
1	0.828	1.10069407593432	0.656	1.10069407593432	0.922	0.68	NA	TGFBI	Ms-E	FALSE
1	0.828	0.736550863961687	0.656	0.736550863961687	0.971	0.528	NA	EDNRA	Ms-E	FALSE
1	0.824	0.813135193585324	0.648	0.813135193585324	0.716	0.089	NA	OLFML2B	Ms-E	FALSE
1	0.823	1.00950303932601	0.646	1.00950303932601	0.794	0.26	NA	PLCL1	Ms-E	FALSE
1	0.823	0.906743742802366	0.646	0.906743742802366	0.98	0.791	NA	PEAK1	Ms-E	FALSE
1	0.822	1.07412524220289	0.644	1.07412524220289	0.863	0.401	NA	GEM	Ms-E	TRUE
1	0.822	0.843470863830952	0.644	0.843470863830952	0.833	0.333	NA	CCDC3	Ms-E	FALSE
1	0.821	0.908438014601457	0.642	0.908438014601457	0.863	0.344	NA	PHLDB2	Ms-E	FALSE
1	0.816	0.78285384254901	0.632	0.78285384254901	0.98	0.834	NA	CD59	Ms-E	FALSE
1	0.814	0.90532463357322	0.628	0.90532463357322	0.804	0.313	NA	RNF152	Ms-E	FALSE
1	0.814	0.728106994163727	0.628	0.728106994163727	0.873	0.415	NA	PMEPA1	Ms-E	FALSE
1	0.81	1.10204184185716	0.62	1.10204184185716	0.775	0.28	NA	ADAMTS9	Ms-E	FALSE
1	0.81	1.01022469124124	0.62	1.01022469124124	0.833	0.399	NA	CRISPLD2	Ms-E	FALSE
