	nCell	nUMI	validCell	cellRatio	filter
DDX11L1	0	0	753	0	FALSE
WASH7P	1	1	753	0.00132802124833997	FALSE
MIR6859-1	0	0	753	0	FALSE
MIR1302-2HG	0	0	753	0	FALSE
MIR1302-2	0	0	753	0	FALSE
FAM138A	0	0	753	0	FALSE
OR4G4P	0	0	753	0	FALSE
OR4G11P	0	0	753	0	FALSE
OR4F5	0	0	753	0	FALSE
RP11-34P13.7	6	6	753	0.00796812749003984	FALSE
RP11-34P13.8	0	0	753	0	FALSE
CICP27	1	1	753	0.00132802124833997	FALSE
RP11-34P13.15	1	1	753	0.00132802124833997	FALSE
RP11-34P13.16	0	0	753	0	FALSE
RP11-34P13.14	1	1	753	0.00132802124833997	FALSE
RP11-34P13.13	7	10	753	0.00929614873837981	FALSE
RNU6-1100P	0	0	753	0	FALSE
RP11-34P13.9	0	0	753	0	FALSE
ABC7-43046700E7.1	0	0	753	0	FALSE
RP11-34P13.18	2	2	753	0.00265604249667995	FALSE
MIR6859-2	0	0	753	0	FALSE
AP006222.2	3	4	753	0.00398406374501992	FALSE
RPL23AP21	0	0	753	0	FALSE
RPL23AP24	1	2	753	0.00132802124833997	FALSE
RP5-857K21.15	0	0	753	0	FALSE
RP4-669L17.2	0	0	753	0	FALSE
RP4-669L17.10	1	1	753	0.00132802124833997	FALSE
WBP1LP7	0	0	753	0	FALSE
OR4F29	0	0	753	0	FALSE
SEPT14P13	0	0	753	0	FALSE
CICP7	0	0	753	0	FALSE
RP4-669L17.8	0	0	753	0	FALSE
RP5-857K21.4	120	170	753	0.159362549800797	TRUE
RP5-857K21.2	1	2	753	0.00132802124833997	FALSE
MTND1P23	45	48	753	0.0597609561752988	TRUE
MTND2P28	389	811	753	0.51660026560425	TRUE
MTCO1P12	708	6149	753	0.940239043824701	TRUE
MIR6723	19	23	753	0.0252324037184595	TRUE
MTCO2P12	23	23	753	0.0305444887118194	TRUE
MTATP8P1	5	8	753	0.00664010624169987	FALSE
MTATP6P1	300	543	753	0.398406374501992	TRUE
MTCO3P12	11	12	753	0.0146082337317397	TRUE
WBP1LP6	0	0	753	0	FALSE
OR4F16	3	4	753	0.00398406374501992	FALSE
RP11-206L10.17	0	0	753	0	FALSE
CICP3	0	0	753	0	FALSE
RP11-206L10.2	27	44	753	0.0358565737051793	TRUE
RNU6-1199P	0	0	753	0	FALSE
RP11-206L10.4	1	1	753	0.00132802124833997	FALSE
RP11-206L10.9	6	8	753	0.00796812749003984	FALSE
RP11-206L10.8	42	68	753	0.0557768924302789	TRUE
FAM87B	0	0	753	0	FALSE
LINC01128	196	459	753	0.260292164674635	TRUE
LINC00115	13	83	753	0.0172642762284197	TRUE
FAM41C	12	19	753	0.0159362549800797	TRUE
TUBB8P11	1	1	753	0.00132802124833997	FALSE
FAM166AP3	0	0	753	0	FALSE
RP11-54O7.16	0	0	753	0	FALSE
RP11-54O7.1	1	8	753	0.00132802124833997	FALSE
RP11-54O7.2	0	0	753	0	FALSE
RP11-54O7.3	0	0	753	0	FALSE
SAMD11	13	17	753	0.0172642762284197	TRUE
NOC2L	65	143	753	0.0863213811420983	TRUE
KLHL17	7	7	753	0.00929614873837981	FALSE
PLEKHN1	39	151	753	0.051792828685259	TRUE
PERM1	1	1	753	0.00132802124833997	FALSE
RP11-54O7.17	10	11	753	0.0132802124833997	TRUE
HES4	1	2	753	0.00132802124833997	FALSE
ISG15	2	4	753	0.00265604249667995	FALSE
RP11-54O7.10	0	0	753	0	FALSE
RP11-54O7.11	0	0	753	0	FALSE
AGRN	12	14	753	0.0159362549800797	TRUE
RP11-54O7.14	0	0	753	0	FALSE
RP11-465B22.3	9	13	753	0.0119521912350598	TRUE
RP11-54O7.18	0	0	753	0	FALSE
RNF223	64	176	753	0.0849933598937583	TRUE
C1orf159	0	0	753	0	FALSE
LINC01342	0	0	753	0	FALSE
MIR200B	0	0	753	0	FALSE
MIR200A	0	0	753	0	FALSE
MIR429	0	0	753	0	FALSE
RP11-465B22.8	0	0	753	0	FALSE
TTLL10-AS1	0	0	753	0	FALSE
TTLL10	5	9	753	0.00664010624169987	FALSE
TNFRSF18	0	0	753	0	FALSE
TNFRSF4	0	0	753	0	FALSE
SDF4	171	361	753	0.227091633466135	TRUE
B3GALT6	38	55	753	0.050464807436919	TRUE
C1QTNF12	0	0	753	0	FALSE
RP5-902P8.12	0	0	753	0	FALSE
UBE2J2	22	36	753	0.0292164674634794	TRUE
LINC01786	2	2	753	0.00265604249667995	FALSE
SCNN1D	1	1	753	0.00132802124833997	FALSE
ACAP3	4	4	753	0.00531208499335989	FALSE
MIR6726	0	0	753	0	FALSE
PUSL1	1	1	753	0.00132802124833997	FALSE
INTS11	25	32	753	0.0332005312084993	TRUE
MIR6727	0	0	753	0	FALSE
RP5-890O3.9	5	6	753	0.00664010624169987	FALSE
CPTP	1	1	753	0.00132802124833997	FALSE
TAS1R3	0	0	753	0	FALSE
DVL1	53	83	753	0.0703851261620186	TRUE
MIR6808	0	0	753	0	FALSE
MXRA8	98	125	753	0.130146082337317	TRUE
AURKAIP1	166	251	753	0.220451527224436	TRUE
NDUFB4P8	0	0	753	0	FALSE
CCNL2	120	217	753	0.159362549800797	TRUE
RP4-758J18.2	13	18	753	0.0172642762284197	TRUE
MRPL20	414	980	753	0.549800796812749	TRUE
RN7SL657P	0	0	753	0	FALSE
RP4-758J18.13	16	22	753	0.0212483399734396	TRUE
ANKRD65	49	105	753	0.0650730411686587	TRUE
RP4-758J18.7	1	1	753	0.00132802124833997	FALSE
TMEM88B	0	0	753	0	FALSE
LINC01770	0	0	753	0	FALSE
VWA1	21	39	753	0.0278884462151394	TRUE
ATAD3C	7	13	753	0.00929614873837981	FALSE
ATAD3B	7	8	753	0.00929614873837981	FALSE
ATAD3A	14	17	753	0.0185922974767596	TRUE
TMEM240	2	2	753	0.00265604249667995	FALSE
SSU72	580	2902	753	0.770252324037185	TRUE
RP5-832C2.5	24	54	753	0.0318725099601594	TRUE
RP11-345P4.11	0	0	753	0	FALSE
FNDC10	2	6	753	0.00265604249667995	FALSE
RP11-345P4.9	64	126	753	0.0849933598937583	TRUE
MIB2	32	61	753	0.0424966799468791	TRUE
MMP23B	0	0	753	0	FALSE
CDK11B	294	764	753	0.390438247011952	TRUE
RP11-345P4.10	4	5	753	0.00531208499335989	FALSE
SLC35E2B	139	197	753	0.184594953519256	TRUE
RP11-345P4.6	3	3	753	0.00398406374501992	FALSE
MMP23A	0	0	753	0	FALSE
CDK11A	2	2	753	0.00265604249667995	FALSE
RP1-283E3.8	5	5	753	0.00664010624169987	FALSE
RP1-283E3.4	16	19	753	0.0212483399734396	TRUE
SLC35E2	11	32	753	0.0146082337317397	TRUE
NADK	68	102	753	0.0903054448871182	TRUE
GNB1	656	3928	753	0.871181938911023	TRUE
RP1-140A9.1	1	1	753	0.00132802124833997	FALSE
CALML6	2	2	753	0.00265604249667995	FALSE
TMEM52	3	3	753	0.00398406374501992	FALSE
