	fail	pass	total	ratio
293	203	637	840	0.758333333333333
Mono	187	484	671	0.721311475409836
T	344	495	839	0.589988081048868
X_NK	688	320	1008	0.317460317460317
X_T	186	822	1008	0.81547619047619
X_mono	946	62	1008	0.0615079365079365
X_B	68	856	924	0.926406926406926
GM	33	135	168	0.803571428571429
LI	137	31	168	0.18452380952381
SI	140	28	168	0.166666666666667
FACSTEST	14	154	168	0.916666666666667
HJC	44	40	84	0.476190476190476
SD	178	830	1008	0.823412698412698
SEZC	40	44	84	0.523809523809524
WD	119	805	924	0.871212121212121
XCS	425	667	1092	0.610805860805861
XCX	432	576	1008	0.571428571428571
PG	45	39	84	0.464285714285714
RC1neg	331	677	1008	0.671626984126984
SPZ	54	30	84	0.357142857142857
SSZ	64	20	84	0.238095238095238
SY	64	20	84	0.238095238095238
WDOU	177	663	840	0.789285714285714
WT	143	697	840	0.829761904761905
