cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.951	1.89430782209257	0.902	1.89430782209257	1	0.848	NA	COL1A1	LUM-1	TRUE
0	0.944	1.71225280335688	0.888	1.71225280335688	0.998	0.714	NA	COL14A1	LUM-1	TRUE
0	0.944	1.45138393552461	0.888	1.45138393552461	1	0.984	NA	COL3A1	LUM-1	TRUE
0	0.943	1.68413737366816	0.886	1.68413737366816	1	0.931	NA	COL1A2	LUM-1	TRUE
0	0.938	1.53898106474747	0.876	1.53898106474747	0.98	0.316	NA	C1QTNF3	LUM-1	TRUE
0	0.929	1.53392205254878	0.858	1.53392205254878	0.984	0.378	NA	SHISA3	LUM-1	TRUE
0	0.92	1.25741051056478	0.84	1.25741051056478	1	0.688	NA	DCN	LUM-1	FALSE
0	0.917	1.11991504886845	0.834	1.11991504886845	1	0.964	NA	SPARC	LUM-1	TRUE
0	0.914	1.23506423149948	0.828	1.23506423149948	0.998	0.48	NA	LUM	LUM-1	TRUE
0	0.913	1.44397891725515	0.826	1.44397891725515	0.99	0.631	NA	THBS2	LUM-1	FALSE
0	0.901	1.25760898525771	0.802	1.25760898525771	0.992	0.811	NA	FBLN1	LUM-1	FALSE
0	0.894	1.68980816818367	0.788	1.68980816818367	0.899	0.273	NA	ADH1B	LUM-1	TRUE
0	0.891	1.24354130929275	0.782	1.24354130929275	0.97	0.461	NA	LRRC17	LUM-1	TRUE
0	0.885	1.02622441177896	0.77	1.02622441177896	0.992	0.715	NA	COL5A2	LUM-1	FALSE
0	0.882	1.14252264573168	0.764	1.14252264573168	1	0.921	NA	VCAN	LUM-1	FALSE
0	0.88	1.06037117096857	0.76	1.06037117096857	0.98	0.591	NA	CXCL12	LUM-1	FALSE
0	0.872	0.976831591226458	0.744	0.976831591226458	0.994	0.812	NA	PBX1	LUM-1	FALSE
0	0.856	0.935509366251496	0.712	0.935509366251496	0.909	0.37	NA	ANGPTL6	LUM-1	FALSE
0	0.856	0.873088608145058	0.712	0.873088608145058	0.923	0.326	NA	OGN	LUM-1	FALSE
0	0.854	1.03339496701675	0.708	1.03339496701675	0.915	0.418	NA	SRPX	LUM-1	FALSE
0	0.849	0.970294368022721	0.698	0.970294368022721	0.953	0.494	NA	SGCD	LUM-1	FALSE
0	0.844	0.897143431788387	0.688	0.897143431788387	0.998	0.88	NA	NFIA	LUM-1	FALSE
0	0.843	1.08696929756688	0.686	1.08696929756688	0.988	0.689	NA	COL12A1	LUM-1	FALSE
0	0.84	0.785368271536359	0.68	0.785368271536359	0.941	0.506	NA	COL5A1	LUM-1	FALSE
0	0.838	1.09883517270611	0.676	1.09883517270611	0.915	0.464	NA	NPR3	LUM-1	FALSE
0	0.837	0.881588730189484	0.674	0.881588730189484	0.998	0.866	NA	OLFML3	LUM-1	FALSE
