cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.1	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
SEZC-1_01	6992	58703	.	0.0757371854930753	SEZC-1	SEZC	1	1	1-4	15	15	27.9943673519781	-11.9728755676202	0.989206506392752	5906552	0.874	0.0755865351921115	0.0141537771615492	0.372064825535703	FALSE	TRUE	Epi-S
SEZC-1_02	2108	6549	.	0.0681020003053901	SEZC-1	SEZC	1	2	1-4	0	0	-10.8529011087466	-2.58907921226741	0.931515029152824	862315	0.8384	0.0679463741620963	0.138189598387408	0.308396672456789	FALSE	TRUE	LUM-1
SEZC-1_03	2421	6772	.	0.053603071470762	SEZC-1	SEZC	1	3	1-4	13	13	-25.4241686665711	20.6861830146636	0.97037174327473	672564	0.8511	0.0534452296819788	0.137881733153031	0.320545386321274	FALSE	TRUE	NC
SEZC-1_06	4015	16253	.	0.0420230111364056	SEZC-1	SEZC	1	6	5-8	1	1	4.5896495470902	6.16776490424589	0.986934063447882	2004305	0.8681	0.0419198428773093	0.0721294047402563	0.358356355320778	FALSE	TRUE	LUM-0
SEZC-1_08	5948	47133	.	0.0758916258247937	SEZC-1	SEZC	1	8	5-8	15	15	28.8411752459508	-11.4270659439882	0.991395179949672	4638181	0.8826	0.0757392942571072	0.0175062867880731	0.360343126576994	FALSE	TRUE	Epi-S
SEZC-1_09	3936	18251	.	0.109583036545943	SEZC-1	SEZC	2	1	1-4	15	15	24.917169393401	-5.36572079592907	0.97156086368792	1919141	0.8574	0.10911074740862	0.0683732344095779	0.337611942666616	FALSE	TRUE	Epi-S
SEZC-1_15	3368	14073	.	0.0348184466709301	SEZC-1	SEZC	2	7	5-8	1	1	10.6501977502682	7.93469444065781	0.974821085704311	1701315	0.8676	0.0347419171866137	0.0646753275074375	0.348993476720163	FALSE	TRUE	LUM-0
SEZC-1_16	3454	11381	.	0.0530709076531061	SEZC-1	SEZC	2	8	5-8	2	2	-5.13357126381645	27.0459006852511	0.982594829669002	1267909	0.8562	0.0529174697739618	0.0621632956288344	0.349163596379734	FALSE	TRUE	LUM-2
SEZC-1_17	3726	15910	.	0.056191074795726	SEZC-1	SEZC	3	1	1-4	9	9	-42.7771328899908	1.07204933720278	0.962637455284449	2237760	0.8549	0.0558122112623299	0.0764640820606935	0.330203467692412	FALSE	TRUE	Neutrophil
SEZC-1_19	3403	11096	.	0.0577685652487383	SEZC-1	SEZC	3	3	1-4	10	10	-3.30938073229295	35.6593086658207	0.984196465710676	1156878	0.866	0.0576179775280899	0.0840627634053038	0.347095088230609	FALSE	TRUE	PDGFRA
SEZC-1_21	5887	38581	.	0.105440501801405	SEZC-1	SEZC	3	5	5-8	1	1	7.5389474292515	3.45240563270764	0.990034241759422	4231858	0.8567	0.104632320790144	0.0262569181328588	0.356760120735125	FALSE	TRUE	LUM-0
SEZC-1_23	4022	17590	.	0.0319499715747584	SEZC-1	SEZC	3	7	5-8	1	1	10.5464905126672	8.04479214784347	0.987610022839419	2125079	0.8728	0.0318684434363482	0.0576185418633797	0.364120538685156	FALSE	TRUE	LUM-0
SEZC-1_24	4033	15312	.	0.0379440961337513	SEZC-1	SEZC	3	8	5-8	1	1	10.2577885154912	10.5376192840234	0.985662684859186	1592282	0.8597	0.0377468814968815	0.0458123140664396	0.361145145750588	FALSE	TRUE	LUM-0
SEZC-1_27	3574	11842	.	0.0357203175139335	SEZC-1	SEZC	4	3	1-4	1	1	7.9227236661479	4.63539838673029	0.983759139547667	1143369	0.8709	0.0356510745891277	0.0877040234314783	0.353524690780642	FALSE	TRUE	LUM-0
SEZC-1_29	3619	14241	.	0.0435362685204691	SEZC-1	SEZC	4	5	5-8	1	1	5.25594561359339	6.14770292365694	0.983584669282102	1699744	0.864	0.0434447480905332	0.0742770799508672	0.359148878434014	FALSE	TRUE	LUM-0
SEZC-1_30	3904	17707	.	0.0537640481165641	SEZC-1	SEZC	4	6	5-8	4	4	-3.97156772910684	-26.7845141371847	0.984748361508138	2316009	0.8688	0.0535523429150025	0.0544734852033328	0.352433140267764	FALSE	TRUE	Ms-A
SEZC-1_32	4050	15843	.	0.0292873824401944	SEZC-1	SEZC	4	8	5-8	2	2	1.40562823393718	25.7908558292631	0.980292952258946	1683869	0.8661	0.0292320292320292	0.0416386613456557	0.365825727143582	FALSE	TRUE	LUM-2
SEZC-1_33	2605	9386	.	0.057319411890049	SEZC-1	SEZC	5	1	1-4	14	14	-21.857145492974	-23.0890569718199	0.928359197777668	1055632	0.8385	0.0571428571428571	0.106944944352778	0.312875395728319	FALSE	TRUE	T
