myAUC	avg_diff	power	pct.1	pct.2	gene	Cluster
0.874	2.087306868	0.748	0.889	0.411	H1F0	1
0.853	2.375485903	0.706	1	0.821	TPM2	1
0.818	2.013804704	0.636	0.778	0.484	IER3	1
0.749	2.340733312	0.498	0.556	0.105	TUBA8	1
0.747	2.559815823	0.494	0.556	0.084	GSS	1
0.739	2.055453909	0.478	0.667	0.284	ZNF609	1
0.731	2.452250347	0.462	0.556	0.126	LOC285074	1
0.73	2.579150426	0.46	0.556	0.137	ARG2	1
0.711	2.713945014	0.422	0.667	0.316	CCL2	1
0.702	2.089920497	0.404	0.556	0.274	HOXA5	1
0.701	2.634694941	0.402	0.556	0.232	NECAP1	1
0.934	2.153418472	0.868	0.95	0.452	MFAP4	2
0.924	2.2791026	0.848	0.95	0.357	PCOLCE	2
0.924	2.102252383	0.848	1	0.452	PLAC9	2
0.907	2.506151931	0.814	0.95	0.381	GPC3	2
0.89	2.473786933	0.78	0.95	0.619	ITM2A	2
0.877	2.383133342	0.754	0.9	0.631	MGP	2
0.846	2.032963984	0.692	0.85	0.274	FLRT2	2
0.835	2.091237	0.67	0.9	0.655	IGFBP5	2
0.829	2.590451155	0.658	0.75	0.214	LHFP	2
0.819	2.077699721	0.638	0.85	0.476	RCN3	2
0.811	2.125876218	0.622	0.75	0.214	LRRC17	2
0.794	2.272802766	0.588	0.75	0.298	SFRP2	2
0.776	2.549807684	0.552	0.7	0.262	CUEDC2	2
0.745	2.404322596	0.49	0.6	0.179	CD248	2
0.734	2.071455875	0.468	0.65	0.226	PI15	2
0.731	2.335829325	0.462	0.6	0.202	RAMP2	2
0.731	2.243580209	0.462	0.6	0.226	GPX7	2
0.725	2.421368537	0.45	0.55	0.143	IL11RA	2
0.723	2.390990286	0.446	0.5	0.071	CDH9	2
0.722	2.322230714	0.444	0.55	0.155	PRAF2	2
0.721	3.548464827	0.442	0.5	0.083	MEOX2	2
0.71	2.423428941	0.42	0.5	0.107	RAB23	2
0.974	2.350210665	0.948	1	0.495	TSPAN8	3
0.972	2.463766744	0.944	1	0.384	PRR15L	3
0.937	2.58299349	0.874	1	0.293	DMBT1	3
0.933	2.046422497	0.866	1	0.384	CCL25	3
0.927	2.611534338	0.854	1	0.141	DNAJC14	3
0.919	2.248149505	0.838	1	0.273	AADAC	3
0.915	2.005556581	0.83	1	0.333	MGST1	3
0.909	2.010005353	0.818	1	0.414	GSTA1	3
0.901	2.201468457	0.802	1	0.222	FUK	3
0.895	2.126240573	0.79	1	0.535	TTR	3
0.871	2.554657627	0.742	0.8	0.071	ZNF586	3
0.862	2.432772559	0.724	0.8	0.141	PIGH	3
0.857	2.1514846	0.714	0.8	0.192	PRR15	3
0.856	2.179933937	0.712	0.8	0.141	PEX14	3
0.855	2.128218341	0.71	0.8	0.313	GCNT1	3
0.854	2.675189085	0.708	0.8	0.121	PCYOX1L	3
0.852	2.185480416	0.704	0.8	0.182	SLC51B	3
0.848	2.306529122	0.696	0.8	0.131	SLC35C2	3
0.847	2.076435771	0.694	0.8	0.141	PLEK2	3
0.845	2.107880015	0.69	0.8	0.121	C17orf78	3
0.843	2.292374238	0.686	0.8	0.263	CD24	3
0.843	2.086211562	0.686	0.8	0.162	ATP2A1	3
0.837	2.573468853	0.674	0.8	0.182	SLC2A1	3
0.802	2.129470295	0.604	0.8	0.273	POF1B	3
0.792	2.228851894	0.584	0.8	0.313	NR5A2	3
0.786	3.82582982	0.572	0.6	0.03	STARD13-AS	3
0.784	3.970602696	0.568	0.6	0.04	CAMKV	3
0.778	2.702333554	0.556	0.6	0.051	KIF26B	3
0.774	2.479128302	0.548	0.6	0.061	CYP2J2	3
0.772	2.64736869	0.544	0.6	0.101	HDDC3	3
0.77	2.314875812	0.54	0.6	0.071	CA3	3
0.77	2.163123215	0.54	0.6	0.071	SCARNA2	3
0.768	2.733169835	0.536	0.6	0.071	MATN1-AS1	3
0.766	2.482588801	0.532	0.6	0.081	ENPP4	3
0.766	2.298928364	0.532	0.6	0.071	BOP1	3
0.766	2.24732436	0.532	0.6	0.111	CDK5	3
0.766	2.058582408	0.532	0.6	0.111	CASC2	3
0.764	2.697879325	0.528	0.6	0.071	RNASE6	3
0.764	2.373598778	0.528	0.6	0.091	TATDN1	3
0.758	4.024204742	0.516	0.6	0.091	GSTA2	3
0.756	2.317911295	0.512	0.6	0.212	SLC35A4	3
0.752	2.120697103	0.504	0.6	0.091	ST20	3
0.749	2.17869424	0.498	0.6	0.152	DRG2	3
0.743	2.409029754	0.486	0.6	0.131	ADH1C	3
0.743	2.062015344	0.486	0.6	0.121	DUS3L	3
0.741	2.337978158	0.482	0.6	0.182	VPS26B	3
0.729	2.530173881	0.458	0.6	0.202	COMMD1	3
0.723	2.091312803	0.446	0.6	0.182	CHCHD10	3
0.989	3.24052242	0.978	1	0.635	APOA4	4
0.985	3.118812571	0.97	1	0.765	APOC3	4
0.985	2.623290475	0.97	1	0.529	APOB	4
0.976	2.962916651	0.952	1	0.188	AGT	4
0.973	2.787671902	0.946	1	0.271	FBP1	4
0.972	2.894464631	0.944	1	0.165	AFP	4
0.967	2.676857664	0.934	1	0.341	DPEP1	4
0.967	2.624210252	0.934	1	0.306	ENPP7	4
0.966	2.547346469	0.932	1	0.671	FABP2	4
0.963	2.454907854	0.926	1	0.859	APOA1	4
0.962	2.518841615	0.924	1	0.247	AQP1	4
0.962	2.323494678	0.924	1	0.765	RBP2	4
0.962	2.041230272	0.924	1	0.588	ANXA4	4
0.961	2.147803177	0.922	1	0.365	XPNPEP2	4
0.957	2.444293926	0.914	1	0.271	TSPAN13	4
0.957	2.26627549	0.914	1	0.388	AOC1	4
0.954	2.335540035	0.908	1	0.424	IFI30	4
0.953	2.320417299	0.906	1	0.424	MEP1A	4
0.953	2.156962584	0.906	1	0.471	MAMDC4	4
0.951	3.348069744	0.902	0.947	0.259	C8G	4
0.95	2.17931542	0.9	1	0.235	MST1	4
0.949	2.32144691	0.898	1	0.294	CTSA	4
0.949	2.231168879	0.898	1	0.329	SLC46A3	4
0.947	2.328841432	0.894	1	0.259	DDC	4
0.947	2.241722087	0.894	1	0.329	DPP4	4
0.947	2.118025293	0.894	1	0.471	GCHFR	4
0.947	2.098768438	0.894	1	0.459	SMIM24	4
0.946	2.152537849	0.892	1	0.141	SLC5A9	4
0.944	2.233460298	0.888	1	0.565	IL32	4
0.944	2.066002177	0.888	1	0.329	SLC6A19	4
0.943	2.199216943	0.886	1	0.224	OCIAD2	4
0.942	2.201334715	0.884	0.947	0.318	SLC7A7	4
0.942	2.117744695	0.884	1	0.6	ATP1B3	4
0.942	2.021093986	0.884	1	0.388	MUC13	4
0.939	2.625978729	0.878	0.947	0.165	S100A9	4
0.938	2.035518253	0.876	1	0.294	MYO1A	4
0.935	2.056816076	0.87	1	0.412	TGM2	4
0.934	2.115179205	0.868	1	0.424	PON2	4
0.93	2.482145513	0.86	0.947	0.106	TREH	4
0.93	2.137568602	0.86	1	0.341	PRSS3	4
0.929	2.505887897	0.858	0.947	0.165	METTL7B	4
0.929	2.010193546	0.858	1	0.294	PP7080	4
0.928	2.397329684	0.856	0.947	0.165	ALPI	4
0.928	2.001327554	0.856	1	0.576	ASAH1	4
0.927	2.419999985	0.854	0.947	0.271	TM4SF20	4
0.923	2.299365387	0.846	0.947	0.247	GLRX	4
0.92	2.345043094	0.84	0.947	0.188	GOLT1A	4
0.919	2.371671831	0.838	0.947	0.541	ALDOB	4
0.912	2.130249442	0.824	0.947	0.212	NR0B2	4
0.907	2.498047959	0.814	0.895	0.153	HHLA2	4
0.907	2.164921449	0.814	0.947	0.282	PNP	4
0.901	3.45240659	0.802	0.842	0.071	PNCK	4
0.896	2.318950237	0.792	0.895	0.165	RGN	4
0.894	3.00744405	0.788	0.842	0.118	SULT1B1	4
0.89	2.169911554	0.78	0.895	0.235	SEC11C	4
0.885	2.504379206	0.77	0.842	0.106	C11orf86	4
0.874	2.302210344	0.748	0.842	0.118	CHST13	4
0.872	2.507011473	0.744	0.842	0.212	FBXO2	4
0.87	2.000328991	0.74	0.842	0.094	TMEM86B	4
0.867	2.234578112	0.734	0.842	0.165	RAB25	4
0.866	2.381758922	0.732	0.842	0.129	CFB	4
0.864	2.147714636	0.728	0.842	0.2	TMEM144	4
0.86	2.061037788	0.72	0.842	0.153	CFI	4
0.858	2.563832168	0.716	0.789	0.082	SERPINA4	4
0.855	2.036534584	0.71	0.842	0.188	ABRACL	4
0.844	2.318864751	0.688	0.789	0.165	EMB	4
0.84	2.448710881	0.68	0.789	0.235	FAH	4
0.829	2.010504304	0.658	0.789	0.176	RNF128	4
0.828	2.720446753	0.656	0.789	0.247	G0S2	4
0.824	2.319852141	0.648	0.737	0.129	UGT3A1	4
0.823	2.206327545	0.646	0.737	0.141	KEL	4
0.814	2.41183739	0.628	0.684	0.047	MFSD2A	4
0.812	2.105594431	0.624	0.737	0.141	ABCC2	4
0.806	2.314153187	0.612	0.684	0.082	ACP5	4
0.805	2.197575842	0.61	0.684	0.082	NAGS	4
0.803	2.412331313	0.606	0.684	0.094	IL22RA1	4
0.8	2.186399552	0.6	0.737	0.141	PLAGL2	4
0.8	2.157045738	0.6	0.737	0.188	RARRES1	4
0.796	3.034027671	0.592	0.684	0.106	S100G	4
0.796	2.036895843	0.592	0.684	0.106	GJB1	4
0.788	2.284020678	0.576	0.684	0.188	CNKSR1	4
0.785	2.45853032	0.57	0.632	0.094	DAB1	4
0.772	2.060720164	0.544	0.632	0.082	MS4A8	4
0.772	2.034762407	0.544	0.632	0.106	STARD5	4
0.771	3.338288948	0.542	0.579	0.035	FAM110C	4
0.77	2.67089207	0.54	0.632	0.141	NPL	4
