	nCell	nUMI	validCell	cellRatio	filter
DDX11L1	0	0	2235	0	FALSE
WASH7P	2	2	2235	0.000894854586129754	FALSE
MIR6859-1	0	0	2235	0	FALSE
MIR1302-2HG	0	0	2235	0	FALSE
MIR1302-2	0	0	2235	0	FALSE
FAM138A	0	0	2235	0	FALSE
OR4G4P	0	0	2235	0	FALSE
OR4G11P	0	0	2235	0	FALSE
OR4F5	0	0	2235	0	FALSE
RP11-34P13.7	6	8	2235	0.00268456375838926	FALSE
RP11-34P13.8	0	0	2235	0	FALSE
CICP27	0	0	2235	0	FALSE
RP11-34P13.15	0	0	2235	0	FALSE
RP11-34P13.16	0	0	2235	0	FALSE
RP11-34P13.14	2	3	2235	0.000894854586129754	FALSE
RP11-34P13.13	27	31	2235	0.0120805369127517	TRUE
RNU6-1100P	0	0	2235	0	FALSE
RP11-34P13.9	0	1	2235	0	FALSE
ABC7-43046700E7.1	1	2	2235	0.000447427293064877	FALSE
RP11-34P13.18	6	6	2235	0.00268456375838926	FALSE
MIR6859-2	0	0	2235	0	FALSE
AP006222.2	19	23	2235	0.00850111856823266	FALSE
RPL23AP21	0	0	2235	0	FALSE
RPL23AP24	9	9	2235	0.00402684563758389	FALSE
RP5-857K21.15	0	0	2235	0	FALSE
RP4-669L17.2	0	0	2235	0	FALSE
RP4-669L17.10	7	8	2235	0.00313199105145414	FALSE
WBP1LP7	0	0	2235	0	FALSE
OR4F29	1	1	2235	0.000447427293064877	FALSE
SEPT14P13	0	0	2235	0	FALSE
CICP7	0	0	2235	0	FALSE
RP4-669L17.8	0	0	2235	0	FALSE
RP5-857K21.4	235	306	2235	0.105145413870246	TRUE
RP5-857K21.2	1	3	2235	0.000447427293064877	FALSE
MTND1P23	83	101	2235	0.0371364653243848	TRUE
MTND2P28	725	1328	2235	0.324384787472036	TRUE
MTCO1P12	1939	11266	2235	0.867561521252796	TRUE
MIR6723	29	39	2235	0.0129753914988814	TRUE
MTCO2P12	49	58	2235	0.021923937360179	TRUE
MTATP8P1	12	16	2235	0.00536912751677852	FALSE
MTATP6P1	628	1024	2235	0.280984340044743	TRUE
MTCO3P12	25	29	2235	0.0111856823266219	TRUE
WBP1LP6	0	0	2235	0	FALSE
OR4F16	11	11	2235	0.00492170022371365	FALSE
RP11-206L10.17	0	0	2235	0	FALSE
CICP3	0	0	2235	0	FALSE
RP11-206L10.2	94	149	2235	0.0420581655480984	TRUE
RNU6-1199P	1	1	2235	0.000447427293064877	FALSE
RP11-206L10.4	2	2	2235	0.000894854586129754	FALSE
RP11-206L10.9	36	53	2235	0.0161073825503356	TRUE
RP11-206L10.8	186	299	2235	0.0832214765100671	TRUE
FAM87B	18	23	2235	0.00805369127516779	FALSE
LINC01128	649	1925	2235	0.290380313199105	TRUE
LINC00115	120	496	2235	0.0536912751677852	TRUE
FAM41C	6	7	2235	0.00268456375838926	FALSE
TUBB8P11	2	2	2235	0.000894854586129754	FALSE
FAM166AP3	0	0	2235	0	FALSE
RP11-54O7.16	2	3	2235	0.000894854586129754	FALSE
RP11-54O7.1	30	77	2235	0.0134228187919463	TRUE
RP11-54O7.2	0	0	2235	0	FALSE
RP11-54O7.3	3	3	2235	0.00134228187919463	FALSE
SAMD11	113	179	2235	0.0505592841163311	TRUE
NOC2L	197	462	2235	0.0881431767337808	TRUE
KLHL17	47	71	2235	0.0210290827740492	TRUE
PLEKHN1	8	19	2235	0.00357941834451902	FALSE
PERM1	0	0	2235	0	FALSE
RP11-54O7.17	21	26	2235	0.00939597315436242	FALSE
HES4	3	4	2235	0.00134228187919463	FALSE
ISG15	58	99	2235	0.0259507829977629	TRUE
RP11-54O7.10	1	1	2235	0.000447427293064877	FALSE
RP11-54O7.11	3	4	2235	0.00134228187919463	FALSE
AGRN	48	69	2235	0.0214765100671141	TRUE
RP11-54O7.14	0	0	2235	0	FALSE
