cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
WDOU_C-B1_01	1800	14209	.	0.0270955028503061	WDOU_C-B1	WDOU_C	1	1	1-4	7	15	24.742379555096	32.0837489723745	0.981150023930343	783406	0.8371	0.0268648384620752	0.0160137204459145	0.19799125332442	FALSE	TRUE	Erythrocyte
WDOU_C-B1_04	4624	26272	.	0.0946254567600487	WDOU_C-B1	WDOU_C	1	4	1-4	12	12	23.4458915489211	-31.7369460527042	0.955783340297093	2896088	0.8616	0.093698175787728	0.0465648810596242	0.333591110514884	FALSE	TRUE	Epi-19
WDOU_C-B1_05	2945	8172	.	0.0331620166421929	WDOU_C-B1	WDOU_C	1	5	5-8	0	0	18.6789380952743	4.584027230628	0.98525027719472	1265822	0.879	0.0329844206426485	0.104603176535477	0.328639343354214	FALSE	TRUE	PROM1-0
WDOU_C-B1_06	5005	28793	.	0.0382731914006877	WDOU_C-B1	WDOU_C	1	6	5-8	5	5	-19.408786994466	11.1278621632409	0.990722377167713	2017009	0.8421	0.0381645021645022	0.0815982903018321	0.374598656262452	FALSE	TRUE	Ms-A
WDOU_C-B1_08	3490	30463	.	0.0306601450940485	WDOU_C-B1	WDOU_C	1	8	5-8	1	1	-31.246732628046	-14.3001525604582	0.993202257218568	2442408	0.9038	0.030639023750164	0.10696820272202	0.34953025148501	FALSE	TRUE	ECM-1
WDOU_C-B1_09	3403	11818	.	0.0303773904213911	WDOU_C-B1	WDOU_C	2	1	1-4	0	0	-3.51454331962883	6.05103538203724	0.989770354309677	1536804	0.8977	0.0303055883842647	0.132510635358494	0.345134265226788	FALSE	TRUE	PROM1-0
WDOU_C-B1_13	3393	14488	.	0.0325096631695196	WDOU_C-B1	WDOU_C	2	5	5-8	0	0	-7.29530993734591	-0.432847823340177	0.987629367854211	1586482	0.9007	0.0324380165289256	0.184668731996304	0.345318886384681	FALSE	TRUE	PROM1-0
WDOU_C-B1_16	2810	11466	.	0.0448281876853305	WDOU_C-B1	WDOU_C	2	8	5-8	0	0	-7.10391868789803	-0.667995667376388	0.989188753130199	1643608	0.9082	0.0446413062358867	0.144587972298911	0.313258101294986	FALSE	TRUE	PROM1-0
WDOU_C-B1_18	4211	26690	.	0.0209067066316973	WDOU_C-B1	WDOU_C	3	2	1-4	2	2	12.0842593505186	-6.11997239418458	0.9871210325573	2274223	0.907	0.0208481225481039	0.0843992490707476	0.362774578214769	FALSE	TRUE	PROM1-I
WDOU_C-B1_19	3215	15951	.	0.0445113159049589	WDOU_C-B1	WDOU_C	3	3	1-4	8	8	-22.8058519408245	-23.9284751382427	0.991779614921722	1773162	0.881	0.0443334374024352	0.154475944209164	0.337403671868586	FALSE	TRUE	ECM-K
WDOU_C-B1_21	4195	18254	.	0.0345677659691027	WDOU_C-B1	WDOU_C	3	5	5-8	0	0	-8.45271564559816	3.32222325508506	0.993424443879075	1973464	0.8976	0.034445111632731	0.105176443653787	0.357511387459789	FALSE	TRUE	PROM1-0
WDOU_C-B1_23	4790	32667	.	0.0206324425260967	WDOU_C-B1	WDOU_C	3	7	5-8	5	5	-16.7004593050348	5.63059257429097	0.985690580341284	2601143	0.8936	0.0205801526717557	0.0659396639439719	0.367569522414177	FALSE	TRUE	Ms-A
WDOU_C-B1_25	3252	9304	.	0.0782459157351677	WDOU_C-B1	WDOU_C	4	1	1-4	0	0	-8.95589944072667	12.5718246402981	0.983083529227394	868736	0.8585	0.0778110303548525	0.0651489000681773	0.324049470453329	FALSE	TRUE	PROM1-0
WDOU_C-B1_26	4930	28084	.	0.0200826093149124	WDOU_C-B1	WDOU_C	4	2	1-4	0	0	2.58553643770242	15.5345632522789	0.98980492502125	2340343	0.8848	0.0200149047162781	0.0471016415171595	0.368921195991239	FALSE	TRUE	PROM1-0
WDOU_C-B1_27	5476	47244	.	0.116120565574464	WDOU_C-B1	WDOU_C	4	3	1-4	12	12	24.6512168546438	-27.0075660323254	0.992003856242988	2907455	0.8849	0.115523085668569	0.0593364313399217	0.357443043093097	FALSE	TRUE	Epi-19
WDOU_C-B1_30	3029	12462	.	0.0294495265607447	WDOU_C-B1	WDOU_C	4	6	5-8	0	0	8.45173326967573	14.8714983225481	0.975627034285518	1471465	0.8893	0.0293107579266832	0.105321568843517	0.323524746893343	FALSE	TRUE	PROM1-0
WDOU_C-B1_33	4547	28495	.	0.0474820143884892	WDOU_C-B1	WDOU_C	5	1	1-4	9	9	43.4380397402028	7.93013769625093	0.974986271959579	1789198	0.8982	0.0473739495798319	0.115135155880208	0.356558843455103	FALSE	TRUE	Endo
WDOU_C-B1_34	3631	16215	.	0.0158495220474869	WDOU_C-B1	WDOU_C	5	2	1-4	0	0	-5.87749406055331	-7.4321103648164	0.97320357673511	1443503	0.9057	0.0158076024111207	0.0950975896648657	0.353081253811957	FALSE	TRUE	PROM1-0
WDOU_C-B1_37	2368	6583	.	0.0619778216618563	WDOU_C-B1	WDOU_C	5	5	5-8	0	0	-0.594579137130918	-0.299870548535958	0.9819267037896	932168	0.8896	0.0617153229466041	0.18629249463193	0.304193989985521	FALSE	TRUE	PROM1-0
WDOU_C-B1_39	4851	27874	.	0.0165028341823922	WDOU_C-B1	WDOU_C	5	7	5-8	2	2	12.524138144144	-8.6803107291751	0.988010476976215	1830289	0.9021	0.0164673874131882	0.0784453639508483	0.380336734851199	FALSE	TRUE	PROM1-I
WDOU_C-B1_40	3243	10813	.	0.036067696291501	WDOU_C-B1	WDOU_C	5	8	5-8	0	0	11.6686024353072	12.6678297087733	0.983779184258937	1350018	0.8922	0.0359612724757953	0.144185505501122	0.334517231431952	FALSE	TRUE	PROM1-0
WDOU_C-B1_41	5245	36356	.	0.0211794476840136	WDOU_C-B1	WDOU_C	6	1	1-4	6	6	29.1996026335574	-0.483581144188509	0.992511317239431	2560717	0.9042	0.021133525456292	0.0935585990721034	0.380753106700874	FALSE	TRUE	PROM1-V
WDOU_C-B1_42	4082	29654	.	0.0369596007284009	WDOU_C-B1	WDOU_C	6	2	1-4	8	8	-26.5041173172828	-20.2633347506738	0.986100401759373	2219515	0.9021	0.0368626395802502	0.100461265289057	0.353143762190175	FALSE	TRUE	ECM-K
WDOU_C-B1_47	5381	48817	.	0.0170842124669685	WDOU_C-B1	WDOU_C	6	7	5-8	4	4	-2.62827507450876	-26.1140585728169	0.973396230213832	3418232	0.9116	0.017060447990181	0.0774141417108177	0.385735503949421	FALSE	TRUE	ECM-4
WDOU_C-B1_52	6224	55883	.	0.0347869656246086	WDOU_C-B1	WDOU_C	7	4	1-4	4	4	-17.8821804658208	-19.3530098111755	0.990495767066826	3772442	0.8995	0.0347254474652567	0.0246602118557776	0.387966549974424	FALSE	TRUE	ECM-4
WDOU_C-B1_53	3452	12488	.	0.0273862908392056	WDOU_C-B1	WDOU_C	7	5	5-8	0	0	9.60023583873153	-4.71200454132053	0.983140235611319	1040272	0.8902	0.0273206582521169	0.138814415967492	0.342589902657261	FALSE	TRUE	PROM1-0
WDOU_C-B1_55	5365	32193	.	0.0247879973907371	WDOU_C-B1	WDOU_C	7	7	5-8	0	0	-11.3296078112506	11.8699714810693	0.981563574495001	1806344	0.888	0.0247074122236671	0.0650861232254474	0.380765078376884	FALSE	TRUE	PROM1-0
WDOU_C-B1_56	4691	53647	.	0.0154901485637594	WDOU_C-B1	WDOU_C	7	8	5-8	1	1	-21.3993484244174	-10.8717973606364	0.994532812588727	2830913	0.9159	0.0154777425963867	0.100731487229372	0.373673374930924	FALSE	TRUE	ECM-1
WDOU_C-B1_57	5008	36467	.	0.0168097183755176	WDOU_C-B1	WDOU_C	8	1	1-4	0	0	13.1152403621213	-8.29922444205462	0.99044467297633	2801804	0.8849	0.0167454312016827	0.0702656887122906	0.365181959781244	FALSE	TRUE	PROM1-0
WDOU_C-B1_58	5014	34624	.	0.0339648798521257	WDOU_C-B1	WDOU_C	8	2	1-4	1	1	-31.1323929332553	5.01768410592287	0.987629103569562	2429951	0.8982	0.0338934201804191	0.0878457323703365	0.370774254480433	FALSE	TRUE	ECM-1
WDOU_C-B1_59	3336	10590	.	0.0274787535410765	WDOU_C-B1	WDOU_C	8	3	1-4	0	0	1.46468073667853	12.237966467215	0.988444454322336	1376142	0.9	0.0274037103305396	0.10216995341924	0.339031840400914	FALSE	TRUE	PROM1-0
WDOU_C-B1_60	2848	10287	.	0.0388840283853407	WDOU_C-B1	WDOU_C	8	4	1-4	0	0	5.78584469341759	9.41865695029442	0.990972186717112	1748454	0.876	0.0387409200968523	0.0983853274648929	0.321446035861054	FALSE	TRUE	PROM1-0
WDOU_C-B1_61	4780	31559	.	0.0213251370449	WDOU_C-B1	WDOU_C	8	5	5-8	8	8	-23.2535197605028	-24.5135306937955	0.988731746331293	3163916	0.8931	0.0212369832754812	0.0382992010878679	0.360905327983574	FALSE	TRUE	ECM-K
WDOU_C-B1_63	4582	27874	.	0.0488268637439908	WDOU_C-B1	WDOU_C	8	7	5-8	14	14	10.6741721946888	44.6572524926475	0.974567349264312	2972549	0.8885	0.0482435929247457	0.0547332238637422	0.3245295914628	FALSE	TRUE	Neutrophil
WDOU_C-B1_64	4428	43171	.	0.101456996594936	WDOU_C-B1	WDOU_C	8	8	5-8	12	12	25.1180416721892	-27.1047421313562	0.993283180370977	2901442	0.8958	0.100800883733775	0.0788289420254823	0.333860672207603	FALSE	TRUE	Epi-19
WDOU_C-B1_65	2448	4026	.	0.0765027322404372	WDOU_C-B1	WDOU_C	9	1	1-4	7	7	29.8136675973217	-18.1595226354731	0.990457830315444	415342	0.7822	0.0745041122399613	0.00499539477050606	0.172646666633792	FALSE	TRUE	CACNA1A+
WDOU_C-B1_67	4596	21852	.	0.033315028372689	WDOU_C-B1	WDOU_C	9	3	1-4	5	5	-16.2061106197189	5.84394077555574	0.982303144118898	1492770	0.8715	0.0331844288449266	0.0574172159292734	0.369286570330326	FALSE	TRUE	Ms-A
WDOU_C-B1_68	2593	8508	.	0.0450164551010813	WDOU_C-B1	WDOU_C	9	4	1-4	0	0	0.495204919282034	4.02032907957163	0.977134901603282	1125798	0.8803	0.0449319568277804	0.174565048651491	0.322257092372146	FALSE	TRUE	PROM1-0
WDOU_C-B1_69	4825	38254	.	0.0444659382025409	WDOU_C-B1	WDOU_C	9	5	5-8	5	5	-20.362232781754	14.4729709158427	0.991787536712589	2494494	0.9041	0.0442922612227893	0.0619475552208581	0.357369192684088	FALSE	TRUE	Ms-A
WDOU_C-B1_71	2373	8625	.	0.142608695652174	WDOU_C-B1	WDOU_C	9	7	5-8	9	9	42.1700383095016	4.04701209504305	0.977371596752421	1956833	0.8443	0.14142807864781	0.0994540793621942	0.249108159533218	FALSE	TRUE	Endo
WDOU_C-B1_75	1945	4004	.	0.0929070929070929	WDOU_C-B1	WDOU_C	10	3	1-4	7	7	23.962299123221	-10.0320805536256	0.985652522857154	543695	0.7939	0.0912659470068695	0.0461304179177382	0.230256751377746	FALSE	TRUE	CACNA1A+
WDOU_C-B1_77	6112	59390	.	0.0294662401077622	WDOU_C-B1	WDOU_C	10	5	5-8	4	4	-4.56709592210857	-30.1014640246398	0.99300502274109	3793899	0.8982	0.0293703007518797	0.0601040261991909	0.380161984655955	FALSE	TRUE	ECM-4
WDOU_C-B1_79	4114	23380	.	0.0506415739948674	WDOU_C-B1	WDOU_C	10	7	5-8	5	5	-16.9176846788391	9.69374372422011	0.954568240479843	2213800	0.8824	0.0505507642387499	0.103473272232277	0.354583775627705	FALSE	TRUE	Ms-A
WDOU_C-B1_80	3633	14653	.	0.0401965467822289	WDOU_C-B1	WDOU_C	10	8	5-8	0	0	-9.31971478422013	14.0707182028743	0.982422663764736	1912241	0.889	0.0399891370765157	0.0528236028129824	0.320013838966247	FALSE	TRUE	PROM1-0
WDOU_C-B1_82	3190	15670	.	0.0826419910657307	WDOU_C-B1	WDOU_C	11	2	1-4	4	4	-14.3574446012662	-19.2148875312726	0.990149850711085	1985617	0.8364	0.082326764144946	0.12410242997765	0.328128773495868	FALSE	TRUE	ECM-4
WDOU_C-B1_83	4702	23788	.	0.0277450815537246	WDOU_C-B1	WDOU_C	11	3	1-4	5	5	-17.3015740159324	5.48865474695104	0.987802833978574	2089758	0.8786	0.0276370336250576	0.0542463477007956	0.371291324007342	FALSE	TRUE	Ms-A
WDOU_C-B1_84	4431	20088	.	0.0346973317403425	WDOU_C-B1	WDOU_C	11	4	1-4	5	5	-19.2668866039197	9.84167137788407	0.981130817777755	1731237	0.8989	0.0345957214473619	0.114313187929139	0.36924917422085	FALSE	TRUE	Ms-A
WDOU_C-B1_85	4534	37129	.	0.0182606587842387	WDOU_C-B1	WDOU_C	11	5	5-8	8	8	-23.8659171846484	-15.8957728818113	0.992986597838139	2478253	0.9148	0.0182282564860868	0.10519412417931	0.37251165121897	FALSE	TRUE	ECM-K
WDOU_C-B1_86	2962	14508	.	0.0437000275709953	WDOU_C-B1	WDOU_C	11	6	5-8	1	1	-21.1982764430238	-10.2541513111035	0.971019886112377	1593900	0.8897	0.0434961580680571	0.120841858719932	0.320048700120309	FALSE	TRUE	ECM-1
