	fail	pass	ratio
293	203	637	0.758333333333333
Mono	187	484	0.721311475409836
T	344	495	0.589988081048868
X_NK	688	320	0.317460317460317
X_T	186	822	0.81547619047619
X_mono	946	62	0.0615079365079365
X_B	68	856	0.926406926406926
GM	33	135	0.803571428571429
LI	137	31	0.18452380952381
SI	140	28	0.166666666666667
FACSTEST	14	154	0.916666666666667
HJC	44	40	0.476190476190476
SD	178	830	0.823412698412698
SEZC	40	44	0.523809523809524
WD	119	805	0.871212121212121
XCS	425	667	0.610805860805861
XCX	432	576	0.571428571428571
