	ABratio	cleanReads	mpRatio	nGene	nUMI	mitoRatio	ERCCratio	avgCor	doublet	filter
SEZC-1_01	0.989206506392752	5906552	0.874	7093	58820	0.0755865351921115	0.0141537771615492	0.372064825535703	FALSE	TRUE
SEZC-1_02	0.931515029152824	862315	0.8384	2122	6564	0.0679463741620963	0.138189598387408	0.308396672456789	FALSE	TRUE
SEZC-1_03	0.97037174327473	672564	0.8511	2438	6792	0.0534452296819788	0.137881733153031	0.320545386321274	FALSE	TRUE
SEZC-1_05	0.920534893439198	128426	0.6343	795	1174	0.0647359454855196	0.930088694646185	0.250677539309661	FALSE	FALSE
SEZC-1_06	0.986934063447882	2004305	0.8681	4051	16293	0.0419198428773093	0.0721294047402563	0.358356355320778	FALSE	TRUE
SEZC-1_07	0.869155646109633	165605	0.7554	652	948	0.0464135021097046	0.959724182864589	0.229850064950952	FALSE	FALSE
SEZC-1_08	0.991395179949672	4638181	0.8826	6032	47241	0.0757392942571072	0.0175062867880731	0.360343126576994	FALSE	TRUE
SEZC-1_09	0.97156086368792	1919141	0.8574	3989	18330	0.10911074740862	0.0683732344095779	0.337611942666616	FALSE	TRUE
SEZC-1_10	0.779818531969171	229971	0.6809	265	1260	0.0293650793650794	0.456439800656087	0.169135756369097	FALSE	FALSE
SEZC-1_11	0.919094758125056	110924	0.729	432	557	0.0233393177737881	0.986140479028104	0.198320362681602	FALSE	FALSE
SEZC-1_13	0.975475266985723	722468	0.8182	1966	6227	0.184358439055725	0.166959685390423	0.302682521602666	FALSE	FALSE
SEZC-1_14	0.916038463010239	202036	0.6757	669	926	0.0356371490280778	0.951478522160759	0.235951914837236	FALSE	FALSE
SEZC-1_15	0.974821085704311	1701315	0.8676	3394	14104	0.0347419171866137	0.0646753275074375	0.348993476720163	FALSE	TRUE
SEZC-1_16	0.982594829669002	1267909	0.8562	3485	11414	0.0529174697739618	0.0621632956288344	0.349163596379734	FALSE	TRUE
SEZC-1_17	0.962637455284449	2237760	0.8549	3805	16018	0.0558122112623299	0.0764640820606935	0.330203467692412	FALSE	TRUE
SEZC-1_18	0.870767853761812	59079	0.799	1066	1659	0.0644966847498493	0.131896472322004	0.226591845711471	FALSE	FALSE
SEZC-1_19	0.984196465710676	1156878	0.866	3426	11125	0.0576179775280899	0.0840627634053038	0.347095088230609	FALSE	TRUE
SEZC-1_21	0.990034241759422	4231858	0.8567	5976	38879	0.104632320790144	0.0262569181328588	0.356760120735125	FALSE	TRUE
SEZC-1_22	0.974442542615302	1612946	0.8355	3238	12554	0.329297435080452	0.129141384504631	0.31415300747582	FALSE	FALSE
SEZC-1_23	0.987610022839419	2125079	0.8728	4058	17635	0.0318684434363482	0.0576185418633797	0.364120538685156	FALSE	TRUE
SEZC-1_24	0.985662684859186	1592282	0.8597	4111	15392	0.0377468814968815	0.0458123140664396	0.361145145750588	FALSE	TRUE
SEZC-1_25	0.735480965249135	180292	0.5955	1007	1602	0.0318352059925094	0.949532613480411	0.260642212041743	FALSE	FALSE
SEZC-1_26	0.659926406776131	143470	0.4546	357	536	0.0783582089552239	0.875060532687651	0.160399045940786	FALSE	FALSE
SEZC-1_27	0.983759139547667	1143369	0.8709	3596	11865	0.0356510745891277	0.0877040234314783	0.353524690780642	FALSE	TRUE
SEZC-1_29	0.983584669282102	1699744	0.864	3641	14271	0.0434447480905332	0.0742770799508672	0.359148878434014	FALSE	TRUE
SEZC-1_30	0.984748361508138	2316009	0.8688	3960	17777	0.0535523429150025	0.0544734852033328	0.352433140267764	FALSE	TRUE
SEZC-1_31	0.823746728598858	153317	0.6923	644	937	0.0544290288153682	0.901695662319479	0.228975747696186	FALSE	FALSE
SEZC-1_32	0.980292952258946	1683869	0.8661	4076	15873	0.0292320292320292	0.0416386613456557	0.365825727143582	FALSE	TRUE
SEZC-1_33	0.928359197777668	1055632	0.8385	2634	9415	0.0571428571428571	0.106944944352778	0.312875395728319	FALSE	TRUE
SEZC-1_34	0.688141292642786	163638	0.6188	297	449	0.0712694877505568	0.991819364967877	0.168257974384885	FALSE	FALSE
SEZC-1_35	0.948219820377592	575380	0.8353	2346	8276	0.236104398260029	0.105262358915194	0.287094964605893	FALSE	FALSE
SEZC-1_37	0.922178006721841	135238	0.6462	913	1396	0.0515759312320917	0.925328159828284	0.256141314846897	FALSE	FALSE
SEZC-1_38	0.989415483673655	3228882	0.8768	5841	31070	0.0258126810428066	0.0306389400683545	0.346258251939271	FALSE	TRUE
SEZC-1_39	0.840591305075351	194806	0.7561	683	1252	0.0846645367412141	0.754121342253296	0.236499465491798	FALSE	FALSE
