	ABratio	cleanReads	mpRatio	nGene	nUMI	mitoRatio	ERCCratio	avgCor	doublet	filter
WDOU_C-B1_01	0.981150023930343	783406	0.8371	1893	14331	0.0268648384620752	0.0160137204459145	0.19799125332442	FALSE	TRUE
WDOU_C-B1_02	0.946611581566273	45959	0.8113	645	804	0.0509950248756219	0.0340633282187195	0.115823686872737	FALSE	FALSE
WDOU_C-B1_03	0.971336923808015	282336	0.7074	62	74	0.0405405405405405	0.791393774283862	0.0477480150190432	FALSE	FALSE
WDOU_C-B1_04	0.955783340297093	2896088	0.8616	4755	26532	0.093698175787728	0.0465648810596242	0.333591110514884	FALSE	TRUE
WDOU_C-B1_05	0.98525027719472	1265822	0.879	2982	8216	0.0329844206426485	0.104603176535477	0.328639343354214	FALSE	TRUE
WDOU_C-B1_06	0.990722377167713	2017009	0.8421	5062	28875	0.0381645021645022	0.0815982903018321	0.374598656262452	FALSE	TRUE
WDOU_C-B1_07	0.973598435462842	171057	0.7819	1378	2169	0.0576302443522361	0.0145476599297428	0.173464465518489	FALSE	FALSE
WDOU_C-B1_08	0.993202257218568	2442408	0.9038	3510	30484	0.030639023750164	0.10696820272202	0.34953025148501	FALSE	TRUE
WDOU_C-B1_09	0.989770354309677	1536804	0.8977	3427	11846	0.0303055883842647	0.132510635358494	0.345134265226788	FALSE	TRUE
WDOU_C-B1_10	0.966267568974492	132594	0.7855	737	995	0.17286432160804	0.0279046981073596	0.0885122373534328	FALSE	FALSE
WDOU_C-B1_11	0.973613043236325	193562	0.7823	1329	1891	0.0333157059756742	0.0186145129867895	0.140362776949217	FALSE	FALSE
WDOU_C-B1_12	0.899933339681935	228849	0.7911	45	139	0.100719424460432	0.785703881319469	0.0578164918067685	FALSE	FALSE
WDOU_C-B1_13	0.987629367854211	1586482	0.9007	3422	14520	0.0324380165289256	0.184668731996304	0.345318886384681	FALSE	TRUE
WDOU_C-B1_14	0.894833453472583	252018	0.7545	44	56	0.267857142857143	0.964956135965351	0.0589256686318168	FALSE	FALSE
WDOU_C-B1_15	0.964686208359897	2254313	0.5132	3677	16401	0.0421925492348028	0.129695286067904	0.347195433710489	FALSE	FALSE
WDOU_C-B1_16	0.989188753130199	1643608	0.9082	2857	11514	0.0446413062358867	0.144587972298911	0.313258101294986	FALSE	TRUE
WDOU_C-B1_17	0.966726030384532	427515	0.7793	50	53	0.0188679245283019	0.873936825654435	0.0464032079911745	FALSE	FALSE
WDOU_C-B1_18	0.9871210325573	2274223	0.907	4268	26765	0.0208481225481039	0.0843992490707476	0.362774578214769	FALSE	TRUE
WDOU_C-B1_19	0.991779614921722	1773162	0.881	3264	16015	0.0443334374024352	0.154475944209164	0.337403671868586	FALSE	TRUE
WDOU_C-B1_20	0.804016955420898	31997	0.7659	198	916	0.776200873362445	0.0794455273987438	0.0713941363316197	FALSE	FALSE
WDOU_C-B1_21	0.993424443879075	1973464	0.8976	4240	18319	0.034445111632731	0.105176443653787	0.357511387459789	FALSE	TRUE
WDOU_C-B1_22	0.978021232114252	739296	0.8621	1389	10045	0.109706321553011	0.338454235113227	0.219197115379339	FALSE	FALSE
WDOU_C-B1_23	0.985690580341284	2601143	0.8936	4853	32750	0.0205801526717557	0.0659396639439719	0.367569522414177	FALSE	TRUE
WDOU_C-B1_24	0.989135109441137	468044	0.7616	357	1372	0.354956268221574	0.707251694614954	0.13605436406593	FALSE	FALSE
WDOU_C-B1_25	0.983083529227394	868736	0.8585	3295	9356	0.0778110303548525	0.0651489000681773	0.324049470453329	FALSE	TRUE
WDOU_C-B1_26	0.98980492502125	2340343	0.8848	5008	28179	0.0200149047162781	0.0471016415171595	0.368921195991239	FALSE	TRUE
WDOU_C-B1_27	0.992003856242988	2907455	0.8849	5604	47497	0.115523085668569	0.0593364313399217	0.357443043093097	FALSE	TRUE
WDOU_C-B1_28	0.536246783541351	206251	0.8235	1725	3171	0.0532954903815831	0.0904251763719336	0.271273677210257	FALSE	FALSE
WDOU_C-B1_29	0.977318090739253	558261	0.8153	207	958	0.562630480167015	0.712802067312294	0.118998405386744	FALSE	FALSE
WDOU_C-B1_30	0.975627034285518	1471465	0.8893	3077	12521	0.0293107579266832	0.105321568843517	0.323524746893343	FALSE	TRUE
WDOU_C-B1_31	0.891564309546421	1887940	0.8914	4405	21670	0.0478080295339179	0.0799154380934013	0.359883611710394	FALSE	FALSE
WDOU_C-B1_32	0.989365823096071	332030	0.7309	79	87	0.0229885057471264	0.93234378106156	0.0750447970760943	FALSE	FALSE
WDOU_C-B1_33	0.974986271959579	1789198	0.8982	4588	28560	0.0473739495798319	0.115135155880208	0.356558843455103	FALSE	TRUE
WDOU_C-B1_34	0.97320357673511	1443503	0.9057	3670	16258	0.0158076024111207	0.0950975896648657	0.353081253811957	FALSE	TRUE
WDOU_C-B1_35	0.911365884093429	373695	0.7473	447	1055	0.203791469194313	0.641060595482622	0.144307127937438	FALSE	FALSE
WDOU_C-B1_36	0.879286871961102	60623	0.8225	1003	1755	0.186324786324786	0.0403674311066675	0.171343810443232	FALSE	FALSE
WDOU_C-B1_37	0.9819267037896	932168	0.8896	2386	6611	0.0617153229466041	0.18629249463193	0.304193989985521	FALSE	TRUE
WDOU_C-B1_38	0.801476010913725	745155	0.4419	127	175	0.177142857142857	0.569629384247205	0.0666743088855697	FALSE	FALSE
WDOU_C-B1_39	0.988010476976215	1830289	0.9021	4895	27934	0.0164673874131882	0.0784453639508483	0.380336734851199	FALSE	TRUE
WDOU_C-B1_40	0.983779184258937	1350018	0.8922	3271	10845	0.0359612724757953	0.144185505501122	0.334517231431952	FALSE	TRUE
WDOU_C-B1_41	0.992511317239431	2560717	0.9042	5302	36435	0.021133525456292	0.0935585990721034	0.380753106700874	FALSE	TRUE
WDOU_C-B1_42	0.986100401759373	2219515	0.9021	4133	29732	0.0368626395802502	0.100461265289057	0.353143762190175	FALSE	TRUE
WDOU_C-B1_43	0.973822997266813	221077	0.8184	1368	5358	0.524262784621127	0.0534284549999139	0.211312748780179	FALSE	FALSE
WDOU_C-B1_44	0.984432969695195	1491730	0.8651	2396	7223	0.169043333794822	0.104902606930326	0.276348787742616	FALSE	FALSE
WDOU_C-B1_45	0.968754534831323	438181	0.8163	1834	3706	0.164867781975175	0.0392660262374395	0.196850870266806	FALSE	FALSE
WDOU_C-B1_46	0.982333366168289	1782333	0.874	4173	22462	0.185958507701897	0.0488218447047921	0.325549737800712	FALSE	FALSE
WDOU_C-B1_47	0.973396230213832	3418232	0.9116	5418	48885	0.017060447990181	0.0774141417108177	0.385735503949421	FALSE	TRUE
WDOU_C-B1_48	0.962016850235709	202694	0.8048	1136	1610	0.0739130434782609	0.0449463427776032	0.154622650023282	FALSE	FALSE
WDOU_C-B1_49	0.96677045100185	448160	0.6718	304	941	0.146652497343252	0.787675104574559	0.132430874912135	FALSE	FALSE
WDOU_C-B1_50	0.993817021960379	3116945	0.8619	4482	37498	0.247346525148008	0.0809652198706437	0.343910530249202	FALSE	FALSE
WDOU_C-B1_51	0.96035932819763	372927	0.799	810	2079	0.421837421837422	0.111991362678985	0.153222220163897	FALSE	FALSE
WDOU_C-B1_52	0.990495767066826	3772442	0.8995	6300	55982	0.0347254474652567	0.0246602118557776	0.387966549974424	FALSE	TRUE
WDOU_C-B1_53	0.983140235611319	1040272	0.8902	3476	12518	0.0273206582521169	0.138814415967492	0.342589902657261	FALSE	TRUE
WDOU_C-B1_54	0.891129469285516	339845	0.6559	126	687	0.765647743813683	0.684834660460554	0.0933050329035131	FALSE	FALSE
WDOU_C-B1_55	0.981563574495001	1806344	0.888	5443	32298	0.0247074122236671	0.0650861232254474	0.380765078376884	FALSE	TRUE
WDOU_C-B1_56	0.994532812588727	2830913	0.9159	4722	53690	0.0154777425963867	0.100731487229372	0.373673374930924	FALSE	TRUE
WDOU_C-B1_57	0.99044467297633	2801804	0.8849	5093	36607	0.0167454312016827	0.0702656887122906	0.365181959781244	FALSE	TRUE
WDOU_C-B1_58	0.987629103569562	2429951	0.8982	5069	34697	0.0338934201804191	0.0878457323703365	0.370774254480433	FALSE	TRUE
WDOU_C-B1_59	0.988444454322336	1376142	0.9	3361	10619	0.0274037103305396	0.10216995341924	0.339031840400914	FALSE	TRUE
WDOU_C-B1_60	0.990972186717112	1748454	0.876	2876	10325	0.0387409200968523	0.0983853274648929	0.321446035861054	FALSE	TRUE
WDOU_C-B1_61	0.988731746331293	3163916	0.8931	4879	31690	0.0212369832754812	0.0382992010878679	0.360905327983574	FALSE	TRUE
WDOU_C-B1_62	0.921072310560048	290178	0.8349	78	147	0.244897959183673	0.928929675777396	0.0737094130563864	FALSE	FALSE
WDOU_C-B1_63	0.974567349264312	2972549	0.8885	4724	28211	0.0482435929247457	0.0547332238637422	0.3245295914628	FALSE	TRUE
WDOU_C-B1_64	0.993283180370977	2901442	0.8958	4524	43452	0.100800883733775	0.0788289420254823	0.333860672207603	FALSE	TRUE
WDOU_C-B1_65	0.990457830315444	415342	0.7822	2553	4134	0.0745041122399613	0.00499539477050606	0.172646666633792	FALSE	TRUE
WDOU_C-B1_66	0.970790209927024	109606	0.8126	1020	1452	0.127410468319559	0.0101752336448598	0.140185760285595	FALSE	FALSE
WDOU_C-B1_67	0.982303144118898	1492770	0.8715	4656	21938	0.0331844288449266	0.0574172159292734	0.369286570330326	FALSE	TRUE
WDOU_C-B1_68	0.977134901603282	1125798	0.8803	2609	8524	0.0449319568277804	0.174565048651491	0.322257092372146	FALSE	TRUE
WDOU_C-B1_69	0.991787536712589	2494494	0.9041	4913	38404	0.0442922612227893	0.0619475552208581	0.357369192684088	FALSE	TRUE
WDOU_C-B1_70	0.951451182444955	114383	0.7788	584	1367	0.525237746891002	0.0361083835975125	0.0803227595203946	FALSE	FALSE
WDOU_C-B1_71	0.977371596752421	1956833	0.8443	2431	8697	0.14142807864781	0.0994540793621942	0.249108159533218	FALSE	TRUE
