cluster	gene	size	boundary	protein_coding	lncRNA	sncRNA	pseudogene	Ig/TCR	tf
SD1	RSL24D1	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	EIF2S3	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	CCNI	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	NAP1L1	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	ZFAS1	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	AC016739.2	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPLP1	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RGS10	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPS15A	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	KDELR1	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPS21	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPL10P9	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPL10P16	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPL10	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPS7P10	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPS7P11	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPS7	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPS7P1	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPL36	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPS2P46	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPS2P5	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPS2	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPS19	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	GLTSCR2	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPS10	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPLP0P6	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	CTB-63M22.1	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPLP0	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	HMGN2	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPS13	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPL35A	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	COMMD6	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPL17P50	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RPL17P36	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RP11-592N21.1	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
SD1	RP4-706A16.3	52	1:52	0.538461538461538	0.0192307692307692	0	0.442307692307692	0	0
