mdid	size	TF	PPI	GO	KEGG	class	avgCor_Small intestine.Fibro-COL14A1.14w	avgCor_Small intestine.Fibro-COL14A1.20w	avgCor_Small intestine.Fibro-COL6A5.20w	avgCor_Small intestine.SM-Visceral.20w	avgCor_Small intestine.T.20w	avgCor_Stomach.Fibro-ADAM28.14w	avgCor_Stomach.Fibro-ADAM28.20w	avgCor_Stomach.Fibro-FBLN1.14w	avgCor_Stomach.Fibro-FBLN1.20w	avgCor_Stomach.Fibro-IRF1.20w	avgExpr_Small intestine.Fibro-COL14A1.14w	avgExpr_Small intestine.Fibro-COL14A1.20w	avgExpr_Small intestine.Fibro-COL6A5.20w	avgExpr_Small intestine.SM-Visceral.20w	avgExpr_Small intestine.T.20w	avgExpr_Stomach.Fibro-ADAM28.14w	avgExpr_Stomach.Fibro-ADAM28.20w	avgExpr_Stomach.Fibro-FBLN1.14w	avgExpr_Stomach.Fibro-FBLN1.20w	avgExpr_Stomach.Fibro-IRF1.20w
SD113	23	TRUE	TRUE	TRUE	TRUE	Cell cycle	0.154108442034642	0.0898875397649765	0.158353624153661	0.0727868287899762	0.364577635108319	0.204487887184505	0.133649738239404	0.17344846365269	0.113761992223997	0.135504344449234	51.4712653270885	59.0743798000992	64.492032477896	64.5130615818844	113.795042701492	61.0246665065669	77.9379597409943	56.8412741223083	92.9180127604734	90.0579124379931
SD138	22	FALSE	TRUE	TRUE	TRUE	Cell cycle	0.123863594594711	0.0821840620677297	0.137836109750855	0.0668661641154638	0.414273098236749	0.149695710725619	0.117764582919938	0.177355562503157	0.106001962000311	0.119640818038391	27.2305174568169	23.0871192832064	27.1443641943607	25.935005940563	46.7812693125225	39.7388063167843	44.7178059394202	24.0428760964384	25.9819992219451	37.8586612876604
SD168	36	TRUE	TRUE	TRUE	FALSE	Cell cycle	0.047827166020346	0.144167721960147	0.173209417820932	0.189823030346188	0.05607742655329	0.0548739974904804	0.0902649959130428	0.124288908813075	0.21778910542617	0.108515006620129	281.265875927787	399.149190303642	370.335609277144	310.281896516841	402.584316079386	262.149201083931	257.902527786836	336.761896948733	427.7401105693	505.302448800305
SD6	44	TRUE	TRUE	TRUE	TRUE	Cell cycle	0.107043236961656	0.0564067961674464	0.080982304612812	0.0464512196300003	0.259110787766501	0.107998606872394	0.0709292718467169	0.107079915317432	0.0714840146748131	0.0761126114250888	74.4314941224199	74.2501853724149	68.9029448322555	77.3487020645309	104.141857908899	73.9535413402036	82.0585499152334	73.87653521537	91.3897121466842	87.3871420443033
SD24	19	TRUE	TRUE	TRUE	TRUE	Cell cycle	0.0886259408385998	0.0929168309561557	0.0807706736016217	0.050388998835511	0.207352953534838	0.106107324120601	0.0922652892519892	0.0965938823202543	0.0801195617934782	0.0828493847224973	40.8712414243797	36.7475326675765	41.33418051794	43.1768983222465	64.7192719568623	46.1777279810669	45.5182374195667	39.9218790689718	39.2463185606956	41.4816074901636
SD128	31	TRUE	TRUE	TRUE	TRUE	Cell cycle	0.0646786166304803	0.0476837596656447	0.0616600475752515	0.040068974419327	0.171982742981291	0.0857694787793355	0.0929425023408866	0.0694914100826493	0.0548962580590938	0.0516431630526124	40.8093315937993	34.6146081436584	39.7977392090804	39.3557411936718	77.900633645095	45.083616792874	46.3721028029397	39.4847720626308	41.888838139631	41.1106668960491
SD92	249	TRUE	TRUE	TRUE	TRUE	Cell cycle	0.0333984046474317	0.0312145662156641	0.0363101122749287	0.0249681153210907	0.275843377644674	0.0407304612466098	0.0308204790370472	0.0509890206263208	0.0410580169149823	0.0315860684148533	72.1572132093219	68.546462132028	73.9507010038775	74.2657659509253	101.618948476796	80.233879530225	80.8093097512916	66.7206252655237	70.2910083079692	83.5405802514158
SD130	18	FALSE	FALSE	TRUE	FALSE	Cell cycle	0.0139011229125668	0.0300649890522585	0.0438260780058498	0.0327644179553284	0.0699729331159859	0.0277932637192863	0.124719845370572	0.0377220708691715	0.0945632553232667	0.092711634673738	136.519391272151	180.407844548303	177.974816357463	163.683600784564	325.241217672408	137.171098775128	227.25047610699	134.802436024321	220.541861588312	255.520421824404
SD112	13	FALSE	TRUE	TRUE	TRUE	Cell cycle	0.0355958712133425	0.0311527014206434	0.0444960949045834	0.0251087308720282	0.16696299762174	0.0880483043713777	0.0153539338065502	0.0458521140570611	0.0392907767622072	0.0373027556672769	38.5667602644604	28.9497612183278	32.0758800736998	34.1269093783908	44.8410539760859	41.5093091480688	48.0903505255038	33.5102998710854	38.2268927641418	45.6148654345059
SD82	38	TRUE	FALSE	TRUE	FALSE	Cell cycle	0.0135387982198318	0.0225565205794854	0.0207101337649688	0.0216390881004901	0.10569667930932	0.0229187393617978	0.0237190661710772	0.0220310677532901	0.0278609591963875	0.0207026833256367	58.5849460736193	55.5349028262325	64.3716278362055	74.5611947489564	54.9441448935595	67.1639040620444	73.9424892819453	57.3353743458671	67.4097124977185	66.4106857643632
SD88	35	TRUE	FALSE	TRUE	TRUE	Cell cycle	0.0132439950154928	0.0254569993465612	0.0165106217142916	0.0165411344842918	0.116457908893004	0.0200724771852427	0.0140126602501742	0.0241459437027402	0.0277867396332257	0.0163695007119064	100.033430293912	83.954104479005	93.9915676965882	91.7336728383598	93.9395182178986	102.136451343653	96.0989978478212	95.0151397629573	88.5107203453184	86.6889273842042
SD90	27	TRUE	FALSE	TRUE	FALSE	Cell cycle	0.0135932768160832	0.0251740319780237	0.0148657583802697	0.0135911598673377	0.124339009211498	0.0109250000479682	0.0200957127773231	0.0207291221164124	0.0221870871075264	0.0160237502630283	48.8419475879283	40.7575766640467	43.1332683164262	47.4113407450118	42.5123661065351	52.3823436671192	47.9265573603022	44.399694325007	39.9402027389362	43.6133837972323
SD86	33	TRUE	FALSE	TRUE	FALSE	Cell cycle	0.0115824144740252	0.0211675716115134	0.0213924301567704	0.0184027735355032	0.100709958418053	0.0252891180928322	0.0134062329338076	0.0239444993858527	0.027555325798944	0.0153916220426986	48.5361216215806	43.789188804264	43.5061245681145	50.4248544971244	36.4059293261915	49.7969363093245	48.8356894109665	47.6389219639262	47.7709696052608	44.2598221592872
SD80	28	TRUE	FALSE	TRUE	FALSE	Cell cycle	0.0104104110858519	0.0169268534954235	0.0178783549018195	0.0153136625953517	0.0910362303351409	0.0149415036387998	0.0245415887413687	0.0148776085417777	0.0190442709904514	0.0126230280581561	58.3034422620671	56.0022934807066	59.7005822953599	60.6594759885192	49.2069993505928	62.3540506190911	66.222322483909	56.9049123098578	67.8183746540394	66.6546268041463
SD81	30	TRUE	TRUE	TRUE	FALSE	Cell cycle	0.00685214557906448	0.0188021155173069	0.016448873519028	0.0145065721843959	0.0946285196879978	0.0193524804259876	0.013912237433967	0.020561886185284	0.0220552582199632	0.00967251060163412	77.2505129808226	67.8403636717041	77.630146781189	86.303734122807	63.5642857081688	86.4520139133312	80.1283673783831	73.0555819895314	68.5919923931315	72.8919127062034
SD44	28	TRUE	TRUE	TRUE	TRUE	Development	0.0618222633834278	0.142565124754645	0.176064430388135	0.166654059366666	0.0710008371969236	0.0719854729809661	0.0827634280457459	0.1328563612112	0.161809852177275	0.0643729239892483	340.689479487296	508.127194845517	437.141264715417	401.448157923152	480.860813468983	313.039150200501	390.447947478191	390.656663693729	637.92453426702	694.766028042533
SD160	41	TRUE	TRUE	TRUE	TRUE	Development	0.0497796679632998	0.0824106368914797	0.0582684328315403	0.100340268543509	0.0245106360902462	0.125373073997922	0.0620842318872846	0.226768889563774	0.202447582634686	0.0803103508117008	222.25066688003	213.23338745838	317.573580575581	623.676382171007	25.1225744479182	458.738173535796	393.341033986263	327.846064530267	268.437674007155	319.714755954105
SD61	32	FALSE	TRUE	TRUE	TRUE	Development	0.0516875857066136	0.0889566649923698	0.0461878806216149	0.270318730197544	0.0405936133376396	0.04169828319264	0.0375259156703605	0.190674919163546	0.122666457086627	0.060900531051405	2716.78189623117	3025.10278811846	768.497520413607	896.364902914695	73.1597515212233	865.031915443633	723.219014448828	3132.67950048984	2620.81592873358	602.160951014083
SD150	57	TRUE	TRUE	TRUE	TRUE	Development	0.062683928301089	0.106539756418707	0.0295236788332694	0.10717704364946	0.0320899363678447	0.029698528629805	0.0363348050421142	0.249430976063153	0.214536485773522	0.0424660195852651	1546.76952191359	1735.29346616143	493.443897365178	537.067554924512	39.7312260382544	541.498389717213	480.899988400356	1952.61271386659	1627.31502271367	408.399852837329
SD182	30	FALSE	TRUE	TRUE	TRUE	Development	0.0450729761106263	0.0410737550201058	0.102927455307208	0.0294196846122261	0.0217793877876222	0.22324036790124	0.124183718671952	0.0425090006873388	0.0797906980870318	0.186455046281657	353.519340143495	376.868514895685	296.642321909952	447.682186289313	10.0811387037084	413.853904746503	362.427868078197	635.094896020206	567.985499962718	288.348114272633
SD5	39	TRUE	TRUE	TRUE	TRUE	Development	0.278073967052363	0.242301891016341	0.0109837144451334	0.044843566655559	0.0370458300568782	0.0112815103067425	0.00955509196030463	0.0862646806284444	0.0450093251473523	0.0171109615977674	1865.63275766471	2170.82481351928	525.290265451014	559.782636400582	24.1543664515157	635.279674765215	556.161635170475	2104.55769359917	1815.65394897271	448.182646004469
SD136	102	TRUE	TRUE	TRUE	TRUE	Development	0.0424510585228186	0.0596552192870752	0.0195284524757268	0.071134571126672	0.0227368589477874	0.0193114195762176	0.0229561045617428	0.233081177024425	0.13605724636254	0.0241966963633076	1020.06805743021	1145.19943875332	347.619144054314	368.517414419304	46.8337283083174	377.792036366047	346.139885893929	1264.71980272198	1090.26852210357	290.813677226672
SD117	81	TRUE	TRUE	TRUE	TRUE	Development	0.01177390289356	0.0292243838126135	0.0435292759882929	0.0488580541983625	0.014773044328876	0.207123452399202	0.064590465985849	0.0676778083390966	0.0614823633717433	0.0923852589998641	225.200390860094	226.271738921502	196.006399805266	410.227491997248	22.9002992958165	224.178627305328	203.005052640546	314.91998048455	267.763856277636	164.444621869819
SD124	36	TRUE	TRUE	TRUE	TRUE	Development	0.0427267401316733	0.0627457671070954	0.0686404467564769	0.0511628304373015	0.0284281480210616	0.07973093422244	0.120797674175781	0.049771062598126	0.0470447428255966	0.0895523240697423	1965.46317102215	2260.51330862328	742.708582365577	749.972023706786	26.3099861419783	727.036131543783	614.57458618611	2373.50784899647	1983.75678951634	488.641677705956
SD167	25	FALSE	TRUE	TRUE	TRUE	Development	0.0297736001495307	0.0496779515275293	0.0442604367527238	0.0714498893654502	0.0362539410267495	0.0849653301016277	0.100818059390763	0.025210169380045	0.0421815394510771	0.146906367394225	2701.61011293839	3115.01683488336	909.33936090749	922.956928542981	149.071387665505	1107.15741142817	983.024556013507	3213.72778164387	2705.26489347765	793.175715056358
SD183	15	FALSE	FALSE	TRUE	FALSE	Development	0.0183058141259309	0.044518121367349	0.0927890681504076	0.047987780138368	0.0150587761146992	0.113161673353747	0.083143542059833	0.0194508593034364	0.0545681851517891	0.1417012352463	681.696653715459	619.65156053146	337.089288035684	436.276455189588	53.294806809063	394.578183680588	323.789611936127	694.388456211709	520.254616192203	278.208897287694
SD142	106	TRUE	TRUE	TRUE	TRUE	Development	0.037452177012878	0.0464653512884738	0.031463869124574	0.0686361026111301	0.0135980499557964	0.0602371789281925	0.0343755928904947	0.186792338803855	0.104103211440626	0.0398060716446345	172.814865731207	161.290672892661	256.707686652455	385.620669291346	40.2021019642105	310.070090065556	267.607810893126	204.135004947259	176.782610704334	218.934598871739
SD21	41	FALSE	FALSE	TRUE	TRUE	Development	0.118739167679651	0.19058463851888	0.0311491267125119	0.047385002299786	0.00995938068131445	0.00815703187293704	0.0229902492739564	0.0450571152583736	0.0650917487976404	0.0412276644805152	419.352168167122	403.850919663661	308.501128751049	380.493323048879	47.2019045734357	329.071408347783	273.120076628134	373.068479045291	298.72809890709	238.171393449616
SD176	14	TRUE	FALSE	TRUE	FALSE	Development	-0.00193814046574074	0.0318955717473306	0.117002006277101	0.0233874663379409	0.0164743155174938	0.114375114410737	0.0886454889967515	0.0185579617870397	0.0254849948135726	0.143000058591319	105.541332175167	75.8070880846793	251.834293670338	90.8029676404047	39.1643817433799	246.90915753939	229.207394170416	87.0241449724035	58.9687723948621	184.801695869851
SD41	17	TRUE	FALSE	TRUE	TRUE	Development	0.0129688722389	0.0762561835744407	0.113114395649321	0.0978961501865961	0.044409604353334	0.0229524870729353	0.0257764366928458	0.0607393879833168	0.0702097279899293	0.0487833510530885	69.7479532082844	90.1675358485769	106.796385428572	97.2302915136427	127.625916498747	83.7185735057679	97.0442305306636	75.8018779460496	99.701382628078	150.504409806521
SD106	76	TRUE	TRUE	TRUE	TRUE	Development	0.0099201298889824	0.0159144812736047	0.0664424761477604	0.029460758658068	0.0144647736167088	0.194129200432584	0.0972227823752953	0.00950198644434879	0.0164569961016561	0.117968244565269	194.352498936275	187.037432544868	272.253796364806	146.989570071362	25.4354973063502	393.162052240881	393.206359372934	198.950129295039	144.177874795451	317.025664195778
SD173	30	TRUE	TRUE	TRUE	TRUE	Development	-0.00263643360714926	0.0240595459656366	0.0557124048009219	0.0382290414875943	0.00762173036199227	0.152309744282004	0.0989846685057207	0.0110244609190707	0.0187264075724144	0.157335837213919	102.674527083884	93.0820276430456	198.832056703419	106.712014770447	13.6371667273672	288.134083462757	319.709266030557	104.194235973735	90.9900855064676	245.624362229632
SD38	53	FALSE	TRUE	TRUE	TRUE	Development	0.0258177421452287	0.0340753452842089	0.150754365181654	0.038873661132816	0.0304046310647555	0.0822538396942341	0.060013401069524	0.0145136993703624	0.0293038172456315	0.0838401039989458	425.836228276129	390.192314451146	410.635210876529	425.954640630882	16.5448045296735	315.399348708924	274.742245502874	440.854151877352	357.978566197505	224.874352822923
SD10	40	TRUE	FALSE	TRUE	TRUE	Development	0.197949338673558	0.100005492336423	0.0291195547151923	0.0379422344100949	0.0136657275172277	0.0163414662210288	0.0143057842499828	0.0497846593648737	0.0475133451408487	0.0263120549176433	234.657214342696	188.062252998537	313.007749212251	393.845968748861	36.7689024480944	325.027021223817	330.408595788657	248.960694077173	239.533784838291	271.763564594504
SD47	45	TRUE	TRUE	TRUE	FALSE	Development	0.0334391512827471	0.0300736640574475	0.0335988799833206	0.217948635286434	0.0207478470671725	0.0350766837127788	0.0261159657072017	0.0471301123492779	0.0347473502012256	0.0290836056058249	69.5436901378174	58.2355812234299	442.561484233243	152.788925545196	20.7586876478177	247.287199142608	233.268387655885	54.2990089078259	48.2420910195493	178.648396109728
SD115	25	FALSE	FALSE	TRUE	FALSE	Development	0.0295156933663501	0.0327511793831989	0.0644167934377905	0.0377723382931412	0.0181085330520174	0.133488918817762	0.0481957755772871	0.0158884549500413	0.0299543072070616	0.081901118830832	568.697322237902	520.512578540497	252.260488885628	372.364833874225	49.8210204017075	279.686969461814	211.652093118303	669.821284169416	554.505567322562	186.126474255441
SD36	41	TRUE	TRUE	TRUE	TRUE	Development	0.00678535793148416	0.0107010012314569	0.18081849111701	0.0499438418119348	0.015022698257224	0.0743165441126622	0.0548816305141421	0.00567129988473223	0.0132708199814652	0.0658058761618406	110.39277226404	102.401075484997	278.437297644187	107.936143104901	31.4592722806105	207.180653320307	204.904157829392	100.663961373638	93.0259044543393	159.650225219685
SD133	38	TRUE	TRUE	TRUE	TRUE	Development	0.012717882683699	0.0198676239879962	0.0630084391829636	0.0194567575103803	0.00487480923363345	0.140470837593248	0.101760570822434	0.00381428927098413	0.0118056495575817	0.0952265805872799	182.524765192089	169.411588589906	226.919094296761	134.972778524114	48.3685489506552	289.23440621586	284.990860261954	234.761575461234	166.809686131953	236.900286721251
SD22	110	TRUE	TRUE	TRUE	TRUE	Development	0.0993812060535661	0.182370965146203	0.0109778211356287	0.0313999245686433	0.0212103816178913	0.0101375429076473	0.0110678047707775	0.0418954360700476	0.0338112016045123	0.0154493207552273	794.847955495763	911.333875825816	263.683460846023	293.544652180576	20.9247508097599	301.525506037877	271.616159796655	891.965546706518	764.152154832953	222.926819094199
SD8	48	FALSE	TRUE	TRUE	FALSE	Development	0.123543651506667	0.0754075786555752	0.0258819086008395	0.035682088228292	0.018490829594327	0.0176062445510753	0.0199309416725817	0.0306651693603343	0.03992974766321	0.0320013375928061	525.569447222761	473.051892814938	365.482838896119	356.401718872742	40.4561136079804	360.276304047874	292.551498901742	525.596461075725	363.926886140501	247.385964991695
SD57	38	TRUE	TRUE	TRUE	TRUE	Development	0.0132212300507373	0.0289739263551862	0.0304857837876964	0.118395569844219	0.0128922728349724	0.058572210511717	0.0192318995109438	0.0288681746991495	0.0482843515783326	0.0270351266788238	228.793738691713	240.208944198063	271.73788102664	509.302405961122	43.9464431306119	307.443312428501	323.067133134931	320.5028479663	313.267263217099	268.77202933397
SD20	15	FALSE	FALSE	TRUE	TRUE	Development	0.0243921918624737	0.104731029347562	0.0259968488067285	0.038798819318097	0.0242428026057927	0.016826764896426	0.0398156534499574	0.0243716160533064	0.0320118326221818	0.0366633202279543	355.180613495862	347.47386974794	211.47351354683	241.524256733602	81.7779787425463	230.160146290689	189.083493916031	248.356288033079	199.425209369959	173.211170404998
SD9	22	TRUE	FALSE	TRUE	FALSE	Development	0.12087027063438	0.0916017252619837	0.0252941080435193	0.0180604251642769	0.00341939058009612	0.00533605815121972	0.0150960174796051	0.0259501131604246	0.0218007872470103	0.00705545317209529	176.476382733312	200.752572918521	240.027548597448	294.979875702655	27.7127804699381	207.425779243825	180.635652218209	187.569087251278	187.332851346364	206.93359427839
SD105	18	TRUE	FALSE	TRUE	FALSE	Development	0.000533321595974868	0.0134040669840671	0.0351546745220623	0.0174248635870416	0.000435839801822207	0.114741921676747	0.0462338507334348	0.0187514517732441	0.0170102392455916	0.0623147933124112	119.407109333444	97.8705925168149	146.164261776267	82.8695205444135	39.5217224855586	145.069601592782	142.518129357032	89.0686751177009	85.0247244078979	121.02830921458
SD141	12	FALSE	FALSE	TRUE	FALSE	Development	0.0263651265004258	0.0486530342339037	0.0237811924655621	0.0337565281940926	-0.0196835753613309	0.0226437747319037	0.0258972574404755	0.0905906484898084	0.0300035828180109	0.0270900117096332	54.7839494094544	59.8263556745416	75.7146776657248	107.483079927854	72.0235695096837	148.0380374982	148.761309375998	68.5701729434487	61.947502485547	126.173799139121
