tissue	ident	color	description	group
esophagus	Epi	#F8766D	Epithelial cells	Epithelial
esophagus	Endo	#DB8E00	Endothelial cells	Endothelial
esophagus	SM	#AEA200	Smooth muscle cells	Smooth muscle
esophagus	Fibro-LRRC17	#64B200	Fibroblasts with the high expression of LRRC17	Fibroblast
esophagus	Fibro-PLPPR4	#00BD5C	Fibroblasts with the high expression of PLPPR4	Fibroblast
esophagus	Fibro-C7	#00C1A7	Fibroblasts with the high expression of C7	Fibroblast
esophagus	Fibro-Prol	#00BADE	Fibroblasts (Proliferative)	Fibroblast
esophagus	Glial	#00A6FF	Glial cells	Glial
esophagus	Immune	#B385FF	Immune cells	Immune
esophagus	MSC	#EF67EB	Mesenchymal stem cells	MSC
esophagus	Erythrocyte	#FF63B6	Erythrocytes	Erythrocyte
stomach	Epi	#F8766D	Epithelial cells	Epithelial
stomach	Endo	#E9842C	Endothelial cells	Endothelial
stomach	SM-Visceral	#D69100	Smooth muscle cells (Visceral)	Smooth muscle
stomach	SM-Vascular	#BC9D00	Smooth muscle cells (Vascular)	Smooth muscle
stomach	Fibro-KCNJ8	#9CA700	Fibroblasts with the high expression of KCNJ8	Fibroblast
stomach	Fibro-ADAM28	#6FB000	Fibroblasts with the high expression of ADAM28	Fibroblast
stomach	Fibro-IRF1	#00B813	Fibroblasts with the high expression of IRF1	Fibroblast
stomach	Fibro-VSTM2A	#00BD61	Fibroblasts with the high expression of VSTM2A	Fibroblast
stomach	Fibro-FBLN1	#00C08E	Fibroblasts with the high expression of FBLN1	Fibroblast
stomach	Fibro-NRK	#00C0B4	Fibroblasts with the high expression of NRK	Fibroblast
stomach	Fibro-KIT	#CAFF70	Fibroblasts with the high expression of KIT	Fibroblast
stomach	Fibro-PRSS35	#00BDD4	Fibroblasts with the high expression of PRSS35	Fibroblast
stomach	Fibro-Prol	#00B5EE	Fibroblasts (Proliferative)	Fibroblast
stomach	Glial	#00A7FF	Glial cells	Glial
stomach	B	#7F96FF	B cells	B
stomach	DC/Macro	#BC81FF	Dendritic cells / Macrophages	DC/Macrophage
stomach	T	#E26EF7	T cells	T
stomach	CACNA1A-ELF3+	#F863DF	CACNA1A+ cells with the high expression of ELF3	CACNA1A
stomach	CACNA1A-ELF3-	#FF62BF	CACNA1A+ cells with the low expression of ELF3	CACNA1A
stomach	Erythrocyte	#FF6A9A	Erythrocytes	Erythrocyte
stomach	Unknown	#B3B3B3	Unknown	Unknown
small intestine	Epi	#F8766D	Epithelial cells	Epithelial
small intestine	Endo	#E9842C	Endothelial cells	Endothelial
small intestine	SM-Visceral	#D69100	Smooth muscle cells (Visceral)	Smooth muscle
small intestine	SM-Vascular	#BC9D00	Smooth muscle cells (Vascular)	Smooth muscle
small intestine	Fibro-COL14A1	#9CA700	Fibroblasts with the high expression of COL14A1	Fibroblast
small intestine	Fibro-GPC3	#6FB000	Fibroblasts with the high expression of GPC3	Fibroblast
small intestine	Fibro-VCAM1	#00B813	Fibroblasts with the high expression of VCAM1	Fibroblast
small intestine	Fibro-KCNN3	#00BD61	Fibroblasts with the high expression of KCNN3	Fibroblast
small intestine	Fibro-COL6A5	#00C08E	Fibroblasts with the high expression of COL6A5	Fibroblast
small intestine	Fibro-SCARA5	#CAFF70	Fibroblasts with the high expression of SCARA5	Fibroblast
small intestine	Fibro-CXCL14	#00C0B4	Fibroblasts with the high expression of CXCL14	Fibroblast
small intestine	Fibro-ZEB1	#00BDD4	Fibroblasts with the high expression of ZEB1	Fibroblast
small intestine	Fibro-Prol	#00B5EE	Fibroblasts (Proliferative)	Fibroblast
small intestine	Glial	#00A7FF	Glial cells	Glial
small intestine	B	#7F96FF	B cells	B
small intestine	DC/Macro	#BC81FF	Dendritic cells / Macrophages	DC/Macrophage
small intestine	T	#E26EF7	T cells	T
small intestine	T-Prog	#F863DF	T cells (Progenitor)	T
small intestine	CACNA1A	#FF62BF	CACNA1A+ cells	CACNA1A
small intestine	Erythrocyte	#FF6A9A	Erythrocytes	Erythrocyte
small intestine	Unknown	#B3B3B3	Unknown	Unknown
large intestine	Epi	#F8766D	Epithelial cells	Epithelial
large intestine	Endo	#E58700	Endothelial cells	Endothelial
large intestine	SM-Visceral	#C99800	Smooth muscle cells (Visceral)	Smooth muscle
large intestine	SM-Vascular	#A3A500	Smooth muscle cells (Vascular)	Smooth muscle
large intestine	Fibro-VCAN	#6BB100	Fibroblasts with the high expression of VCAN	Fibroblast
large intestine	Fibro-DPT	#00BA38	Fibroblasts with the high expression of DPT	Fibroblast
large intestine	Fibro-ADAMDEC1	#00BF7D	Fibroblasts with the high expression of ADAMDEC1	Fibroblast
large intestine	Fibro-BMP5	#00C0AF	Fibroblasts with the high expression of BMP5	Fibroblast
large intestine	Fibro-Prol	#00BCD8	Fibroblasts (Proliferative)	Fibroblast
large intestine	Glial	#00B0F6	Glial cells	Glial
large intestine	DC/Macro	#619CFF	Dendritic cells / Macrophages	DC/Macrophage
large intestine	Mast	#B983FF	Mast cells	Mast
large intestine	T	#E76BF3	T cells	T
large intestine	CACNA1A	#FD61D1	CACNA1A+ cells	CACNA1A
large intestine	Erythrocyte	#FF67A4	Erythrocytes	Erythrocyte
pancreas	Epi-CADPS	#F8766D	Epithelial cells with the high expression of CADPS	Epithelial
pancreas	Epi-SPINK1	#E9842C	Epithelial cells with the high expression of SPINK1	Epithelial
pancreas	Endo-FLT1	#D69100	Endothelial cells with the high expression of FLT1	Endothelial
pancreas	Endo-NTS	#BC9D00	Endothelial cells with the high expression of NTS	Endothelial
pancreas	SM	#9CA700	Smooth muscle cells	Smooth muscle
