cluster	gene	size	boundary	protein_coding	lncRNA	sncRNA	pseudogene	Ig/TCR	tf
SD1	MSC-AS1	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	NCALD	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	CBLN2	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	SYNPO	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	CRISPLD1	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	NCAM1	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	SLC9A3R1	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	LDHA	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	MYO16	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	SH3BP4	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	ELN	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	CAMK2N1	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	ADRB3	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	UNC5C	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	IGFBP4	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	DPYSL3	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	SMTNL2	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	SERF1A	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	VAV3	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	HOXC4	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	CDH9	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	TPBG	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	CNTN4	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	PI15	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	MARCKS	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	COL24A1	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
SD1	PDZRN3	38	1:38	0.973684210526316	0.0263157894736842	0	0	0	0.0263157894736842
