ENSG00000223972.5	ENSG000002239725	DDX11L1
ENSG00000227232.5	ENSG000002272325	WASH7P
ENSG00000278267.1	ENSG000002782671	MIR6859-1
ENSG00000243485.5	ENSG000002434855	MIR1302-2HG
ENSG00000284332.1	ENSG000002843321	MIR1302-2
ENSG00000237613.2	ENSG000002376132	FAM138A
ENSG00000268020.3	ENSG000002680203	OR4G4P
ENSG00000240361.1	ENSG000002403611	OR4G11P
ENSG00000186092.4	ENSG000001860924	OR4F5
ENSG00000238009.6	ENSG000002380096	RP11-34P13.7
ENSG00000239945.1	ENSG000002399451	RP11-34P13.8
ENSG00000233750.3	ENSG000002337503	CICP27
ENSG00000268903.1	ENSG000002689031	RP11-34P13.15
ENSG00000269981.1	ENSG000002699811	RP11-34P13.16
ENSG00000239906.1	ENSG000002399061	RP11-34P13.14
ENSG00000241860.6	ENSG000002418606	RP11-34P13.13
ENSG00000222623.1	ENSG000002226231	RNU6-1100P
ENSG00000241599.1	ENSG000002415991	RP11-34P13.9
ENSG00000279928.2	ENSG000002799282	ABC7-43046700E7.1
ENSG00000279457.4	ENSG000002794574	RP11-34P13.18
ENSG00000273874.1	ENSG000002738741	MIR6859-2
ENSG00000228463.9	ENSG000002284639	AP006222.2
ENSG00000241670.3	ENSG000002416703	RPL23AP21
ENSG00000236679.2	ENSG000002366792	RPL23AP24
ENSG00000236743.1	ENSG000002367431	RP5-857K21.15
ENSG00000236601.2	ENSG000002366012	RP4-669L17.2
ENSG00000237094.11	ENSG0000023709411	RP4-669L17.10
ENSG00000269732.1	ENSG000002697321	WBP1LP7
ENSG00000278566.1	ENSG000002785661	OR4F29
ENSG00000224813.3	ENSG000002248133	SEPT14P13
ENSG00000233653.3	ENSG000002336533	CICP7
ENSG00000250575.1	ENSG000002505751	RP4-669L17.8
ENSG00000278757.1	ENSG000002787571	U6
ENSG00000230021.8	ENSG000002300218	RP5-857K21.4
ENSG00000235146.2	ENSG000002351462	RP5-857K21.2
ENSG00000225972.1	ENSG000002259721	MTND1P23
