	CD34+	CD56+ NK	CD4+/CD45RA+/CD25- Naive T	CD4+/CD25 T Reg	CD8+/CD45RA+ Naive Cytotoxic	CD4+/CD45RO+ Memory	CD8+ Cytotoxic T	CD19+ B	CD4+ T Helper2	CD14+ Monocyte	Dendritic
ENSG00000239945	    0.06964	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.14191	    0.06457	    0.5464	    2.443
ENSG00000237683	    0.48748	    0.59327	    0.62119	    0.23110	    0.38796	    0.92676	    0.84869	    1.27718	    0.25828	   13.6589	    4.885
ENSG00000228463	    0.13928	    0.22248	    0.07765	    0.07703	    0.11085	    0.06178	    0.06062	    0.21286	    0.06457	    0.5464	    2.443
ENSG00000235373	    0.03482	    0.07416	    0.15530	    0.07703	    0.11085	    0.06178	    0.06062	    0.07095	    0.19371	    0.5464	    2.443
ENSG00000228327	    0.66158	    5.63606	    0.54354	    0.69329	    0.38796	    0.74141	    1.33366	    0.70955	    0.64570	    1.6391	    2.443
ENSG00000237491	    0.62676	    0.66743	    0.77649	    0.84735	    0.44338	    0.74141	    0.36373	    0.56764	    0.51656	    1.6391	    2.443
ENSG00000225880	    1.42762	    6.45180	    5.20247	    8.31948	    4.15672	    3.89238	    5.03154	    6.59878	    3.80964	    8.7417	    4.885
ENSG00000230368	    0.13928	    0.66743	    0.15530	    0.30813	    0.16627	    0.24714	    0.24248	    0.70955	    0.12914	    0.5464	    2.443
ENSG00000187634	    0.13928	    0.14832	    0.15530	    0.07703	    0.11085	    0.12357	    0.18186	    0.14191	    0.32285	    0.5464	    2.443
ENSG00000188976	   30.18888	   37.82092	   45.34689	   41.21225	   30.20552	   34.22820	   34.97829	   36.18684	   42.16437	   37.1522	   61.068
ENSG00000187961	    0.13928	    1.48317	    1.39768	    1.84877	    1.38557	    0.74141	    1.27304	    0.85145	    0.83941	    2.7318	    2.443
ENSG00000187583	    0.06964	    0.51911	    0.31060	    1.23252	    0.22169	    0.55605	    0.54559	    0.21286	    0.71027	    0.5464	    2.443
ENSG00000272512	    0.06964	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    1.0927	    2.443
ENSG00000188290	    2.26330	    1.11238	    2.40711	    1.69471	    0.22169	    0.98854	    1.03056	    1.63196	    0.58113	   42.0694	    4.885
ENSG00000224969	    0.03482	    0.14832	    0.23295	    0.15406	    0.22169	    0.18535	    0.06062	    0.14191	    0.12914	    0.5464	    2.443
ENSG00000187608	   62.67588	  199.56098	  115.69669	  175.17132	  133.23685	  194.98955	  135.48782	  110.47628	  136.24322	  352.3991	  141.678
