symbol	ensembl	ensembl_short
DDX11L1	ENSG00000223972.5	ENSG00000223972
WASH7P	ENSG00000227232.5	ENSG00000227232
MIR6859-1	ENSG00000278267.1	ENSG00000278267
MIR1302-2HG	ENSG00000243485.5	ENSG00000243485
MIR1302-2	ENSG00000284332.1	ENSG00000284332
FAM138A	ENSG00000237613.2	ENSG00000237613
OR4G4P	ENSG00000268020.3	ENSG00000268020
OR4G11P	ENSG00000240361.1	ENSG00000240361
OR4F5	ENSG00000186092.4	ENSG00000186092
RP11-34P13.7	ENSG00000238009.6	ENSG00000238009
RP11-34P13.8	ENSG00000239945.1	ENSG00000239945
CICP27	ENSG00000233750.3	ENSG00000233750
RP11-34P13.15	ENSG00000268903.1	ENSG00000268903
RP11-34P13.16	ENSG00000269981.1	ENSG00000269981
RP11-34P13.14	ENSG00000239906.1	ENSG00000239906
RP11-34P13.13	ENSG00000241860.6	ENSG00000241860
RNU6-1100P	ENSG00000222623.1	ENSG00000222623
RP11-34P13.9	ENSG00000241599.1	ENSG00000241599
ABC7-43046700E7.1	ENSG00000279928.2	ENSG00000279928
RP11-34P13.18	ENSG00000279457.4	ENSG00000279457
MIR6859-2	ENSG00000273874.1	ENSG00000273874
AP006222.2	ENSG00000228463.9	ENSG00000228463
RPL23AP21	ENSG00000241670.3	ENSG00000241670
RPL23AP24	ENSG00000236679.2	ENSG00000236679
RP5-857K21.15	ENSG00000236743.1	ENSG00000236743
RP4-669L17.2	ENSG00000236601.2	ENSG00000236601
RP4-669L17.10	ENSG00000237094.11	ENSG00000237094
WBP1LP7	ENSG00000269732.1	ENSG00000269732
OR4F29	ENSG00000278566.1	ENSG00000278566
SEPT14P13	ENSG00000224813.3	ENSG00000224813
CICP7	ENSG00000233653.3	ENSG00000233653
RP4-669L17.8	ENSG00000250575.1	ENSG00000250575
U6--1	ENSG00000278757.1	ENSG00000278757
RP5-857K21.4	ENSG00000230021.8	ENSG00000230021
RP5-857K21.2	ENSG00000235146.2	ENSG00000235146
MTND1P23	ENSG00000225972.1	ENSG00000225972
MTND2P28	ENSG00000225630.1	ENSG00000225630
MTCO1P12	ENSG00000237973.1	ENSG00000237973
MIR6723	ENSG00000278791.1	ENSG00000278791
MTCO2P12	ENSG00000229344.1	ENSG00000229344
MTATP8P1	ENSG00000240409.1	ENSG00000240409
MTATP6P1	ENSG00000248527.1	ENSG00000248527
MTCO3P12	ENSG00000198744.5	ENSG00000198744
WBP1LP6	ENSG00000268663.1	ENSG00000268663
OR4F16	ENSG00000273547.1	ENSG00000273547
RP11-206L10.17	ENSG00000283574.1	ENSG00000283574
CICP3	ENSG00000229376.3	ENSG00000229376
RP11-206L10.2	ENSG00000228327.3	ENSG00000228327
RNU6-1199P	ENSG00000223181.1	ENSG00000223181
RP11-206L10.4	ENSG00000229905.1	ENSG00000229905
RP11-206L10.9	ENSG00000237491.8	ENSG00000237491
RP11-206L10.8	ENSG00000230092.7	ENSG00000230092
FAM87B	ENSG00000177757.2	ENSG00000177757
LINC01128	ENSG00000228794.8	ENSG00000228794
LINC00115	ENSG00000225880.5	ENSG00000225880
FAM41C	ENSG00000230368.2	ENSG00000230368
TUBB8P11	ENSG00000234711.1	ENSG00000234711
FAM166AP3	ENSG00000283040.1	ENSG00000283040
RP11-54O7.16	ENSG00000272438.1	ENSG00000272438
RP11-54O7.1	ENSG00000230699.2	ENSG00000230699
RP11-54O7.2	ENSG00000241180.1	ENSG00000241180
RP11-54O7.3	ENSG00000223764.2	ENSG00000223764
SAMD11	ENSG00000187634.11	ENSG00000187634
NOC2L	ENSG00000188976.10	ENSG00000188976
