('test/test_R1.fastq.gz', 'test/test_R2.fastq.gz', 'test/barcode2sample.txt', 'cleanFq2', '2', '131')
Total	25000
----------------------------------------
State	Barcode_noMm	Barcode	PrimerA	PrimerB	UMI_noMm	UMI	QC
Pass	7414	16896	6557	899	8692	7424	7424
Fail	17586	8104	-	-	8204	9472	0
----------------------------------------
human_test_1	109	247	84	20	120	98	98
human_test_2	93	236	109	14	141	119	119
human_test_3	4	8	1		1	1	1
human_test_4	89	188	73	1	85	81	81
human_test_5	59	149	64	5	78	71	71
human_test_6	85	175	74	9	96	83	83
human_test_7	5	17	7	1	9	7	7
human_test_8	50	103	36	8	51	42	42
human_test_9	127	260	108	21	151	122	122
human_test_10	150	354	153	32	224	181	181
human_test_11	4	14	4		4	4	4
human_test_12	119	276	124		145	139	139
human_test_13	111	281	125	15	169	148	148
human_test_14	125	247	112	13	139	122	122
human_test_15	95	223	100	7	123	114	114
human_test_16	52	139	51	8	69	58	58
human_test_17	106	252	57	10	78	61	61
human_test_18	15	24	3		3	3	3
human_test_19	39	103	26	3	35	32	32
human_test_20	69	168	27		28	28	28
human_test_21	83	182	43	5	64	54	54
human_test_22	56	154	28	8	44	36	36
human_test_23	97	207	54	4	69	61	61
human_test_24	3	9	1		1	1	1
human_test_25	97	214	97	16	134	112	112
human_test_26	7	22	8	3	13	10	10
human_test_27	71	151	77	9	103	89	89
human_test_28	79	190	90	4	111	104	104
human_test_29	9	15	4	1	7	4	4
human_test_30	80	196	96	18	128	107	107
human_test_31	104	228	119	14	151	132	132
human_test_32	62	146	67	18	94	73	73
human_test_33	71	187	32	10	49	37	37
human_test_34	94	211	51	6	66	57	57
human_test_35	47	123	27	4	37	32	32
human_test_36	66	163	14	1	17	16	16
human_test_37	99	220	48	5	62	55	55
human_test_38	56	142	20	6	33	25	25
human_test_39	72	164	24	3	35	29	29
human_test_40	36	86	16	1	18	17	17
human_test_41	165	348	118	25	166	132	132
human_test_42	7	24	3	1	8	7	7
human_test_43	5	13	6		7	6	6
human_test_44	125	303	104	10	133	119	119
human_test_45	60	153	63	9	83	73	73
human_test_46	75	151	62	3	82	76	76
human_test_47	8	23	7	1	10	9	9
human_test_48	3	13	4		4	4	4
human_test_49	8	20	8	2	10	8	8
human_test_50	8	19	8	1	10	9	9
human_test_51	187	441	236	17	289	266	266
human_test_52	101	237	117	5	133	126	126
human_test_53	88	204	106	16	133	110	110
human_test_54	98	222	98	14	132	113	113
human_test_55	199	399	209	23	271	236	236
human_test_56	66	160	77	8	100	89	89
human_test_57	84	193	84	8	116	99	99
human_test_58	171	362	157	30	225	180	180
human_test_59	12	34	9	1	13	12	12
human_test_60	101	237	100	3	122	112	112
human_test_61	21	50	13	4	17	13	13
human_test_62	4	17		1	1		
human_test_63	123	271	130	13	167	145	145
human_test_64	7	14	5	1	6	5	5
human_test_65	98	231	50	14	79	57	57
human_test_66	102	225	64	16	97	77	77
human_test_67	99	219	70	11	95	79	79
human_test_68	80	205	51	1	63	59	59
human_test_69	116	246	79	16	107	90	90
human_test_70	68	173	48	2	58	51	51
human_test_71	79	221	70	16	100	82	82
human_test_72	59	152	41	7	55	45	45
human_test_73	117	244	121	21	166	138	138
human_test_74	131	313	163	28	225	183	183
human_test_75	94	202	95	14	125	106	106
human_test_76	14	27	11		13	12	12
human_test_77	73	162	74	13	99	85	85
human_test_78	54	114	38	13	63	43	43
human_test_79	173	367	198	19	239	218	218
human_test_80	74	181	82	13	106	88	88
human_test_81	145	279	113	22	160	128	128
human_test_82	9	26	5	2	10	7	7
human_test_83	155	322	146	12	190	173	173
human_test_84	122	253	110	5	131	121	121
human_test_85	106	277	110	16	156	129	129
human_test_86	70	150	54	12	74	56	56
human_test_87	155	329	160	21	204	175	175
human_test_88	66	159	72	11	99	84	84
human_test_89	146	312	123	20	171	140	140
human_test_90	102	249	102	20	140	113	113
human_test_91	131	301	130	11	158	146	146
human_test_92	6	12	3		4	3	3
human_test_93	81	217	76	14	106	86	86
human_test_94	60	133	45	13	68	52	52
human_test_95	101	203	71	17	104	80	80
human_test_96	7	10	4		4	4	4
----------------------------------------
