cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.952	1.43173872494277	0.904	1.43173872494277	0.993	0.943	NA	SARAF	T	TRUE
0	0.933	1.42112209188152	0.866	1.42112209188152	0.978	0.484	NA	SATB1	T	TRUE
0	0.925	1.23074420602747	0.85	1.23074420602747	0.889	0.115	NA	TRAC	T	TRUE
0	0.924	1.33802000795669	0.848	1.33802000795669	0.948	0.217	NA	CD3D	T	TRUE
0	0.921	1.4931383609755	0.842	1.4931383609755	0.874	0.089	NA	CD2	T	TRUE
0	0.921	1.45072850492414	0.842	1.45072850492414	0.963	0.236	NA	ITM2A	T	FALSE
0	0.92	1.28806169301336	0.84	1.28806169301336	0.941	0.185	NA	BCL11B	T	TRUE
0	0.917	1.22056472703137	0.834	1.22056472703137	0.993	0.809	NA	STAT3	T	FALSE
0	0.915	1.16925418632035	0.83	1.16925418632035	0.881	0.07	NA	CD28	T	TRUE
0	0.911	1.27093128849434	0.822	1.27093128849434	0.978	0.484	NA	PDE4D	T	FALSE
0	0.907	1.43603566736531	0.814	1.43603566736531	0.933	0.274	NA	CAMK4	T	TRUE
0	0.9	1.17616942075627	0.8	1.17616942075627	0.985	0.707	NA	CNOT6L	T	FALSE
0	0.895	1.49681006981305	0.79	1.49681006981305	0.933	0.49	NA	RAPGEF6	T	TRUE
0	0.893	1.3545405112924	0.786	1.3545405112924	0.948	0.465	NA	IKZF1	T	TRUE
0	0.892	1.20156951391974	0.784	1.20156951391974	0.896	0.197	NA	GPRIN3	T	TRUE
0	0.89	1.49894786027236	0.78	1.49894786027236	0.933	0.618	NA	ABLIM1	T	TRUE
0	0.889	1.0740263733233	0.778	1.0740263733233	0.97	0.535	NA	LEPROTL1	T	FALSE
0	0.888	1.11054191232659	0.776	1.11054191232659	0.889	0.248	NA	RCAN3	T	TRUE
0	0.884	1.08259354551391	0.768	1.08259354551391	0.785	0.045	NA	ICOS	T	TRUE
0	0.884	0.93541911120231	0.768	0.93541911120231	1	0.987	NA	PABPC1	T	TRUE
0	0.88	1.2454687572455	0.76	1.2454687572455	0.956	0.573	NA	ARL4C	T	TRUE
0	0.88	0.929926404084891	0.76	0.929926404084891	0.97	0.35	NA	SPOCK2	T	FALSE
0	0.876	0.884366562127938	0.752	0.884366562127938	0.933	0.261	NA	TNIK	T	FALSE
0	0.875	1.45072844975197	0.75	1.45072844975197	0.852	0.229	NA	GBP2	T	TRUE
0	0.871	1.12536955438326	0.742	1.12536955438326	0.978	0.643	NA	CLEC2D	T	FALSE
0	0.871	1.0039228079355	0.742	1.0039228079355	0.919	0.331	NA	PRKCH	T	FALSE
0	0.871	0.96531087210298	0.742	0.96531087210298	0.993	0.701	NA	PTPRC	T	FALSE
0	0.87	1.34491210698436	0.74	1.34491210698436	0.97	0.701	NA	HERC1	T	TRUE
0	0.869	0.921661586937639	0.738	0.921661586937639	0.904	0.344	NA	PIK3IP1	T	TRUE
0	0.867	1.20568985303386	0.734	1.20568985303386	0.785	0.083	NA	GIMAP7	T	FALSE
0	0.867	1.05245181453476	0.734	1.05245181453476	0.985	0.885	NA	OSBPL8	T	TRUE
0	0.862	0.832136398167879	0.724	0.832136398167879	0.83	0.127	NA	CD6	T	FALSE
0	0.86	0.806902441825985	0.72	0.806902441825985	0.933	0.299	NA	TCF7	T	FALSE
0	0.858	1.01739351866114	0.716	1.01739351866114	0.963	0.841	NA	GSPT1	T	TRUE
0	0.853	1.10487072793758	0.706	1.10487072793758	0.904	0.331	NA	CCR7	T	FALSE
0	0.853	1.08564333818512	0.706	1.08564333818512	0.889	0.21	NA	FYB	T	FALSE
0	0.851	0.928307509459717	0.702	0.928307509459717	0.933	0.427	NA	S1PR1	T	FALSE
0	0.848	0.988464603920206	0.696	0.988464603920206	0.867	0.159	NA	IL7R	T	FALSE
0	0.847	1.06403121828327	0.694	1.06403121828327	0.97	0.79	NA	BIRC2	T	FALSE
0	0.845	1.11465347073537	0.69	1.11465347073537	0.881	0.357	NA	SELL	T	TRUE
0	0.845	0.995764565781693	0.69	0.995764565781693	0.97	0.662	NA	NDFIP1	T	FALSE
0	0.843	0.838777621391404	0.686	0.838777621391404	0.867	0.357	NA	KLF3	T	FALSE
0	0.841	1.02155822926054	0.682	1.02155822926054	0.963	0.58	NA	MBP	T	TRUE
0	0.841	0.762556371207645	0.682	0.762556371207645	0.815	0.166	NA	CD3G	T	TRUE
0	0.839	1.04738021946639	0.678	1.04738021946639	0.778	0.204	NA	LEF1	T	FALSE
0	0.838	1.0247528289013	0.676	1.0247528289013	0.741	0.108	NA	MAN1C1	T	TRUE
0	0.838	0.894168081478643	0.676	0.894168081478643	0.978	0.701	NA	CCND2	T	FALSE
0	0.837	0.990172013963661	0.674	0.990172013963661	0.97	0.541	NA	CYTIP	T	FALSE
0	0.835	0.896194098684769	0.67	0.896194098684769	0.956	0.599	NA	FYN	T	FALSE
0	0.835	0.82276405691188	0.67	0.82276405691188	0.874	0.357	NA	ARAP2	T	FALSE
0	0.83	0.811946036360059	0.66	0.811946036360059	0.978	0.841	NA	PDCD4	T	FALSE
0	0.829	0.874555573510794	0.658	0.874555573510794	0.889	0.395	NA	IL27RA	T	FALSE
0	0.828	1.09476835101248	0.656	1.09476835101248	0.837	0.344	NA	ARG2	T	TRUE
0	0.827	0.899687233929326	0.654	0.899687233929326	0.83	0.299	NA	AIM1	T	FALSE
0	0.827	0.814773869035615	0.654	0.814773869035615	0.889	0.535	NA	KDSR	T	TRUE
0	0.824	0.781515670769753	0.648	0.781515670769753	0.985	0.885	NA	LDHA	T	FALSE
0	0.823	0.75801064153757	0.646	0.75801064153757	0.867	0.369	NA	MSL3	T	TRUE
0	0.822	1.22490013348382	0.644	1.22490013348382	0.822	0.357	NA	TRBC2	T	TRUE
0	0.822	0.905558266656289	0.644	0.905558266656289	0.926	0.624	NA	IL6ST	T	FALSE
0	0.821	0.824845928143625	0.642	0.824845928143625	0.822	0.344	NA	TAP1	T	FALSE
0	0.82	0.836516072387496	0.64	0.836516072387496	0.793	0.274	NA	APOL6	T	FALSE
0	0.818	0.728665111342573	0.636	0.728665111342573	0.919	0.548	NA	RNF149	T	FALSE
0	0.817	1.06702757333186	0.634	1.06702757333186	0.963	0.503	NA	RGS1	T	FALSE
0	0.817	0.752247125663456	0.634	0.752247125663456	0.941	0.548	NA	ETS1	T	FALSE
0	0.815	0.763448262188309	0.63	0.763448262188309	0.956	0.777	NA	SEPT6	T	TRUE
0	0.814	0.842538196003798	0.628	0.842538196003798	0.933	0.529	NA	HIVEP2	T	FALSE
0	0.814	0.841198435158419	0.628	0.841198435158419	0.978	0.401	NA	SRGN	T	FALSE
0	0.807	1.01394463631196	0.614	1.01394463631196	0.852	0.459	NA	AAK1	T	FALSE
0	0.806	0.821394420119215	0.612	0.821394420119215	0.919	0.541	NA	STK17A	T	FALSE
0	0.805	0.783406965949577	0.61	0.783406965949577	0.756	0.191	NA	ITK	T	FALSE
0	0.804	1.06602345005345	0.608	1.06602345005345	0.763	0.28	NA	TAF4B	T	TRUE
0	0.802	0.86426458189932	0.604	0.86426458189932	0.993	0.688	NA	CREM	T	FALSE
0	0.8	0.756795789387994	0.6	0.756795789387994	0.993	0.847	NA	TNFAIP3	T	FALSE
0	0.796	0.695976542398583	0.592	0.695976542398583	0.815	0.363	NA	MLLT3	T	FALSE
0	0.793	0.756644475137601	0.586	0.756644475137601	0.978	0.771	NA	C9orf78	T	FALSE
